value_loss,total_timesteps,nupdates,avg reward,fps,explained_variance,policy_entropy
0.002675676718354225,80,1,-0.14381430596113204,72,-102.9428482055664,1.7917568683624268
0.0395127609372139,8000,100,0.23856710363179445,1328,0.03025871515274048,1.7917438745498657
0.029099086299538612,16000,200,0.6285603985190391,1452,-0.16155612468719482,1.7916431427001953
0.010850971564650536,24000,300,0.6869723185896873,1489,0.1284576654434204,1.7915666103363037
0.009591448120772839,32000,400,0.5421783216297626,1509,-0.0140150785446167,1.7911098003387451
0.011815743520855904,40000,500,0.44220150746405124,1522,0.0006187558174133301,1.7903852462768555
0.018152466043829918,48000,600,0.45395767986774443,1521,-0.005949139595031738,1.790755271911621
0.04128522425889969,56000,700,1.1923595115542411,1531,0.06120496988296509,1.787470817565918
0.0429069884121418,64000,800,1.8304397523403169,1551,0.13880646228790283,1.7861560583114624
0.01799594610929489,72000,900,1.0191540569067001,1571,0.01519864797592163,1.7804443836212158
0.0003140394692309201,80000,1000,0.5754744492471218,1572,0.7036805748939514,1.786004662513733
0.010502269491553307,88000,1100,0.7714466847479343,1575,0.22618919610977173,1.782004952430725
0.046054668724536896,96000,1200,0.46557091176509857,1572,0.013517320156097412,1.7876371145248413
0.013609704561531544,104000,1300,0.3296316437423229,1568,0.04829883575439453,1.7888844013214111
0.026368673890829086,112000,1400,0.679037594050169,1569,0.060137271881103516,1.7796103954315186
0.02789824642241001,120000,1500,0.7495882183313369,1565,0.37392377853393555,1.76626718044281
0.019202033057808876,128000,1600,0.3908702742308378,1562,0.05723261833190918,1.7883459329605103
0.004465860314667225,136000,1700,0.5833529636263848,1561,0.43318527936935425,1.7864525318145752
0.001228973502293229,144000,1800,1.0883755311369896,1558,0.7542766332626343,1.7772077322006226
0.056896477937698364,152000,1900,0.5074188895523548,1564,0.17791640758514404,1.7913858890533447
0.0003538678283803165,160000,2000,0.18748230435303412,1563,0.9476617015898228,1.790492057800293
0.05003703758120537,168000,2100,0.5827403642237187,1561,0.2471632957458496,1.7881965637207031
0.0032791458070278168,176000,2200,0.7869973488152027,1559,0.4730989336967468,1.7847591638565063
0.022495988756418228,184000,2300,0.15116620770422742,1559,0.45662009716033936,1.7804298400878906
0.014733143150806427,192000,2400,0.34723985455930234,1561,0.426031231880188,1.7811145782470703
0.05014295503497124,200000,2500,1.348858977854252,1562,0.6371179819107056,1.779066801071167
0.043115682899951935,208000,2600,0.6753082409501076,1560,0.5853745639324188,1.7836993932724
0.03240957856178284,216000,2700,0.6452524853870273,1556,0.2237817645072937,1.787968635559082
0.04583778604865074,224000,2800,0.6436375707387925,1556,0.6053105294704437,1.7911418676376343
