value_loss,avg reward,total_timesteps,policy_entropy,nupdates,fps,learning rate,explained_variance
3.6993773392168805e-05,-0.003516492372727953,80,1.7917592525482178,1,34,0.001,-3.8388991355895996
0.07671473920345306,0.2081238688202575,8000,1.7917588949203491,100,1222,0.001,0.01018136739730835
0.0278149601072073,0.1739278390072286,16000,1.7917581796646118,200,1478,0.001,0.006897687911987305
0.02824024297297001,0.3479902412742376,24000,1.7917559146881104,300,1593,0.001,0.09452897310256958
0.05280918627977371,0.6938414152711629,32000,1.7917524576187134,400,1665,0.001,0.2301456332206726
0.02804306149482727,1.0030106656253337,40000,1.7916672229766846,500,1709,0.001,0.39111441373825073
0.022612037137150764,1.0571919709444046,48000,1.7911834716796875,600,1722,0.001,0.23518967628479004
0.05279117822647095,1.5868367195129394,56000,1.790897011756897,700,1730,0.001,0.10715639591217041
0.056171853095293045,0.9558575548231601,64000,1.7893149852752686,800,1739,0.001,-0.0405350923538208
0.021926332265138626,0.968666884303093,72000,1.7867438793182373,900,1762,0.001,0.4181070327758789
0.012983101420104504,1.208416160196066,80000,1.7767598628997803,1000,1768,0.001,0.8952349945902824
0.007321955170482397,0.9760677486658096,88000,1.779388427734375,1100,1783,0.001,0.7397457361221313
0.0038976885844022036,1.800238959491253,96000,1.775494933128357,1200,1788,0.001,0.9743098728358746
0.0507143959403038,1.226181498914957,104000,1.7659651041030884,1300,1802,0.001,0.7149761319160461
0.011035787872970104,0.7317509405314923,112000,1.7710806131362915,1400,1804,0.001,0.8016859591007233
0.05979551002383232,1.5033309005200863,120000,1.7817065715789795,1500,1815,0.001,0.6200038492679596
0.00407236535102129,0.9868330605328083,128000,1.7807363271713257,1600,1820,0.001,0.9586566798388958
0.018953833729028702,1.2269382126629353,136000,1.7721030712127686,1700,1821,0.001,0.8171156197786331
0.0041946666315197945,1.0358794815838337,144000,1.7870957851409912,1800,1821,0.001,0.9543832875788212
0.0014896568609401584,1.0398713394999504,152000,1.7829351425170898,1900,1819,0.001,0.9907572707161307
0.024695461615920067,1.1284120637923478,160000,1.7796472311019897,2000,1823,0.001,0.7283826172351837
0.04312018305063248,1.2987854339182376,168000,1.7798192501068115,2100,1824,0.001,0.7636184692382812
0.04984450712800026,0.8960891291499138,176000,1.7831344604492188,2200,1820,0.001,0.728406548500061
0.03269452974200249,0.8290329661220313,184000,1.7829093933105469,2300,1820,0.001,0.8816982358694077
0.02918665111064911,0.9574103571474553,192000,1.7803680896759033,2400,1819,0.001,0.6715210378170013
0.05273029953241348,1.2819398060441016,200000,1.7652556896209717,2500,1823,0.001,0.8115522563457489
0.02008879743516445,1.1923319164663553,208000,1.7678728103637695,2600,1819,0.001,0.9207458421587944
0.03012109361588955,1.128095806390047,216000,1.7610492706298828,2700,1820,0.001,0.8664957582950592
0.02948029711842537,1.147818461805582,224000,1.7764575481414795,2800,1821,0.001,0.8287248462438583
0.030780356377363205,1.2158381626009942,232000,1.77169668674469,2900,1826,0.001,0.8420599699020386
0.034666676074266434,0.9360948532819748,240000,1.7775070667266846,3000,1828,0.001,0.6679871380329132
0.02051544561982155,0.9259148485958576,248000,1.7775144577026367,3100,1826,0.001,0.729523777961731
0.01541182678192854,1.9364311195909978,256000,1.6984002590179443,3200,1825,0.001,0.9616283215582371
0.02703174389898777,1.0297619450837374,264000,1.741739273071289,3300,1823,0.001,0.8781023696064949
0.04911819100379944,1.3559894323349,272000,1.7133808135986328,3400,1826,0.001,0.8184413313865662
0.014750102534890175,1.0788221646100282,280000,1.699121117591858,3500,1828,0.001,0.9385451637208462
0.03978736326098442,1.061099036410451,288000,1.7000150680541992,3600,1826,0.001,0.7962518185377121
0.03581095486879349,1.5319895319640637,296000,1.5185701847076416,3700,1823,0.001,0.9339911863207817
0.03063071146607399,1.2192790055647493,304000,1.628169298171997,3800,1826,0.001,0.9358512908220291
0.03397884964942932,1.0763864991255105,312000,1.4674254655838013,3900,1830,0.001,0.9098097681999207
0.01914774440228939,1.3492972377687693,320000,0.30997198820114136,4000,1833,0.001,0.9481297582387924
0.20563249289989471,0.2062295231036842,328000,2.550132762735302e-07,4100,1835,0.001,0.678939938545227
0.03738902136683464,0.65486020706594,336000,0.003493780270218849,4200,1837,0.001,0.8433323502540588
0.061594050377607346,-2.133926758170128,344000,9.796461460121077e-17,4300,1839,0.001,0.8436955213546753
0.2511758804321289,3.1486656084656715,352000,2.3510825233218158e-26,4400,1841,0.001,0.8135051131248474
0.047748059034347534,-1.2842018868774177,360000,0.0,4500,1841,0.001,0.952979251742363
0.021148845553398132,5.777694481611252,368000,0.0,4600,1841,0.001,0.979019308462739
0.05342633277177811,-0.06924516833969392,376000,0.0,4700,1840,0.001,0.8195952326059341
0.013080591335892677,2.9153800129890444,384000,1.1690320806720657e-26,4800,1840,0.001,0.9572016075253487
0.01025395654141903,1.0624307320453226,392000,1.640614806814404e-17,4900,1841,0.001,0.9416198544204235
0.003659485373646021,0.6140812169061973,400000,6.619256510020932e-06,5000,1844,0.001,0.9720791317522526
0.018383316695690155,0.6826070167124272,408000,1.6346893310546875,5100,1846,0.001,0.649979442358017
0.022895751520991325,0.6616981886327267,416000,1.6467958688735962,5200,1846,0.001,0.6206972599029541
0.018950868397951126,1.6105904672294855,424000,1.5696988105773926,5300,1845,0.001,0.9606725201010704
0.011191223748028278,1.639684523269534,432000,1.6684997081756592,5400,1847,0.001,0.9826479777693748
0.013809534721076488,1.1964649531291798,440000,1.7183468341827393,5500,1848,0.001,0.9608849547803402
0.0077393436804413795,1.0972215342218987,448000,1.6947513818740845,5600,1850,0.001,0.9791735112667084
0.015420029871165752,1.198552977666259,456000,1.745692491531372,5700,1851,0.001,0.951557882130146
0.013148067519068718,0.9926399560645223,464000,1.731213927268982,5800,1853,0.001,0.9476006552577019
0.015339327044785023,0.7268178777769208,472000,1.7553848028182983,5900,1854,0.001,0.9323904514312744
0.028925037011504173,2.448646380379796,480000,1.354254961013794,6000,1856,0.001,0.9719224572181702
0.03191819041967392,1.6243906408548354,488000,1.715600609779358,6100,1858,0.001,0.9052343666553497
0.047999996691942215,1.5821608314290643,496000,1.6243131160736084,6200,1860,0.001,0.9416520744562149
0.062435317784547806,1.4547293167561293,504000,1.5723860263824463,6300,1859,0.001,0.8711464703083038
0.015566328540444374,1.0004133135080338,512000,1.723550796508789,6400,1861,0.001,0.9665587544441223
0.00923948548734188,0.7814224908128381,520000,1.7505099773406982,6500,1862,0.001,0.9653237722814083
0.02941785752773285,1.4477575337514281,528000,1.722149133682251,6600,1862,0.001,0.9038067907094955
0.009005479514598846,1.103227710351348,536000,1.7177774906158447,6700,1863,0.001,0.9681115485727787
0.019503047689795494,2.0325559087097647,544000,1.6348930597305298,6800,1864,0.001,0.961861465126276
0.01759381592273712,1.1799022432416677,552000,1.7302215099334717,6900,1865,0.001,0.9243128597736359
0.00210966938175261,1.2340370750054717,560000,1.6771018505096436,7000,1866,0.001,0.9920133119449019
0.02877233922481537,1.2075298459269106,568000,1.6820770502090454,7100,1867,0.001,0.9332198575139046
0.026227284222841263,1.3070639753714204,576000,1.7104012966156006,7200,1867,0.001,0.9331436678767204
0.03108479082584381,1.529732740111649,584000,1.6415516138076782,7300,1867,0.001,0.9401295855641365
0.016998622566461563,1.5885649640113115,592000,1.6953442096710205,7400,1868,0.001,0.9758068528026342
0.011447184719145298,1.8835510604083538,600000,1.5989938974380493,7500,1868,0.001,0.9834635462611914
0.011129324324429035,1.3152301744907162,608000,1.687319040298462,7600,1868,0.001,0.9799529369920492
