total_timesteps,fps,explained_variance,nupdates,policy_entropy,value_loss,avgReward
4744000,952,0.8733484447002411,59300,0.9356452822685242,0.023574719205498695,2.133343054354191
4752000,952,0.5918379426002502,59400,0.9432536959648132,0.028909314423799515,2.32906184643507
4760000,952,0.6688318252563477,59500,0.9659536480903625,0.020499449223279953,2.796945831179619
4768000,952,0.42754751443862915,59600,1.0963279008865356,0.0886012464761734,1.7439672634005547
4776000,952,0.7784219086170197,59700,0.9515762329101562,0.01303145568817854,2.4396077379584313
4784000,952,0.8967022746801376,59800,0.9459069967269897,0.007054646499454975,2.1875450044870375
4792000,953,0.6484629511833191,59900,0.9317628741264343,0.01707286573946476,2.138641284406185
4800000,953,0.6062602400779724,60000,0.8689039349555969,0.01981360837817192,2.159491555392742
4808000,953,0.3503614068031311,60100,1.0054101943969727,0.11404237896203995,1.915937179327011
4816000,953,0.8060886561870575,60200,0.8912011981010437,0.010689279064536095,2.103385953605175
4824000,953,0.8607552349567413,60300,1.0034222602844238,0.01000690832734108,2.419449619948864
4832000,953,0.2169034481048584,60400,0.987193763256073,0.03506513312458992,2.290060023963451
4840000,953,-0.01838076114654541,60500,0.9535329937934875,0.04471224546432495,2.345420727133751
4848000,953,0.8396060913801193,60600,0.972287654876709,0.008408437483012676,2.3570585519075395
4856000,954,0.6185731291770935,60700,1.0131893157958984,0.018692558631300926,2.396070256829262
4864000,954,0.5999074578285217,60800,1.0339092016220093,0.05701842159032822,1.7984201796352863
4872000,954,0.7382953464984894,60900,0.9454855918884277,0.019706299528479576,2.603405538201332
4880000,954,0.8194520026445389,61000,0.8701839447021484,0.008695239201188087,2.36101510822773
4888000,954,0.8826526626944542,61100,0.9387731552124023,0.027239710092544556,2.0696195835247635
4896000,954,0.6641813814640045,61200,0.9664676785469055,0.06351616233587265,2.1046517878770827
4904000,954,0.8644979447126389,61300,0.9292641878128052,0.013261623680591583,2.59184357970953
4912000,954,0.33754414319992065,61400,0.9672901034355164,0.029568776488304138,2.260830283164978
4920000,954,0.8399786502122879,61500,1.0221036672592163,0.007759330328553915,2.362529496848583
4928000,955,0.6680195927619934,61600,0.9244306683540344,0.013125699944794178,2.231859955191612
4936000,955,0.8046759963035583,61700,0.911595344543457,0.03836765140295029,1.8733628511428833
4944000,955,0.7120853662490845,61800,0.9586648941040039,0.05787038058042526,2.2525640696287157
4952000,955,0.7541995048522949,61900,0.9104799032211304,0.016064846888184547,2.3670355334877966
4960000,955,0.6186314523220062,62000,1.0214574337005615,0.053996212780475616,2.1436324045062065
4968000,955,0.7736600339412689,62100,0.9103978276252747,0.012440296821296215,2.7632688730955124
4976000,955,0.7475931644439697,62200,0.9495131373405457,0.016947545111179352,2.472506181895733
4984000,955,0.26663386821746826,62300,0.983390212059021,0.03601490706205368,2.004876805841923
4992000,955,0.0664178729057312,62400,0.9344485402107239,0.07277639955282211,2.6503837674856188
5000000,955,0.5482009947299957,62500,0.9458299875259399,0.054318346083164215,2.4674703285098074
5008000,955,0.4611492156982422,62600,0.8512805700302124,0.015227273106575012,2.5568687349557875
5016000,956,0.866074800491333,62700,0.9185523986816406,0.009677466936409473,2.4603298410773276
5024000,956,0.7228510677814484,62800,0.9059084057807922,0.01141692977398634,2.221365262567997
5032000,956,0.8594447523355484,62900,0.9519807696342468,0.011098508723080158,2.155698698759079
5040000,956,0.5543183386325836,63000,0.9776382446289062,0.025329794734716415,2.182295647263527
5048000,956,0.8172948658466339,63100,0.909855842590332,0.009439440444111824,2.536216180026531
5056000,956,0.7974922955036163,63200,1.0063356161117554,0.014503504149615765,2.293236921727657
5064000,956,0.2457209825515747,63300,0.8930913805961609,0.03730738162994385,2.589066231250763
5072000,956,0.7685790061950684,63400,1.0328269004821777,0.052684687077999115,2.3936941787600516
5080000,956,0.7875507920980453,63500,0.9272138476371765,0.010990179143846035,2.3169451713562013
5088000,956,0.5671600103378296,63600,0.9827455282211304,0.06049663946032524,2.1903799757361413
5096000,957,0.5016201734542847,63700,0.8867635726928711,0.0685984343290329,2.575661277025938
5104000,957,0.5037126839160919,63800,1.0025056600570679,0.04447179660201073,2.5240546464920044
5112000,957,0.7417202591896057,63900,0.9757448434829712,0.00904691219329834,2.1192918077111242
5120000,957,0.5939986109733582,64000,0.9463332891464233,0.1437646746635437,2.3273973613977432
5128000,957,0.3405442237854004,64100,0.96612948179245,0.09232862293720245,2.282051903009415
5136000,957,0.41782689094543457,64200,0.9101535677909851,0.0773392841219902,2.200517825037241
5144000,957,0.7828416079282761,64300,0.9053579568862915,0.012132551521062851,2.327971550822258
