#{"t_start": 1519588052.3989866, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
4.0,251,6.508429
2.0,201,9.901685
0.0,129,12.02288
2.0,223,15.925508
2.0,203,19.319104
8.0,495,28.025834
0.0,125,30.035106
4.0,300,35.203633
0.0,127,37.295269
2.0,203,40.726617
0.0,125,42.776297
0.0,127,44.839855
1.0,173,47.696409
2.0,222,51.467895
3.0,252,55.708616
0.0,127,57.747301
1.0,173,60.62355
1.0,175,63.609461
0.0,127,65.696309
0.0,123,67.712441
1.0,173,70.517535
4.0,282,75.35746
1.0,153,77.881084
1.0,175,80.808743
0.0,129,82.916878
0.0,129,84.971004
2.0,204,88.450414
0.0,129,90.540846
0.0,127,92.59292
0.0,127,94.581635
4.0,299,99.629934
8.0,350,105.734524
2.0,202,109.063226
0.0,127,111.067631
0.0,127,113.015642
2.0,198,116.305062
0.0,127,118.365157
0.0,129,120.442971
0.0,125,122.487642
1.0,153,124.957286
2.0,200,128.259154
2.0,199,131.659374
0.0,127,133.658562
3.0,267,138.299374
0.0,129,140.365062
0.0,127,142.413591
4.0,302,147.550165
2.0,183,150.561039
1.0,170,153.366343
0.0,127,155.447958
1.0,153,158.027811
0.0,129,160.080687
0.0,129,162.19524
2.0,200,165.601967
3.0,255,169.895862
0.0,125,171.945319
1.0,155,174.457402
0.0,129,176.588656
0.0,123,178.575124
2.0,202,181.912254
1.0,155,184.445267
1.0,174,187.318872
0.0,127,189.408906
0.0,129,191.515407
1.0,159,194.165741
0.0,127,196.185806
3.0,230,200.153677
1.0,155,202.730274
0.0,129,204.78199
0.0,129,206.854001
0.0,127,208.836911
1.0,174,211.654205
0.0,129,213.726292
0.0,125,215.759488
0.0,127,217.87835
0.0,129,219.999651
5.0,309,225.288849
4.0,279,230.073348
1.0,173,232.989814
0.0,129,235.133805
0.0,127,237.158592
10.0,439,244.814239
0.0,127,246.912696
0.0,127,248.987538
0.0,127,251.042948
0.0,127,253.083778
0.0,127,255.126253
0.0,123,257.113898
0.0,129,259.238203
2.0,201,262.671015
0.0,129,264.729775
2.0,202,268.044358
2.0,204,271.526004
1.0,173,274.401365
3.0,248,278.63812
0.0,129,280.761996
2.0,183,283.790114
0.0,127,285.800389
0.0,127,287.832807
0.0,125,289.853721
0.0,127,291.900186
0.0,129,294.020688
0.0,129,296.08577
1.0,173,298.910759
0.0,129,301.008055
1.0,173,303.903418
1.0,175,306.71217
2.0,202,310.086403
2.0,204,313.492963
1.0,157,316.158735
0.0,127,318.141036
0.0,127,320.234592
4.0,321,325.736331
0.0,127,327.75956
4.0,295,332.729166
4.0,321,338.239102
0.0,129,340.322372
0.0,129,342.424711
1.0,173,345.275081
3.0,250,349.43376
4.0,299,354.484263
5.0,331,360.081685
0.0,127,362.053487
5.0,346,368.066063
0.0,127,370.064586
0.0,125,372.051857
3.0,268,376.480499
4.0,295,381.484091
0.0,127,383.497627
0.0,129,385.568752
3.0,272,390.312452
0.0,127,392.341897
3.0,272,397.030283
1.0,153,399.556501
5.0,331,405.323562
0.0,129,407.356631
0.0,125,409.292764
4.0,299,414.483822
0.0,123,416.429444
0.0,129,418.473351
5.0,372,424.958089
3.0,250,429.304027
0.0,125,431.29204
1.0,155,433.823555
1.0,153,436.341624
1.0,176,439.321333
0.0,127,441.307535
2.0,202,444.705184
3.0,253,448.932573
0.0,129,451.007941
2.0,200,454.37904
1.0,155,456.878061
3.0,248,461.025569
2.0,227,464.816236
0.0,125,466.829768
0.0,129,468.93149
3.0,251,473.207446
0.0,129,475.303381
4.0,323,480.811655
0.0,129,482.88811
5.0,341,488.743571
2.0,202,492.091793
3.0,268,496.582744
0.0,125,498.572025
0.0,127,500.596454
2.0,202,503.94987
2.0,200,507.246607
4.0,277,511.849367
1.0,154,514.3054
0.0,127,516.305442
1.0,178,519.249441
3.0,248,523.383202
4.0,319,528.702447
5.0,350,534.633124
11.0,479,542.863429
0.0,127,544.968532
0.0,129,546.984695
3.0,252,551.249905
0.0,129,553.259771
0.0,129,555.325644
2.0,203,558.71856
2.0,202,562.065644
4.0,277,566.690744
0.0,127,568.687634
3.0,268,573.324326
0.0,129,575.331993
2.0,198,578.568624
