explained_variance,avg reward,fps,nupdates,policy_entropy,value_loss,total_timesteps
0.891874372959137,1.740076631307602,1893,75600,6.686480655075035e-28,0.10237350314855576,6048000
0.9954721666872501,68.87601482570172,1893,75700,0.0014008770231157541,5.5408616065979,6056000
0.952540747821331,79.59392671883106,1893,75800,0.0001790891692508012,69.70752716064453,6064000
0.6562297344207764,-49.407721509039405,1893,75900,0.0399480015039444,228.27859497070312,6072000
0.9976033882703632,-56.462340752780435,1893,76000,0.0007051220163702965,3.621241807937622,6080000
0.9942856603302062,-11.165493705868721,1893,76100,0.05335400626063347,1.0847599506378174,6088000
0.8627979606389999,-19.391894057020544,1893,76200,0.039989180862903595,37.670433044433594,6096000
0.9857470747083426,18.537664523720743,1893,76300,0.0791061669588089,3.1518893241882324,6104000
0.9931410998106003,27.999662835896014,1894,76400,0.013018304482102394,1.103684902191162,6112000
0.6884503960609436,-19.192886847257615,1893,76500,0.00916113518178463,30.031444549560547,6120000
0.9726788513362408,24.457703126966955,1893,76600,0.009064501151442528,1.856153130531311,6128000
0.9479011073708534,0.7928820034489036,1893,76700,0.019741307944059372,0.05802927538752556,6136000
0.783865287899971,3.0838058978319167,1893,76800,0.008430547080934048,0.2573445737361908,6144000
0.9702310264110565,-33.126073533296584,1893,76900,0.00978025607764721,2.91273832321167,6152000
0.9079441502690315,7.147903615236283,1893,77000,0.017583947628736496,0.49432724714279175,6160000
0.9874150175601244,-12.630972091853618,1893,77100,0.015577493235468864,1.2285295724868774,6168000
0.9882106855511665,-22.264295461401343,1893,77200,0.04084478318691254,4.63228702545166,6176000
0.99281574646011,20.48242505788803,1893,77300,0.05646435171365738,2.5729897022247314,6184000
0.9025511965155602,5.661598259210587,1893,77400,0.05449579283595085,0.15809223055839539,6192000
0.7311586141586304,-33.17202243804932,1893,77500,0.0187015850096941,55.97867965698242,6200000
0.8745380640029907,15.663698217272758,1893,77600,0.0032759245950728655,1.2686131000518799,6208000
0.9758695513010025,-10.376008176989853,1893,77700,0.013732602819800377,1.0460147857666016,6216000
0.9551618359982967,9.403929305076598,1893,77800,0.005265158135443926,0.735451877117157,6224000
0.9386599026620388,10.172934925556183,1893,77900,0.013083279132843018,1.0611528158187866,6232000
0.8915780335664749,-13.33848059475422,1893,78000,0.05277217552065849,15.767494201660156,6240000
0.9127807319164276,2.670324806496501,1892,78100,0.052962712943553925,0.1596713364124298,6248000
0.996043745893985,-3.098762410879135,1892,78200,0.03229256719350815,0.08518408238887787,6256000
0.971842136234045,-14.802489674091339,1892,78300,0.0895235538482666,5.118032455444336,6264000
0.9673110172152519,19.7879599571228,1892,78400,0.12487504631280899,6.5736823081970215,6272000
0.9876973759382963,-18.650043219327927,1892,78500,0.10629229247570038,3.6996803283691406,6280000
0.9775231368839741,0.82268873360008,1892,78600,0.11484948545694351,0.12336398661136627,6288000
0.7190991342067719,-2.8349991135299204,1892,78700,0.1147279143333435,6.716128349304199,6296000
0.9896757556125522,-20.061407831311225,1892,78800,0.06334840506315231,1.668511152267456,6304000
0.8835421800613403,-15.884856405854226,1892,78900,0.16516020894050598,15.852442741394043,6312000
0.9376444295048714,2.1087356865406037,1892,79000,0.1811077892780304,0.03382178023457527,6320000
0.9879691498354077,10.762249691039324,1892,79100,0.13876882195472717,1.0898535251617432,6328000
0.9727283511310816,-1.226556871086359,1892,79200,0.045529771596193314,0.18750454485416412,6336000
0.947540994733572,-20.741973128542305,1892,79300,0.09407143294811249,11.998400688171387,6344000
0.9544379599392414,11.84183996617794,1892,79400,0.0666152685880661,2.5795774459838867,6352000
0.9903228729963303,-33.16140777915716,1891,79500,0.0646359771490097,6.526981353759766,6360000
0.9831680562347174,-1.0532224364578724,1891,79600,0.19364148378372192,0.23149485886096954,6368000
0.9927295171655715,-10.221541617065668,1891,79700,0.17674300074577332,1.5211015939712524,6376000
0.6967756450176239,-1.3813486203551293,1891,79800,0.2321850061416626,5.659121036529541,6384000
0.8931382596492767,2.343809608742595,1891,79900,0.0903552994132042,0.05592973157763481,6392000
0.948396734893322,-3.652235808270052,1891,80000,0.11286336183547974,1.3292944431304932,6400000
0.9592613466084003,-5.109619591757655,1891,80100,0.1713564395904541,1.055365800857544,6408000
0.9200069531798363,0.32115512220188974,1891,80200,0.1825193613767624,0.0773472934961319,6416000
0.9922743793576956,-21.97594164311886,1891,80300,0.28021588921546936,3.6021385192871094,6424000
0.9775961339473724,-2.213882201910019,1891,80400,0.0565047487616539,0.2710414528846741,6432000
0.9582771994173527,1.3066356033086777,1891,80500,0.31710654497146606,0.20349697768688202,6440000
0.9391827508807182,-1.843670082744211,1890,80600,0.11569464206695557,0.4962615370750427,6448000
0.810395672917366,6.897131264209747,1891,80700,0.12659268081188202,4.396899223327637,6456000
0.9758294802159071,3.6139108777046203,1891,80800,0.1401948481798172,0.18191148340702057,6464000
0.9739791359752417,-9.45600896924734,1891,80900,0.19434496760368347,5.301139831542969,6472000
0.6972273588180542,-3.2652077920734883,1891,81000,0.21998044848442078,10.156997680664062,6480000
0.9570941552519798,1.8915584087371826,1891,81100,0.23063687980175018,0.21230439841747284,6488000
0.9628974162042141,-3.662790035549551,1891,81200,0.14743700623512268,0.7382575273513794,6496000
0.8300354480743408,5.74317694157362,1891,81300,0.2678528428077698,7.727328300476074,6504000
0.9436337202787399,0.08263710215687751,1890,81400,0.2319173365831375,0.12212976068258286,6512000
0.694155365228653,-0.3782131658634171,1890,81500,0.24713364243507385,1.0449879169464111,6520000
0.941093772649765,3.7195126593112944,1891,81600,0.9120892286300659,0.05501457303762436,6528000
0.9533331319689751,0.5067332305945456,1890,81700,0.7738158106803894,0.022034436464309692,6536000
0.9419662952423096,3.7219669215381144,1890,81800,0.4440235197544098,0.2817767262458801,6544000
0.96225306391716,1.779387092962861,1890,81900,1.196574039852294e-08,0.031107787042856216,6552000
0.9831251427531242,1.9147684644907712,1891,82000,0.027790967375040054,0.016362357884645462,6560000
0.701702356338501,3.8578319089487194,1890,82100,1.9020842678685312e-09,0.8997661471366882,6568000
0.963751882314682,-4.409282735362649,1890,82200,1.802089172997512e-05,1.7601335048675537,6576000
0.9895896352827549,-3.8547572776675225,1891,82300,2.7964159596472653e-15,0.3271203637123108,6584000
0.9946894305758178,13.213151853531599,1890,82400,2.3996946652005136e-09,1.4677600860595703,6592000
