avg reward,policy_entropy,epsilonValue,nupdates,value_loss,total_timesteps,explained_variance,fps
1.4145847151055932,1.5497068166732788,0.0007272674851696304,39600,0.0213954895734787,3168000,0.9640136435627937,1911
1.8242396749556065,1.5413566827774048,0.0007272674851696304,39700,0.016052046790719032,3176000,0.9842806048691273,1911
1.4456371324136854,1.5602903366088867,0.0007272674851696304,39800,0.013874533586204052,3184000,0.9595369286835194,1911
1.462466505728662,1.5409345626831055,0.0007272674851696304,39900,0.011878964491188526,3192000,0.9885189374908805,1911
1.2796697781421245,1.5291366577148438,0.0007272674851696304,40000,0.008243982680141926,3200000,0.9785312823951244,1911
1.001424052665243,1.5338138341903687,0.0007272674851696304,40100,0.006955184042453766,3208000,0.9821573067456484,1911
1.3033503479324282,1.5051829814910889,0.0007272674851696304,40200,0.009431007318198681,3216000,0.9879618063569069,1911
1.5967247730121017,1.5127480030059814,0.0007272674851696304,40300,0.01766972616314888,3224000,0.9550685435533524,1911
1.753822615207173,1.5164382457733154,0.0007272674851696304,40400,0.003053160384297371,3232000,0.9959028735756874,1910
1.6682902973145246,1.5511573553085327,0.0007272674851696304,40500,0.020242873579263687,3240000,0.9658303335309029,1911
1.162227847194299,1.5909830331802368,0.0007272674851696304,40600,0.0037926710210740566,3248000,0.9821680560708046,1911
1.668578263744712,1.5774025917053223,0.0007272674851696304,40700,0.013595372438430786,3256000,0.979918235912919,1911
1.1207474902272225,1.6035493612289429,0.0007272674851696304,40800,0.004680946469306946,3264000,0.9867174727842212,1911
1.0302978280407842,1.5715491771697998,0.0007272674851696304,40900,0.024301107972860336,3272000,0.9569367580115795,1911
1.262441120389849,1.6370494365692139,0.0007272674851696304,41000,0.003865061793476343,3280000,0.9808856826275587,1911
1.6400992704555393,1.571224570274353,0.0007272674851696304,41100,0.011479219421744347,3288000,0.9863061541691422,1911
1.5151378666283564,1.54347562789917,0.0007272674851696304,41200,0.013864340260624886,3296000,0.9756726920604706,1911
1.5751860557124018,1.4966531991958618,0.0007272674851696304,41300,0.04000268876552582,3304000,0.9472631849348545,1911
0.90584299210459,1.6286163330078125,0.0007272674851696304,41400,0.001913212239742279,3312000,0.9931853874586523,1911
1.070394385792315,1.5935475826263428,0.0007272674851696304,41500,0.009742701426148415,3320000,0.9768047127872705,1911
1.0979353397153317,1.5929802656173706,0.0007272674851696304,41600,0.015974968671798706,3328000,0.967594500631094,1911
1.884756824374199,1.4784411191940308,0.0007272674851696304,41700,0.017504069954156876,3336000,0.9517625942826271,1912
1.5307550705969333,1.5409704446792603,0.0007272674851696304,41800,0.01888367533683777,3344000,0.9674268290400505,1912
1.780288588348776,1.5420219898223877,0.0007272674851696304,41900,0.007013515569269657,3352000,0.9785440675914288,1912
1.2676619179546833,1.6019442081451416,0.0007272674851696304,42000,0.009407346136868,3360000,0.9676809646189213,1912
1.1897267081774772,1.5813411474227905,0.0007272674851696304,42100,0.0030322473030537367,3368000,0.9930992326699197,1912
