avg reward,learning rate,policy_entropy,total_timesteps,fps,nupdates,value_loss,explained_variance,epsilonValue
10.156403130292892,0.001,0.6525151133537292,3416000,2057,42700,2.4973502159118652,0.8782200813293457,0.0007272674363255627
6.019912046194077,0.001,1.0764858722686768,3424000,2058,42800,0.2259875237941742,0.9789098426699638,0.0007272674363255627
9.31460997760296,0.001,0.8419917821884155,3432000,2058,42900,0.17420096695423126,0.9856489095836878,0.0007272674363255627
7.339196880161762,0.001,1.2166993618011475,3440000,2058,43000,0.45744284987449646,0.9664064906537533,0.0007272674363255627
7.201470959186554,0.001,1.2154079675674438,3448000,2058,43100,0.12501928210258484,0.9913256950676441,0.0007272674363255627
7.224928353726864,0.001,1.1080423593521118,3456000,2058,43200,0.1867983639240265,0.98873077519238,0.0007272674363255627
4.071390693634749,0.001,1.0349626541137695,3464000,2058,43300,0.22065743803977966,0.9672480076551437,0.0007272674363255627
6.865819585323334,0.001,0.859100341796875,3472000,2058,43400,0.23677930235862732,0.9864160045981407,0.0007272674363255627
5.0184170112013815,0.001,1.3163989782333374,3480000,2058,43500,0.34646981954574585,0.8902019038796425,0.0007272674363255627
8.032336094789207,0.001,0.8903539776802063,3488000,2058,43600,0.8269508481025696,0.963246788829565,0.0007272674363255627
3.9869807347655297,0.001,1.3664982318878174,3496000,2059,43700,0.09796568751335144,0.9588358029723167,0.0007272674363255627
9.174562334269286,0.001,0.8649511337280273,3504000,2059,43800,0.15822406113147736,0.9925736379809678,0.0007272674363255627
5.025540119409561,0.001,1.1533467769622803,3512000,2059,43900,0.13771584630012512,0.9465372748672962,0.0007272674363255627
7.422775577008724,0.001,1.0215518474578857,3520000,2059,44000,0.24985691905021667,0.9789835587143898,0.0007272674363255627
12.809201040863991,0.001,0.6549159288406372,3528000,2059,44100,0.1989690363407135,0.9911829372867942,0.0007272674363255627
4.554943354427815,0.001,0.9196459650993347,3536000,2059,44200,0.1452031433582306,0.9135038778185844,0.0007272674363255627
10.333275972306728,0.001,1.0408198833465576,3544000,2059,44300,0.27613359689712524,0.9891220172867179,0.0007272674363255627
6.768169142305851,0.001,0.7562351822853088,3552000,2059,44400,0.2936454713344574,0.9537579603493214,0.0007272674363255627
6.447597944736481,0.001,1.130514144897461,3560000,2059,44500,0.2923082411289215,0.9287695288658142,0.0007272674363255627
7.62065287232399,0.001,0.9434738159179688,3568000,2059,44600,0.11644840240478516,0.9841494709253311,0.0007272674363255627
7.400781730934978,0.001,0.8528232574462891,3576000,2059,44700,1.5267713069915771,0.9240346327424049,0.0007272674363255627
5.909356115013361,0.001,1.1922296285629272,3584000,2059,44800,0.33742156624794006,0.983632780611515,0.0007272674363255627
7.850905092060566,0.001,1.0771404504776,3592000,2059,44900,0.0957045704126358,0.9954706891439855,0.0007272674363255627
9.022390433400869,0.001,1.0010604858398438,3600000,2060,45000,0.21589386463165283,0.9933209610171616,0.0007272674363255627
6.945610667020082,0.001,1.0700490474700928,3608000,2060,45100,0.32655811309814453,0.9742447584867477,0.0007272674363255627
5.920598712493666,0.001,1.1736152172088623,3616000,2060,45200,2.3540091514587402,0.8515401482582092,0.0007272674363255627
11.779575681686401,0.001,0.8401422500610352,3624000,2060,45300,2.8344998359680176,0.8757053017616272,0.0007272674363255627
5.6787304058671,0.001,1.343811273574829,3632000,2060,45400,0.3760650157928467,0.9683843553066254,0.0007272674363255627
4.722803880274296,0.001,1.5295743942260742,3640000,2059,45500,0.28095659613609314,0.9768797773867846,0.0007272674363255627
8.367568263411522,0.001,1.1259363889694214,3648000,2060,45600,0.1206212192773819,0.9890063991770148,0.0007272674363255627
6.562987514585257,0.001,1.288280725479126,3656000,2060,45700,5.32555627822876,0.8238418698310852,0.0007272674363255627
4.186377062287647,0.001,1.5260928869247437,3664000,2060,45800,0.377408504486084,0.9133296683430672,0.0007272674363255627
8.386313228309154,0.001,1.268818736076355,3672000,2060,45900,0.2147931158542633,0.9902995508164167,0.0007272674363255627
8.46031825505197,0.001,1.2339056730270386,3680000,2060,46000,0.15589506924152374,0.9948678803630173,0.0007272674363255627
6.580870252847672,0.001,1.4256516695022583,3688000,2060,46100,0.15924137830734253,0.9891110798344016,0.0007272674363255627
6.471190637350082,0.001,1.3848811388015747,3696000,2060,46200,0.11943455785512924,0.9919714657589793,0.0007272674363255627
7.658461460471154,0.001,1.1686257123947144,3704000,2060,46300,1.7963260412216187,0.841767281293869,0.0007272674363255627
7.201295620203018,0.001,1.0987330675125122,3712000,2060,46400,0.3095863163471222,0.9794266819953918,0.0007272674363255627
8.726755848620087,0.001,1.0917959213256836,3720000,2060,46500,0.46419042348861694,0.9788877051323652,0.0007272674363255627
7.649323597550392,0.001,1.2613279819488525,3728000,2060,46600,0.8194500803947449,0.9415154159069061,0.0007272674363255627
8.7833722949028,0.001,1.2384353876113892,3736000,2060,46700,3.8392739295959473,0.6387174725532532,0.0007272674363255627
6.594551983335987,0.001,1.3055593967437744,3744000,2061,46800,6.2722344398498535,0.6890270411968231,0.0007272674363255627
7.96322526037693,0.001,1.0450859069824219,3752000,2061,46900,0.275155633687973,0.949669610708952,0.0007272674363255627
13.48984324336052,0.001,0.7619618773460388,3760000,2061,47000,0.1973406821489334,0.9930987218394876,0.0007272674363255627
6.6744116127490996,0.001,1.392140507698059,3768000,2061,47100,0.08035966753959656,0.9965570329222828,0.0007272674363255627
10.221794107556343,0.001,1.099145770072937,3776000,2061,47200,1.2542492151260376,0.9425612650811672,0.0007272674363255627
4.664349245047196,0.001,1.388331651687622,3784000,2061,47300,0.11210103332996368,0.9841758292168379,0.0007272674363255627
13.201048237085342,0.001,0.8526166677474976,3792000,2061,47400,0.17873428761959076,0.9934178460389376,0.0007272674363255627
3.1083299074321986,0.001,1.6793292760849,3800000,2061,47500,0.1338779628276825,0.983954044058919,0.0007272674363255627
7.124755351245403,0.001,1.46053147315979,3808000,2061,47600,0.15913136303424835,0.9948656824417412,0.0007272674363255627
10.135851857066154,0.001,1.0357004404067993,3816000,2061,47700,0.217319518327713,0.989705553278327,0.0007272674363255627
10.30821827352047,0.001,1.156602382659912,3824000,2061,47800,0.271558940410614,0.9864547196775675,0.0007272674363255627
8.347439673542976,0.001,1.3582799434661865,3832000,2061,47900,1.1802335977554321,0.9402716979384422,0.0007272674363255627
