% time spent exploring,episodes,mean 100 episode reward,steps
1,21800,10.1,5974769
1,21900,9.9,6005841
1,22000,10.2,6037519
1,22100,9.5,6069187
1,22200,9.6,6104727
1,22300,10.2,6140067
1,22400,9.6,6172772
1,22500,8.8,6205050
1,22600,8.5,6235186
1,22700,7.6,6265122
1,22800,6.2,6294843
1,22900,6.1,6322297
1,23000,3.9,6342521
1,23100,3.6,6362534
1,23200,3.5,6382427
1,23300,3.6,6402450
1,23400,3.6,6422353
1,23500,4.1,6444222
1,23600,5.3,6466677
1,23700,7.1,6490653
1,23800,8.2,6517470
1,23900,7.2,6542024
1,24000,8.4,6567927
1,24100,7.6,6592658
1,24200,9.1,6621684
1,24300,10.4,6651037
1,24400,9.3,6679521
1,24500,9.5,6709047
1,24600,8.3,6735987
1,24700,8.8,6764031
1,24800,8.4,6792035
1,24900,9.6,6821277
1,25000,9.9,6850643
1,25100,10.4,6883157
1,25200,10.7,6915186
1,25300,11.6,6949187
1,25400,11.5,6983247
1,25500,11.5,7018233
1,25600,11.8,7052558
1,25700,11.8,7087159
1,25800,11.1,7118457
1,25900,12.0,7153808
1,26000,11.6,7188836
1,26100,12.3,7223544
1,26200,13.0,7261228
1,26300,12.7,7296724
1,26400,11.9,7331350
1,26500,12.7,7367764
1,26600,11.5,7401553
1,26700,11.0,7434759
1,26800,10.6,7465695
1,26900,12.5,7501890
1,27000,13.1,7539620
1,27100,13.0,7579404
1,27200,12.1,7615782
1,27300,11.9,7651450
1,27400,12.6,7687211
1,27500,11.5,7721615
1,27600,10.2,7753460
1,27700,12.9,7790117
1,27800,11.6,7826058
1,27900,12.4,7865284
1,28000,12.1,7901256
1,28100,11.1,7933244
1,28200,12.2,7969030
1,28300,12.0,8005868
1,28400,12.4,8041163
1,28500,12.7,8077975
1,28600,14.2,8118706
1,28700,12.8,8155028
1,28800,12.4,8191531
1,28900,12.9,8227515
1,29000,13.6,8266231
1,29100,11.4,8299609
1,29200,12.6,8337201
1,29300,14.4,8377886
1,29400,12.7,8412763
1,29500,13.6,8451281
1,29600,11.6,8484457
1,29700,13.0,8519956
1,29800,13.4,8556164
1,29900,13.5,8593754
1,30000,13.5,8629863
1,30100,14.2,8668740
1,30200,13.0,8706654
1,30300,13.3,8744115
1,30400,13.0,8781011
1,30500,11.0,8812363
1,30600,12.3,8843970
1,30700,10.7,8873634
1,30800,12.3,8908351
1,30900,12.3,8946756
1,31000,10.9,8980983
1,31100,10.9,9013190
1,31200,10.3,9046678
1,31300,10.1,9080695
1,31400,11.8,9117470
1,31500,10.4,9149903
1,31600,10.9,9183271
1,31700,10.9,9214793
1,31800,12.0,9249207
1,31900,12.2,9285155
