total_timesteps,explained_variance,value_loss,policy_entropy,fps,nupdates
80,-109.89517211914062,0.004644827917218208,1.386291265487671,32,1
8000,-1.830678939819336,0.000649095163680613,1.3862801790237427,925,100
16000,-0.6305090188980103,0.0032818769104778767,1.3862740993499756,1041,200
24000,0.03612494468688965,0.025376180186867714,1.3860390186309814,1082,300
32000,-0.29422926902770996,0.0015510001685470343,1.385963797569275,1088,400
40000,-0.04094815254211426,0.033566851168870926,1.385984182357788,1096,500
48000,-0.0026639699935913086,0.00606381194666028,1.383522391319275,1108,600
56000,-3.362292766571045,0.0005911701009608805,1.3833043575286865,1119,700
64000,-0.0351412296295166,0.0016512250294908881,1.383366346359253,1130,800
72000,-0.27354443073272705,0.0013919060584157705,1.35964035987854,1135,900
80000,-0.09263503551483154,0.024753183126449585,1.3837811946868896,1138,1000
88000,-0.2103503942489624,0.00023654894903302193,1.3854000568389893,1143,1100
96000,0.000601649284362793,0.018979255110025406,1.3855794668197632,1146,1200
104000,0.23866838216781616,0.0009725823765620589,1.3861608505249023,1152,1300
112000,0.03703242540359497,0.01841278001666069,1.3835468292236328,1162,1400
120000,0.005526185035705566,0.026029687374830246,1.3849003314971924,1168,1500
128000,0.3040194511413574,0.0001724002358969301,1.3845727443695068,1169,1600
136000,0.15490460395812988,0.0020686867646872997,1.385979413986206,1172,1700
144000,0.04409670829772949,0.016756635159254074,1.385460615158081,1171,1800
152000,0.25274521112442017,0.0006664387183263898,1.3827069997787476,1176,1900
160000,0.04251861572265625,0.049368470907211304,1.3836934566497803,1173,2000
168000,0.07894772291183472,0.03518775850534439,1.3838354349136353,1176,2100
176000,0.2799317240715027,0.0013625259744003415,1.3826195001602173,1174,2200
184000,0.07316344976425171,0.05365440249443054,1.3845570087432861,1173,2300
192000,-0.09446883201599121,0.0016826331848278642,1.385122537612915,1178,2400
200000,0.08407235145568848,0.03195875510573387,1.3830173015594482,1175,2500
208000,0.23987841606140137,0.0025119674392044544,1.3842542171478271,1174,2600
216000,0.5396685004234314,0.0010928262490779161,1.3825916051864624,1178,2700
224000,0.4619089961051941,0.001850366243161261,1.3821531534194946,1179,2800
232000,0.5475752353668213,0.00088591716485098,1.3803086280822754,1178,2900
240000,0.07083570957183838,0.001756434328854084,1.3824961185455322,1177,3000
248000,0.49566924571990967,0.001487363944761455,1.3827314376831055,1182,3100
256000,0.2228277325630188,0.012777276337146759,1.383739709854126,1184,3200
264000,0.21385806798934937,0.00758023327216506,1.3821697235107422,1182,3300
272000,0.4606505036354065,0.0019801384769380093,1.3820916414260864,1181,3400
280000,0.5908878147602081,0.000810704194009304,1.3823877573013306,1181,3500
288000,0.4097045063972473,0.013451950624585152,1.3809387683868408,1183,3600
296000,0.3246564269065857,0.013716737739741802,1.3833599090576172,1181,3700
304000,0.3334401249885559,0.0028012297116219997,1.378835678100586,1181,3800
312000,0.4891587495803833,0.008863883092999458,1.379908800125122,1181,3900
320000,0.6411324441432953,0.03441568836569786,1.3774073123931885,1182,4000
328000,0.5450294017791748,0.007846647873520851,1.3791522979736328,1180,4100
336000,0.5574387907981873,0.0430000014603138,1.3789165019989014,1181,4200
344000,0.7015603184700012,0.015982763841748238,1.3800289630889893,1181,4300
352000,0.6779964864253998,0.01348801888525486,1.3807936906814575,1181,4400
360000,0.6887845098972321,0.0028671373147517443,1.3816896677017212,1181,4500
368000,0.6025474071502686,0.008545775897800922,1.3832483291625977,1180,4600
376000,0.8917388617992401,0.008526213467121124,1.3736063241958618,1180,4700
384000,0.09561365842819214,0.014384637586772442,1.3750145435333252,1179,4800
392000,0.5955020189285278,0.010524100624024868,1.379065990447998,1181,4900
400000,0.772181436419487,0.003565015969797969,1.3786531686782837,1181,5000
408000,0.6880962252616882,0.01579989306628704,1.3758199214935303,1182,5100
416000,0.6668729484081268,0.011560840532183647,1.3741676807403564,1183,5200
