policy_loss,learning rate,value_loss,fps,total_timesteps,nupdates,policy_entropy,epsilonValue,explained_variance,avg reward
-0.03082830086350441,0.001,0.012759973295032978,2121,4808000,60100,1.4706594944000244,0.0007272674363255627,0.8989162743091583,-0.09816964454948902
0.006654886994510889,0.001,0.027068238705396652,2121,4816000,60200,1.5909130573272705,0.0007272674363255627,0.8524288684129715,-0.0434893561527133
-0.028925791382789612,0.001,0.01640750654041767,2121,4824000,60300,1.6162488460540771,0.0007272674363255627,0.9016042128205299,0.08832318033091724
-0.029457803815603256,0.001,0.008060107007622719,2122,4832000,60400,1.5498220920562744,0.0007272674363255627,0.941107738763094,-0.009722472296562045
-0.033276576548814774,0.001,0.0031971000134944916,2122,4840000,60500,1.5857802629470825,0.0007272674363255627,0.9661486372351646,0.04436345770955086
-0.015310670249164104,0.001,0.004958680830895901,2122,4848000,60600,1.6675536632537842,0.0007272674363255627,0.9342622384428978,0.1677484499407001
-0.05152340978384018,0.001,0.007490201387554407,2122,4856000,60700,1.611702561378479,0.0007272674363255627,0.9135293066501617,-0.02383694560267031
-0.0542348213493824,0.001,0.011278077028691769,2122,4864000,60800,1.48084557056427,0.0007272674363255627,0.8867922425270081,0.19796673405217008
0.007927065715193748,0.001,0.011646966449916363,2122,4872000,60900,1.7202551364898682,0.0007272674363255627,0.9222756922245026,-0.05871285219091078
-0.04068111255764961,0.001,0.0056108152493834496,2122,4880000,61000,1.501368761062622,0.0007272674363255627,0.7894806265830994,-0.15441362593555824
0.0018527094507589936,0.001,0.00373620237223804,2122,4888000,61100,1.647966980934143,0.0007272674363255627,0.7960681021213531,-0.07553808386437595
0.13929185271263123,0.001,0.01920734904706478,2122,4896000,61200,1.517789602279663,0.0007272674363255627,0.821853518486023,-0.11703652837313712
0.011596566066145897,0.001,0.005006229970604181,2123,4904000,61300,1.6125768423080444,0.0007272674363255627,0.9033254832029343,-0.24915205312427133
0.015195123851299286,0.001,0.00932290405035019,2123,4912000,61400,1.601120948791504,0.0007272674363255627,0.8941760882735252,-0.02126549622626044
-0.24553894996643066,0.001,0.05816594511270523,2123,4920000,61500,1.6327730417251587,0.0007272674363255627,0.4763936996459961,-0.28171172295697033
0.07784606516361237,0.001,0.016337145119905472,2123,4928000,61600,1.610425353050232,0.0007272674363255627,0.7506819665431976,-0.013460573775228113
-0.07595721632242203,0.001,0.01165957935154438,2123,4936000,61700,1.7034791707992554,0.0007272674363255627,0.8428034633398056,-0.11889997617108747
0.01698293909430504,0.001,0.005865658167749643,2123,4944000,61800,1.452272891998291,0.0007272674363255627,0.9473530352115631,0.2319334232714027
-0.062327057123184204,0.001,0.01881464011967182,2123,4952000,61900,1.57040536403656,0.0007272674363255627,0.7760959565639496,0.12710275214631112
-0.031064460054039955,0.001,0.013311547227203846,2123,4960000,62000,1.6072587966918945,0.0007272674363255627,0.8158311694860458,0.05900261010974646
0.07256652414798737,0.001,0.01046059001237154,2123,4968000,62100,1.6216647624969482,0.0007272674363255627,0.9189848154783249,0.31890157915186135
-0.06241505593061447,0.001,0.012883742339909077,2123,4976000,62200,1.4999321699142456,0.0007272674363255627,0.8365177363157272,-0.07705603614449501
-0.011656660586595535,0.001,0.005506054498255253,2124,4984000,62300,1.5273656845092773,0.0007272674363255627,0.9337766543030739,0.0037112127523869277
-0.04971463233232498,0.001,0.007512358017265797,2124,4992000,62400,1.555233359336853,0.0007272674363255627,0.7953699827194214,-0.25002720966003833
-0.031815074384212494,0.001,0.005416543688625097,2124,5000000,62500,1.6807302236557007,0.0007272674363255627,0.9167120382189751,-0.014397892728447914
-0.014288539066910744,0.001,0.009830226190388203,2124,5008000,62600,1.5043392181396484,0.0007272674363255627,0.8636875003576279,-0.0509968503320124
-0.018572142347693443,0.001,0.00832525733858347,2124,5016000,62700,1.6155750751495361,0.0007272674363255627,0.938409823924303,0.22107499847188591
-0.0116907162591815,0.001,0.018465634435415268,2124,5024000,62800,1.6169993877410889,0.0007272674363255627,0.8701656460762024,0.25764388162642715
