#{"t_start": 1526065216.8254611, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,882,20.301738
-21.0,967,28.326005
-21.0,810,34.577342
-21.0,928,41.958344
-21.0,851,48.640313
-20.0,959,55.992224
-21.0,909,63.127713
-21.0,819,69.48088
-21.0,919,76.379637
-20.0,978,83.912345
-19.0,1118,92.404643
-21.0,866,99.176104
-20.0,1096,107.726153
-20.0,989,115.342293
-20.0,858,122.031305
-20.0,856,128.871258
-20.0,931,135.958052
-19.0,1004,143.668641
-21.0,1004,151.528969
-21.0,779,157.539328
-21.0,820,163.948438
-21.0,820,170.258303
-20.0,921,177.473822
-21.0,807,183.882671
-21.0,832,190.26387
-21.0,821,196.631565
-20.0,839,202.948784
-17.0,1241,212.624253
-19.0,990,220.257741
-21.0,1000,227.812398
-21.0,777,233.725171
-19.0,932,240.880773
-21.0,1059,249.147155
-20.0,842,255.613816
-21.0,760,261.375817
-19.0,1005,269.044983
-21.0,942,276.243389
-21.0,883,282.986578
-20.0,1039,291.008383
-21.0,776,296.779651
-20.0,879,303.389652
-19.0,936,310.258609
-21.0,823,316.454147
-21.0,849,322.906387
-21.0,1128,331.271588
-21.0,824,337.635565
-21.0,813,343.920991
-20.0,838,350.381001
-21.0,821,356.674654
-21.0,878,363.621909
-19.0,1014,371.293144
-21.0,900,378.068398
-20.0,957,385.318831
-20.0,887,391.907942
-19.0,1105,400.364287
-20.0,965,407.692162
-20.0,856,414.194365
-21.0,790,420.244903
-21.0,1038,428.334605
-21.0,776,434.17342
-21.0,817,440.431585
-21.0,788,446.385118
-21.0,884,453.377959
-20.0,1135,462.060271
-20.0,1001,469.79142
-20.0,916,476.839496
-19.0,1014,484.473116
-21.0,786,490.580519
-21.0,912,497.649593
-20.0,898,504.515256
-21.0,758,510.189074
-21.0,925,517.348702
-21.0,821,523.654552
-21.0,787,529.705667
-21.0,929,536.813054
-20.0,835,543.165595
-20.0,956,550.444313
-20.0,1043,558.395354
-21.0,850,565.015525
-21.0,977,572.523811
-20.0,930,579.61351
-21.0,776,585.404223
-20.0,972,592.859922
-19.0,933,600.05888
-20.0,926,607.017092
-21.0,846,613.342485
-21.0,1009,621.070955
-21.0,868,627.699013
-19.0,1247,637.091564
-21.0,897,643.988768
-20.0,961,651.387087
-19.0,977,658.769996
-20.0,837,665.30449
-20.0,867,671.89563
-20.0,1130,680.560834
-19.0,1164,689.664429
-21.0,884,696.477105
-20.0,987,703.995941
-20.0,973,711.334099
-20.0,981,718.822187
-19.0,1105,727.328269
-19.0,1067,735.577509
-20.0,1093,744.129128
-21.0,908,751.022408
-20.0,884,757.719868
-19.0,1027,765.434667
-21.0,821,771.549037
-20.0,1038,779.302949
-19.0,1085,787.439495
-20.0,889,794.34136
-18.0,1101,802.625187
-17.0,1209,811.846908
-17.0,1139,820.617173
-21.0,838,827.079938
-19.0,1163,835.862612
-20.0,947,843.275689
-21.0,854,849.706352
