#{"t_start": 1526065216.821456, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,897,20.512799
-21.0,777,26.908633
-20.0,865,33.625971
-21.0,839,40.32614
-21.0,840,47.008346
-19.0,932,54.026743
-21.0,884,61.090801
-21.0,820,67.354525
-20.0,840,73.821199
-20.0,1017,81.533132
-21.0,806,87.616595
-20.0,999,95.385198
-21.0,1038,103.362525
-21.0,881,110.293378
-21.0,792,116.384318
-21.0,823,122.764161
-20.0,864,129.664571
-19.0,1033,137.556292
-21.0,899,144.502368
-21.0,876,151.34601
-20.0,835,157.816714
-20.0,1126,166.529451
-21.0,814,172.81708
-21.0,941,180.234009
-21.0,792,186.460888
-20.0,868,193.202108
-20.0,1076,201.406504
-19.0,993,209.021387
-20.0,865,215.7905
-20.0,943,222.969466
-21.0,999,230.621165
-21.0,913,237.547807
-21.0,897,244.421711
-21.0,847,251.022757
-20.0,1011,258.735872
-20.0,930,265.761331
-21.0,763,271.675541
-21.0,821,277.974399
-20.0,987,285.459048
-21.0,902,292.448629
-20.0,882,298.992204
-20.0,880,305.574179
-21.0,874,312.001966
-20.0,943,319.165174
-21.0,962,326.409064
-21.0,782,332.204973
-20.0,893,339.070866
-20.0,954,346.436106
-20.0,930,353.697448
-20.0,925,360.855579
-21.0,907,367.932759
-19.0,997,375.381498
-18.0,1112,383.734347
-19.0,1020,391.353344
-21.0,908,398.216471
-21.0,785,404.271732
-21.0,866,410.946435
-21.0,839,417.21953
-20.0,925,424.55434
-19.0,997,432.047697
-20.0,1013,439.796389
-21.0,791,445.76633
-20.0,921,453.045624
-20.0,986,460.577145
-21.0,846,467.131465
-21.0,819,473.402289
-20.0,959,480.730756
-21.0,840,487.113691
-21.0,904,494.060579
-20.0,932,501.300731
-21.0,839,507.666265
-20.0,911,514.514079
-20.0,899,521.498349
-21.0,825,527.908695
-21.0,883,534.671859
-20.0,986,542.117978
-21.0,778,548.068393
-21.0,849,554.530087
-21.0,783,560.631927
-20.0,893,567.412252
-19.0,932,574.646836
-21.0,820,580.888332
-21.0,843,587.285112
-20.0,854,593.803123
-21.0,918,600.777172
-20.0,959,608.038017
-21.0,944,615.07197
-21.0,791,621.170721
-21.0,818,627.395163
-19.0,957,634.62376
-20.0,840,641.045129
-20.0,1237,650.4719
-20.0,865,657.02814
-20.0,915,664.198175
-20.0,832,670.555108
-20.0,970,678.009646
-20.0,1125,686.66863
-21.0,872,693.535985
-20.0,905,700.40811
-21.0,943,707.610487
-19.0,1057,715.572745
-21.0,954,722.790382
-21.0,902,729.898301
-19.0,1074,738.242045
-21.0,1061,746.418214
-20.0,934,753.49983
-19.0,1060,761.543101
-21.0,883,768.142185
-20.0,988,775.449947
-20.0,932,782.58446
-19.0,1049,790.515808
-21.0,907,797.399775
-21.0,945,804.51234
-20.0,915,811.451985
-21.0,935,818.531377
-20.0,1152,827.541304
-21.0,900,834.326166
-20.0,899,841.329088
-20.0,1018,848.970149
-20.0,915,855.883951
-19.0,1198,865.030866
-19.0,1055,872.99344
-18.0,1081,881.188501
-21.0,808,887.092617
-19.0,1125,895.502029
-19.0,1156,904.402868
-20.0,963,911.731617
-20.0,1012,919.418426
-19.0,1229,928.967804
-19.0,1164,937.867901
-21.0,942,945.425375
-17.0,1215,954.510146
-17.0,1212,963.676571
-20.0,981,971.096797
-21.0,992,978.607836
-20.0,1030,986.418138
-18.0,1176,995.300251
-19.0,1012,1002.978509
-20.0,835,1009.390556
-19.0,1237,1018.677815
-20.0,1087,1026.879491
-21.0,880,1033.518188
-19.0,1090,1041.851229
-18.0,1132,1050.405989
-19.0,1061,1058.354501
-21.0,944,1065.382836
-19.0,1270,1075.066877
-20.0,1037,1082.788887
-21.0,969,1090.144085
-20.0,959,1097.510816
-21.0,1045,1105.558259
-20.0,1122,1114.270457
-21.0,1082,1122.640153
-19.0,1052,1130.525871
-21.0,898,1137.47818
-17.0,1327,1147.71706
-20.0,1404,1158.568501
-20.0,1141,1167.386955
-19.0,1407,1178.168352
-19.0,1102,1186.706166
-20.0,1409,1197.480622
-19.0,1124,1205.826639
-17.0,1416,1216.338987
-18.0,1517,1227.687248
-18.0,1465,1238.561169
-15.0,1906,1252.538369
-18.0,1550,1264.119049
-19.0,1566,1275.770676
-17.0,1703,1288.417613
-18.0,1518,1299.830191
-20.0,1512,1310.985722
-18.0,1680,1323.448529
-13.0,1858,1337.226156
-20.0,1562,1348.939838
-21.0,1484,1360.066102
-16.0,1668,1372.49696
-18.0,1577,1384.147542
-16.0,1700,1396.815914
-14.0,1778,1410.17224
-9.0,2342,1427.624079
-13.0,1938,1442.136038
-14.0,1843,1455.926769
-20.0,1564,1467.573198
-18.0,2010,1482.380193
-14.0,1993,1497.012752
-13.0,1994,1511.670264
-12.0,2204,1527.790855
-20.0,1720,1540.365999
-11.0,2420,1558.065061
-20.0,1498,1569.156927
-15.0,2026,1584.509474
-13.0,2412,1602.485092
-11.0,2201,1618.767894
-19.0,1600,1630.738523
-12.0,2090,1646.283832
-9.0,2269,1663.30008
-18.0,1983,1677.692019
-10.0,2358,1695.005748
-14.0,2076,1710.380446
-15.0,2192,1726.720372
-11.0,2276,1743.693479
-7.0,2770,1764.259732
-9.0,2450,1782.34593
-7.0,2636,1801.904869
-2.0,2826,1822.744411
-6.0,2369,1840.377821
-5.0,2622,1860.032435
1.0,2895,1881.457625
-6.0,2525,1899.956288
-6.0,2459,1917.907933
-4.0,2944,1939.399778
-8.0,2249,1955.882824
-9.0,2377,1973.503834
-1.0,3463,1998.79305
-4.0,2713,2018.629067
-3.0,2776,2039.190705
-3.0,2989,2061.306675
-4.0,2911,2082.452247
-3.0,2923,2104.057151
6.0,2758,2124.04655
7.0,2743,2144.575723
7.0,2769,2165.066051
-2.0,3099,2187.632733
-3.0,3293,2211.778713
4.0,3002,2233.459264
6.0,2893,2254.576129
3.0,3040,2276.91486
-2.0,3023,2299.100174
-3.0,3368,2323.733534
4.0,2798,2344.052868
7.0,2697,2364.016829
2.0,3057,2386.200682
6.0,3034,2408.286187
7.0,3019,2430.304704
5.0,3089,2453.282819
8.0,3055,2476.047654
-4.0,3472,2501.883467
7.0,2857,2522.774526
4.0,3316,2547.387709
3.0,3728,2574.881211
10.0,3262,2599.049849
5.0,3259,2623.237039
4.0,3364,2647.866988
5.0,3279,2672.025292
8.0,3014,2694.298432
8.0,2757,2714.415513
14.0,2299,2731.377405
14.0,2217,2748.063087
19.0,1762,2761.080778
8.0,2769,2781.474367
1.0,3313,2805.98642
16.0,2009,2820.728308
21.0,1691,2833.116281
12.0,2286,2849.935181
14.0,2243,2866.540871
18.0,1921,2880.569203
10.0,2551,2899.460723
9.0,2629,2919.239056
17.0,2005,2934.191346
18.0,1953,2948.685553
7.0,2759,2969.433561
21.0,1630,2981.587252
12.0,2352,2998.792432
21.0,1651,3011.186213
16.0,1995,3026.021107
14.0,2234,3042.798396
21.0,1650,3055.000224
20.0,1707,3067.410503
3.0,3073,3090.417055
15.0,2077,3105.749379
16.0,2082,3121.182768
14.0,2194,3137.373583
18.0,1884,3151.148888
19.0,1916,3165.080321
13.0,2219,3181.546681
2.0,3149,3205.27122
10.0,2473,3223.314127
20.0,1762,3236.252141
20.0,1662,3248.568925
20.0,1671,3260.994826
20.0,1728,3273.703506
20.0,1763,3286.582842
20.0,1694,3299.124739
13.0,2354,3316.546325
16.0,2157,3332.78241
13.0,2262,3349.576393
6.0,2872,3371.126969
19.0,1867,3385.076424
20.0,1707,3397.629586
18.0,2073,3412.787153
16.0,2065,3428.177021
17.0,1933,3442.498544
19.0,1784,3455.906837
19.0,1743,3468.877441
20.0,1700,3481.51357
21.0,1671,3493.798656
20.0,1830,3507.409591
20.0,1755,3520.46944
21.0,1653,3532.826
4.0,2884,3554.180269
13.0,2350,3571.677309
21.0,1650,3584.238647
19.0,1875,3598.139553
21.0,1653,3610.595065
16.0,2003,3625.387863
20.0,1716,3638.18547
15.0,2281,3655.117862
20.0,1685,3667.739956
19.0,1930,3682.173768
20.0,1669,3694.753617
20.0,1832,3708.315665
20.0,1743,3721.053556
21.0,1690,3733.667126
9.0,2746,3753.899606
21.0,1695,3766.361348
19.0,1995,3781.955655
18.0,1940,3796.781402
19.0,1892,3811.135346
19.0,1794,3824.426942
19.0,2007,3839.44972
14.0,2146,3855.496426
20.0,1857,3869.273214
20.0,1854,3883.022575
20.0,1719,3895.880159
19.0,1787,3909.279161
15.0,1941,3923.721452
19.0,1743,3936.544381
19.0,1905,3950.794462
21.0,1648,3962.950625
20.0,1702,3975.702857
18.0,2037,3991.083249
20.0,1714,4003.74519
18.0,1903,4017.855095
21.0,1654,4030.374131
19.0,1817,4043.854719
19.0,1800,4057.170381
20.0,1684,4069.654065
19.0,1798,4083.203733
20.0,1745,4096.255955
21.0,1651,4108.340346
20.0,1714,4121.065602
20.0,1796,4134.315559
18.0,1898,4148.541746
20.0,1684,4160.899217
20.0,1726,4173.894475
21.0,1667,4186.462068
19.0,1808,4199.807593
20.0,1730,4212.655971
20.0,1668,4225.18483
20.0,1701,4237.860258
21.0,1693,4250.605695
21.0,1631,4262.805588
20.0,1693,4275.519544
19.0,1851,4289.253902
20.0,1724,4302.065146
20.0,1742,4315.171632
21.0,1713,4327.991167
20.0,1811,4341.47305
20.0,1669,4354.131569
19.0,1878,4368.086383
20.0,1687,4380.845926
20.0,1730,4393.706199
20.0,1700,4406.367394
21.0,1654,4418.60273
21.0,1654,4430.98717
21.0,1668,4443.42783
20.0,1818,4456.91913
20.0,1722,4469.786364
20.0,1745,4482.696485
20.0,1668,4495.078671
19.0,1736,4508.161582
20.0,1664,4520.406655
20.0,1806,4533.754445
19.0,1839,4547.631357
19.0,1803,4561.308939
21.0,1651,4573.647032
20.0,1825,4587.392838
20.0,1810,4600.905411
21.0,1726,4613.933111
21.0,1699,4626.654434
20.0,1744,4639.619716
20.0,1776,4652.746967
20.0,1748,4666.036492
21.0,1828,4679.659873
20.0,1774,4692.99338
20.0,1737,4706.009007
19.0,1799,4719.491624
20.0,1868,4733.638461
18.0,2033,4748.866634
20.0,1777,4762.160229
20.0,1682,4774.617863
20.0,1725,4787.419338
20.0,1769,4800.381286
20.0,1703,4813.066397
20.0,1750,4826.471211
18.0,2020,4841.638509
20.0,1754,4854.837405
18.0,1804,4868.273215
21.0,1648,4880.528553
20.0,1785,4893.695961
20.0,1757,4906.531579
20.0,1663,4918.746581
20.0,1747,4931.741353
20.0,1761,4945.10359
20.0,1795,4958.68768
20.0,1748,4971.562405
20.0,1781,4984.808797
20.0,1782,4997.923186
20.0,1671,5010.214314
20.0,1665,5022.61031
16.0,2306,5039.666546
18.0,1842,5053.260213
19.0,1773,5066.59458
19.0,1812,5080.227628
21.0,1709,5092.79635
21.0,1650,5104.973009
19.0,1866,5119.083671
20.0,1775,5132.385442
21.0,1713,5145.289483
