nupdates,value_loss,explained_variance,avg reward,total_timesteps,policy_entropy,fps
1,0.023307103663682938,-27.8071346282959,0.47341180630028246,80,2.1972222328186035,39
100,0.000511779508087784,-0.4197275638580322,0.41579576544463637,8000,2.1972222328186035,1324
200,0.0006588079850189388,-0.2267615795135498,0.0053281651344150305,16000,2.1971824169158936,1612
300,0.0006817724788561463,-0.032100796699523926,0.1635772601701319,24000,2.1972169876098633,1740
400,0.0006652693264186382,-1.3426415920257568,0.15978874899446965,32000,2.197216749191284,1807
500,0.0005247333901934326,-0.12089979648590088,-0.014298705686815082,40000,2.1971518993377686,1847
600,0.0008145080646499991,-0.13177061080932617,0.07083883710729424,48000,2.1971805095672607,1877
700,0.0008376115001738071,-0.25368499755859375,-0.058381611737422644,56000,2.1970252990722656,1871
800,0.0005434773629531264,-0.9581151008605957,0.0037733464589109643,64000,2.1965737342834473,1892
900,0.0003045442863367498,0.47208863496780396,0.04299203967675567,72000,2.186789035797119,1911
1000,0.000647298526018858,-0.15214955806732178,0.07552930456586182,80000,2.1967625617980957,1924
1100,0.000597978534642607,-0.9470103979110718,-0.018547360700904392,88000,2.1970107555389404,1934
1200,9.70613255049102e-05,0.6388671696186066,0.027675882872426883,96000,2.1963584423065186,1943
1300,0.000530063989572227,-0.2835972309112549,0.07718879487365485,104000,2.1958773136138916,1951
1400,0.00020570805645547807,-0.44345152378082275,-0.055559589597396555,112000,2.196404218673706,1947
1500,0.00013870003749616444,-0.5699334144592285,0.17104934565722943,120000,2.1919538974761963,1951
1600,0.000166584417456761,0.18824923038482666,-0.09868936301209033,128000,2.196991443634033,1959
1700,0.00023903799592517316,-0.1089329719543457,-0.017924743958428736,136000,2.1970629692077637,1965
1800,7.842785998946056e-05,0.23006194829940796,-0.015270264657738153,144000,2.1970436573028564,1972
1900,0.0002556271792855114,-0.4835469722747803,0.020325004868209363,152000,2.197134494781494,1977
2000,0.00012178156612208113,0.36865198612213135,0.030536004676832817,160000,2.197127103805542,1968
2100,7.795996498316526e-05,-0.9436612129211426,-0.021852433937601744,168000,2.1971275806427,1970
2200,0.00012809908366762102,-0.08627927303314209,0.022480063531838824,176000,2.1957013607025146,1975
2300,9.609629341866821e-05,0.4182390570640564,-0.013456956326263026,184000,2.1971371173858643,1979
2400,0.0002308347320649773,-0.1449129581451416,0.007573273044545204,192000,2.1970183849334717,1983
2500,2.3715019779046997e-05,-0.0280836820602417,0.008453386809560471,200000,2.1970860958099365,1986
2600,0.00013508234405890107,-1.4138007164001465,0.0231351653841557,208000,2.1970059871673584,1989
2700,4.833140701521188e-05,-0.45304322242736816,-0.015084715321427212,216000,2.1971428394317627,1979
2800,0.00011320612247800454,-0.24761462211608887,-0.011165485451783752,224000,2.1971335411071777,1982
2900,7.234238728415221e-05,0.23817718029022217,0.01840501780679915,232000,2.196444272994995,1986
3000,0.00010462306818226352,-0.3924978971481323,0.00587063356579165,240000,2.1971182823181152,1988
3100,0.00011853433534270152,-1.2175986766815186,0.005657676820555934,248000,2.1970200538635254,1991
3200,2.2791877199779265e-05,-1.4297451972961426,0.008397323597455398,256000,2.1971020698547363,1994
3300,0.000189158963621594,-0.9167381525039673,-0.007307595326710725,264000,2.1970314979553223,1997
3400,4.864001675741747e-05,-0.8027966022491455,0.0018876988797273953,272000,2.1971352100372314,1991
3500,2.7542027964955196e-05,0.3918035626411438,0.05098493085242808,280000,2.1965479850769043,1993
3600,5.8383564464747906e-05,-0.5821185111999512,0.017929084436036646,288000,2.197157382965088,1994
3700,8.906117727747187e-05,0.026726365089416504,-0.004717162351880688,296000,2.1970772743225098,1996
3800,3.557861055014655e-05,-0.17759203910827637,-0.009053723311808426,304000,2.197155714035034,1997
3900,0.0001330571831203997,0.13703519105911255,-0.016684208478181972,312000,2.197115182876587,1998
4000,6.829968333477154e-05,-0.7022256851196289,0.012231046956731006,320000,2.1971747875213623,1993
4100,5.6689394114073366e-05,-0.8186355829238892,-0.004076088319379778,328000,2.197159767150879,1994
4200,5.660001261276193e-05,-0.4220445156097412,-0.0101027194155904,336000,2.196847438812256,1996
4300,1.995791171793826e-05,0.5315755307674408,0.012512927109492011,344000,2.1971728801727295,1998
4400,0.00012847079779021442,-0.0723271369934082,0.012440199077536818,352000,2.197110414505005,2000
4500,1.858758696471341e-05,0.28095459938049316,-0.0019022304122472632,360000,2.1971378326416016,2002
4600,0.00012781881378032267,-0.8109241724014282,0.010194700019201263,368000,2.1971068382263184,2004
4700,4.040600106236525e-05,-0.5037640333175659,0.007565392098240409,376000,2.1971774101257324,1998
4800,3.634791210060939e-05,-0.44217050075531006,0.00042957254336215553,384000,2.1971747875213623,1999
4900,2.3232427338371053e-05,0.1902291178703308,0.009506668324320344,392000,2.196988582611084,2000
5000,4.6920522436266765e-05,-0.9004091024398804,0.004230397203355096,400000,2.1971869468688965,2002
5100,6.6212764068041e-05,-1.9288806915283203,-0.0002189153986364545,408000,2.197161912918091,2003
5200,1.4470034329860937e-05,-1.0464186668395996,-0.0008284757701403578,416000,2.1971890926361084,2005
5300,0.00012811402848456055,-0.18373262882232666,-0.00782267897593556,424000,2.19716739654541,2005
5400,4.947746128891595e-05,-0.5808128118515015,-0.005151180865505011,432000,2.1971988677978516,1999
5500,3.0211120247258805e-05,0.01286458969116211,-0.005515577012192807,440000,2.1970067024230957,2000
5600,2.4887212930480018e-05,-1.0120306015014648,0.006329157175150613,448000,2.1972036361694336,2000
5700,0.00011242816981393844,-0.9301282167434692,0.014897662283510726,456000,2.1971898078918457,2001
5800,1.2464431165426504e-05,0.18439394235610962,0.00035770836338997467,464000,2.1971988677978516,2003
5900,8.594022801844403e-05,-0.07413709163665771,0.01695111252920469,472000,2.197206974029541,2004
6000,4.616528531187214e-05,-0.9923551082611084,0.001615768959527486,480000,2.197206974029541,2001
6100,1.5045999134599697e-05,-0.04749560356140137,0.000958169831574196,488000,2.1972060203552246,2002
6200,3.128620664938353e-05,0.3180224895477295,-0.008123817629530095,496000,2.196916103363037,2002
6300,3.415134779061191e-05,-1.218245506286621,-0.002388005429020268,504000,2.197195529937744,2004
6400,6.766636215616018e-05,0.07531726360321045,0.0011578981480852234,512000,2.197205066680908,2004
6500,1.6009049431886524e-05,0.09376448392868042,-0.0008294049468531739,520000,2.197178363800049,2004
6600,0.00014176053809933364,-0.34695684909820557,0.0034279345549293795,528000,2.1971936225891113,2005
6700,4.137809810345061e-05,-0.8315149545669556,-0.003461896751105087,536000,2.197195053100586,2001
6800,0.0001470587303629145,-2.1464998722076416,-0.03050052186008543,544000,2.196835994720459,2002
6900,3.8457463233498856e-05,0.4305190443992615,0.007617891240806784,552000,2.197035551071167,2003
7000,2.5128198103629984e-05,-0.27046000957489014,-0.00436434466355422,560000,2.197206974029541,2004
7100,8.832102321321145e-05,-1.378807783126831,-0.009725922806887865,568000,2.1972053050994873,2005
7200,1.1938692296098452e-05,-0.16569507122039795,0.003119695062832761,576000,2.1971793174743652,2006
7300,8.144463936332613e-05,-0.4982283115386963,0.000579576771997381,584000,2.197186231613159,2006
7400,2.506568307580892e-05,-0.32077717781066895,0.00026236875200993384,592000,2.197190523147583,2001
7500,1.6159003280336037e-05,-2.232678174972534,-0.003938761796598555,600000,2.1968917846679688,2002
7600,2.2300300770439208e-05,-0.5726380348205566,0.0010361139593442203,608000,2.1972031593322754,2002
7700,5.811692608403973e-05,-0.9056506156921387,-0.007915235797554487,616000,2.197197675704956,2003
7800,1.2840438103012275e-05,-0.5054385662078857,-0.007019597852195148,624000,2.1971609592437744,2004
7900,7.853951683500782e-05,-0.7683621644973755,0.0023172763289039723,632000,2.1971752643585205,2005
8000,1.6315703760483302e-05,0.25479209423065186,0.005580608572927304,640000,2.197186231613159,2002
8100,1.9680552213685587e-05,-0.3377368450164795,0.0001920530354254879,648000,2.1971843242645264,2002
8200,1.698533924354706e-05,0.1947118043899536,-0.014124634612016962,656000,2.1970062255859375,2003
8300,1.642648203414865e-05,0.07248574495315552,-8.632359968032687e-05,664000,2.1971874237060547,2004
8400,4.9797170504461974e-05,-2.360018491744995,-0.004102362742924015,672000,2.197180986404419,2004
8500,1.249385968549177e-05,-0.4383896589279175,-0.002681787918436385,680000,2.197171688079834,2004
8600,7.8694021794945e-05,-0.7854522466659546,0.0028910403125337325,688000,2.197169780731201,2005
8700,1.9045570297748782e-05,-0.6577495336532593,-0.0006101755425333977,696000,2.1971850395202637,2002
8800,9.000739737530239e-06,-0.6525204181671143,-0.006711605454620439,704000,2.1969571113586426,2003
8900,2.2338572307489812e-05,-0.734921932220459,0.00025064042856683957,712000,2.1971848011016846,2004
9000,8.100445120362565e-05,-0.9353733062744141,0.0010198025025601964,720000,2.197181463241577,2004
9100,4.4135314965387806e-05,-0.2916700839996338,-0.004208982078489498,728000,2.197176456451416,2004
9200,0.0001332422107225284,-0.16286075115203857,0.0007650288134755101,736000,2.1971802711486816,2005
9300,7.417008600896224e-05,-0.4355144500732422,0.003627605928522826,744000,2.197188138961792,2006
9400,2.163609315175563e-05,-0.10243022441864014,-0.003040050067727407,752000,2.197195291519165,2002
9500,1.1443415132816881e-05,-1.4821157455444336,-0.0003541955207765568,760000,2.1970551013946533,2003
9600,2.250649777124636e-05,-0.7419617176055908,0.0006702216377448167,768000,2.1971945762634277,2003
9700,6.0295093135209754e-05,-0.2014983892440796,-0.0024921162279497367,776000,2.1971964836120605,2003
9800,1.3384796147875022e-05,-1.024167537689209,0.0006100509526731912,784000,2.197192668914795,2004
9900,5.088429315946996e-05,-1.8317458629608154,-0.0014318777451990173,792000,2.197200059890747,2004
10000,1.7234424376511015e-05,-0.8150386810302734,-0.001950258735450916,800000,2.1972036361694336,2001
10100,1.9602508473326452e-05,-1.2181472778320312,-0.0005510100109404447,808000,2.197202205657959,2002
10200,3.301930337329395e-05,0.04321688413619995,-0.02197769644553773,816000,2.197047472000122,2002
10300,1.2050222721882164e-05,-0.34636712074279785,-0.005504208120692055,824000,2.197204113006592,2003
10400,8.175128459697589e-05,-1.5760245323181152,0.0020978481152269524,832000,2.1972150802612305,2004
10500,6.249583293538308e-06,-0.22343683242797852,-0.004147329674742651,840000,2.197197675704956,2004
10600,6.581439083674923e-05,-0.5618366003036499,-0.0020340551920526194,848000,2.197213649749756,2004
10700,1.3025263797317166e-05,-0.5820893049240112,-0.001418444926093798,856000,2.1972079277038574,2002
10800,1.1876670214405749e-05,-2.2310893535614014,-0.005280706999474205,864000,2.197100877761841,2002
10900,2.5682602426968515e-05,-1.1574420928955078,0.005932553641355298,872000,2.1972098350524902,2003
11000,4.8547393816988915e-05,-0.238195538520813,0.0013202318557887338,880000,2.197214126586914,2003
11100,7.976292181410827e-06,0.16893398761749268,0.0014558493701770203,888000,2.197195529937744,2004
11200,2.9304841518751346e-05,-1.2887239456176758,0.0035594967717770486,896000,2.1972076892852783,2004
11300,1.2230493666720577e-05,-1.074254035949707,0.005307551637815777,904000,2.1972012519836426,2002
11400,2.1413461581687443e-05,-0.29458820819854736,-0.0010092408479977165,912000,2.197202444076538,2001
11500,8.553036423109006e-06,-0.22756540775299072,-0.0015282075975846965,920000,2.197089672088623,2002
11600,2.0267530999262817e-05,-1.8898375034332275,0.005406451709859539,928000,2.1972036361694336,2002
11700,3.9382379327435046e-05,-0.49066412448883057,-0.0019690128943693707,936000,2.1972060203552246,2003
11800,1.2936943676322699e-05,-2.0463204383850098,-0.000528591726401828,944000,2.197193145751953,2004
11900,4.160940443398431e-05,-0.07120859622955322,0.004104821111832279,952000,2.1972036361694336,2004
12000,1.7858208593679592e-05,-1.443281650543213,0.0010403321833109657,960000,2.1971945762634277,2002
12100,1.4085892871662509e-05,-0.7647582292556763,-0.002319185755914077,968000,2.1971986293792725,2003
12200,1.258768043044256e-05,0.421501100063324,-0.0003967085003750981,976000,2.1970555782318115,2004
12300,1.3241813576314598e-05,0.10935521125793457,0.0009995855762099382,984000,2.197202682495117,2004
12400,6.088095688028261e-05,-0.5864492654800415,-0.0016797688182123237,992000,2.1972086429595947,2004
12500,9.75718012341531e-06,-2.5040156841278076,0.0008074247580225347,1000000,2.1971991062164307,2004
12600,6.63826140225865e-05,-1.1134755611419678,0.0073831382076605225,1008000,2.1972105503082275,2005
12700,1.0866067896131426e-05,-0.7601176500320435,0.002385853265877813,1016000,2.1972105503082275,2002
12800,9.440656867809594e-06,-1.307138442993164,0.0052123439858405615,1024000,2.1970763206481934,2002
12900,9.850642527453601e-06,-0.44407570362091064,0.00010763385889731581,1032000,2.1972150802612305,2003
13000,5.7171331718564034e-05,-1.0725677013397217,0.00446991116987192,1040000,2.197218656539917,2003
13100,1.0187385669269133e-05,-3.164630889892578,0.003960792611178476,1048000,2.1972103118896484,2004
13200,4.3689720769179985e-05,-0.5952751636505127,-0.0012421597916272731,1056000,2.197218418121338,2004
13300,1.9887922462658025e-05,-0.26832878589630127,0.0032619946150589385,1064000,2.197216033935547,2002
13400,1.079220419342164e-05,-0.15792584419250488,-0.001738730212673545,1072000,2.197216510772705,2002
13500,9.720462003315333e-06,0.44927978515625,0.0030701492538355523,1080000,2.197132110595703,2003
13600,1.785609856597148e-05,-0.3344848155975342,0.002189394857850857,1088000,2.197211742401123,2003
13700,3.3809730666689575e-05,-1.3169147968292236,-0.0038915979543162394,1096000,2.1972155570983887,2003
13800,5.442394922283711e-06,-0.19896066188812256,-0.002128481908584945,1104000,2.1972031593322754,2004
13900,3.7485227949218825e-05,-0.5170085430145264,-0.009071333812607918,1112000,2.197216033935547,2004
14000,1.5328474546549842e-05,-0.7377463579177856,-0.0025763451035345497,1120000,2.1972146034240723,2002
14100,1.2291990969970357e-05,0.0632091760635376,-0.0021254698223856392,1128000,2.1972146034240723,2003
14200,1.2393485121720005e-05,0.17178654670715332,-0.00320766330769402,1136000,2.197099208831787,2003
14300,1.534908005851321e-05,-1.7232749462127686,-0.0020315731679147577,1144000,2.1972129344940186,2004
14400,4.016867751488462e-05,-1.1203062534332275,-0.004096557138109347,1152000,2.1972124576568604,2004
14500,7.411761998810107e-06,-2.4124486446380615,-0.004740297314856434,1160000,2.197208881378174,2005
14600,4.966326378053054e-05,-0.11772680282592773,0.0013515234525584674,1168000,2.1972084045410156,2005
14700,9.175862032861914e-06,-0.40005385875701904,0.004866003248025663,1176000,2.197211742401123,2002
14800,1.1577406439755578e-05,-1.2995810508728027,0.00034584056206767857,1184000,2.197096824645996,2002
14900,1.4392967386811506e-05,-0.6395224332809448,0.0037369718261288654,1192000,2.1972146034240723,2003
15000,4.7181598347378895e-05,-0.37375831604003906,-0.005733228961616987,1200000,2.1972107887268066,2003
15100,5.035192771174479e-06,-0.3773094415664673,-0.0027642868128168628,1208000,2.1972057819366455,2004
15200,5.176635386305861e-05,-1.3212840557098389,0.001726722232706379,1216000,2.197213649749756,2004
15300,2.0600931748049334e-05,-1.8906302452087402,-0.0018483249297787552,1224000,2.1972107887268066,2003
15400,8.166503903339617e-06,-0.5694928169250488,1.1824657121906057e-06,1232000,2.1972103118896484,2003
15500,1.8374348655925132e-05,0.4989394545555115,-0.009368258947506546,1240000,2.1971042156219482,2003
15600,2.0772615243913606e-05,-0.6653397083282471,0.0014322757657282636,1248000,2.1972079277038574,2003
15700,5.5722812248859555e-05,-0.0881572961807251,0.004766804417522507,1256000,2.1972057819366455,2004
15800,7.023408215900417e-06,-1.0589921474456787,9.903200134431245e-05,1264000,2.197200059890747,2005
15900,4.57355854450725e-05,-0.4385998249053955,0.012178355976357125,1272000,2.1972031593322754,2005
16000,7.765986993035767e-06,-0.7588762044906616,-0.00208313431676288,1280000,2.197209119796753,2003
16100,3.223359090043232e-05,-1.4204936027526855,0.0017803123864268855,1288000,2.197145700454712,2003
16200,1.5886342225712724e-05,-0.7755645513534546,-0.0004161102624493651,1296000,2.19708514213562,2004
16300,1.67718535521999e-05,-0.6125376224517822,-0.002519674814357131,1304000,2.197209358215332,2004
16400,2.6707119104685262e-05,-0.2654515504837036,0.004433944167249138,1312000,2.1972148418426514,2004
16500,5.158955900697038e-06,-0.46915245056152344,-0.002270689257966296,1320000,2.197206974029541,2004
16600,6.629501149291173e-05,-0.8431402444839478,0.006029098335420713,1328000,2.197211742401123,2004
16700,7.309287866519298e-06,-0.4932677745819092,0.0038059290236560628,1336000,2.1972169876098633,2003
16800,4.69117685497622e-06,0.4039565324783325,-0.005810654866945697,1344000,2.1971282958984375,2003
16900,1.8091601305059157e-05,-0.4326748847961426,0.006008406192268012,1352000,2.1972155570983887,2004
17000,4.125308623770252e-05,-1.3266549110412598,-0.001960089035856072,1360000,2.197216033935547,2004
17100,7.042488050501561e-06,-0.21337103843688965,-0.004638210534176323,1368000,2.1972076892852783,2004
17200,3.02427688438911e-05,-0.20289885997772217,0.001776909645741398,1376000,2.197216033935547,2005
17300,1.594164132256992e-05,-0.6736923456192017,0.004229321272578091,1384000,2.1972179412841797,2003
17400,5.5564642025274225e-06,-0.13896477222442627,0.0008926018934744207,1392000,2.1972174644470215,2003
17500,8.343863555637654e-06,-0.20765173435211182,0.0033238251256989316,1400000,2.1971616744995117,2003
17600,1.3149656297173351e-05,-0.8560254573822021,-0.0026656310355065217,1408000,2.1972155570983887,2004
17700,3.504546111798845e-05,-0.8147581815719604,-0.002704117680843865,1416000,2.1972153186798096,2004
17800,5.750279342464637e-06,0.041247010231018066,-0.004229939171636943,1424000,2.1972122192382812,2004
17900,4.2771960579557344e-05,-1.0365278720855713,-0.0009104311290684564,1432000,2.1972146034240723,2005
18000,8.223070835811086e-06,0.002271413803100586,0.0011823328059108462,1440000,2.197221040725708,2002
18100,1.2374615835142322e-05,-0.6140079498291016,-0.0030266875779489054,1448000,2.1971631050109863,2003
18200,8.722860002308153e-06,-0.5934411287307739,0.002432535252228263,1456000,2.1972217559814453,2003
18300,2.9269911465235054e-05,-2.564556837081909,0.00041698844488813336,1464000,2.1972193717956543,2003
18400,2.295448757649865e-05,-2.2723870277404785,0.0003497094025078695,1472000,2.197216510772705,2003
18500,6.734645921824267e-06,-1.4830708503723145,-0.0009770013647823817,1480000,2.197213649749756,2004
18600,6.896476406836882e-05,-2.025315523147583,-0.004888963291887194,1488000,2.197213649749756,2004
18700,7.598633146699285e-06,-0.6433801651000977,-0.0029147766223104553,1496000,2.1972193717956543,2003
18800,7.545920198026579e-06,-0.5794931650161743,0.003460776230531337,1504000,2.1971383094787598,2003
18900,6.637350452365354e-06,-0.7051228284835815,0.0017215457104612143,1512000,2.1972179412841797,2004
19000,3.544462379068136e-05,-0.3955880403518677,-0.0002484010001353454,1520000,2.197216033935547,2004
19100,5.1496399464667775e-06,-0.48978185653686523,-0.00012215410642966163,1528000,2.197206735610962,2004
19200,2.240733738290146e-05,-1.4460573196411133,-0.0025694431580632225,1536000,2.197216510772705,2005
19300,7.878718861320522e-06,-0.4276440143585205,0.0031655414870328967,1544000,2.1972134113311768,2003
19400,1.0816736903507262e-05,-1.4109165668487549,0.0015277848951427587,1552000,2.197213649749756,2004
19500,1.34682995849289e-05,-0.21899104118347168,-0.013061167224077509,1560000,2.1971418857574463,2004
19600,6.452919478761032e-06,0.3287508487701416,0.000512459088167816,1568000,2.197213649749756,2004
19700,3.917667709174566e-05,-0.9073717594146729,-0.002034474310494261,1576000,2.1972174644470215,2005
19800,4.45661726189428e-06,0.06876558065414429,0.0004872516698014806,1584000,2.1972105503082275,2005
19900,5.52107703697402e-05,-0.49972331523895264,0.0021429678661661457,1592000,2.197211503982544,2005
20000,7.259960511873942e-06,-1.0756995677947998,-0.004525598964210076,1600000,2.197211742401123,2004
20100,6.612028755625943e-06,-0.49428224563598633,-0.004680911504692631,1608000,2.197131395339966,2004
20200,8.630527190689463e-06,-0.24465680122375488,-0.0020421017361513805,1616000,2.1972150802612305,2004
20300,2.8715945518342778e-05,-0.125158429145813,0.000680501969100078,1624000,2.197214126586914,2004
20400,4.323007033235626e-06,-0.128912091255188,0.0007874545669324107,1632000,2.197209596633911,2005
20500,4.1836585296550766e-05,0.15997004508972168,-0.0006881957880978007,1640000,2.1972134113311768,2005
20600,1.8315602574148215e-05,-2.1777284145355225,0.0029781838822600546,1648000,2.197213649749756,2004
20700,5.062273430667119e-06,-5.282806873321533,0.0013357058724068338,1656000,2.197214126586914,2004
20800,8.533269465260673e-06,0.18338024616241455,0.001986765881883912,1664000,2.197162628173828,2004
20900,7.270072728715604e-06,-1.3085415363311768,0.0024075866902421696,1672000,2.1972148418426514,2004
21000,2.2761607397114858e-05,-1.914182424545288,0.0016906296368688345,1680000,2.1972155570983887,2005
21100,4.066615929332329e-06,-0.18060266971588135,0.0016667964279804437,1688000,2.1972107887268066,2005
21200,2.713573667278979e-05,-1.296736478805542,-0.0051737129880621065,1696000,2.1972148418426514,2006
21300,1.555575363454409e-05,-0.9439480304718018,-2.8656330323428846e-05,1704000,2.1972153186798096,2004
21400,8.152922418958042e-06,-1.6418132781982422,-0.0024164975370695174,1712000,2.1972155570983887,2004
21500,1.1742177775886375e-05,-0.31220781803131104,-0.0036139609135716457,1720000,2.197188138961792,2005
21600,1.3676808521267958e-05,-0.20735454559326172,-1.4552151333191432e-05,1728000,2.197216033935547,2005
21700,4.118599463254213e-05,-1.3267600536346436,-0.002885573368621408,1736000,2.1972179412841797,2005
21800,4.068958332936745e-06,-0.6154800653457642,0.0007885339320637286,1744000,2.197214126586914,2005
21900,4.3373056541895494e-05,-1.2024478912353516,0.006091725486840005,1752000,2.197214365005493,2006
22000,6.16633633399033e-06,-0.6253515481948853,-0.00034411475990054897,1760000,2.197219133377075,2004
22100,3.7214394978946075e-06,-0.28563761711120605,0.0004963484196196077,1768000,2.197190999984741,2004
22200,1.3155366104911081e-05,-0.39306843280792236,0.0024813858784909827,1776000,2.197218894958496,2005
22300,2.527421384002082e-05,-0.22261905670166016,0.0028210415050125446,1784000,2.1972146034240723,2005
22400,3.7207464629318565e-06,-1.0909030437469482,-0.0013794711041555275,1792000,2.1972150802612305,2005
22500,2.7902442525373772e-05,-0.8042793273925781,-0.0013734133957768791,1800000,2.1972153186798096,2005
22600,1.3330434740055352e-05,-0.7351857423782349,0.0032932445235928755,1808000,2.197216749191284,2004
22700,7.566611657239264e-06,-1.6037051677703857,-0.0029104619829013246,1816000,2.1972148418426514,2004
22800,1.4594259482691996e-05,-1.6466169357299805,-0.003989602005458437,1824000,2.1971917152404785,2005
22900,1.2257264643267263e-05,-0.8210934400558472,0.00020992630406908576,1832000,2.197216033935547,2005
23000,2.6432142476551235e-05,-1.0774340629577637,0.0002958214453428809,1840000,2.1972177028656006,2005
23100,2.707391104195267e-06,-0.029934287071228027,0.0003923676905742468,1848000,2.1972146034240723,2005
23200,2.4589815438957885e-05,-0.33378875255584717,-0.0006519734299217817,1856000,2.1972174644470215,2006
23300,7.240382728923578e-06,-0.4746890068054199,4.9205262257601134e-05,1864000,2.1972198486328125,2004
23400,7.790635208948515e-06,-0.5245733261108398,-0.001070708239058149,1872000,2.1972203254699707,2005
23500,6.333674718916882e-06,0.08995199203491211,0.003605666461317014,1880000,2.1972031593322754,2005
