policy_loss,learning rate,nupdates,policy_entropy,total_timesteps,explained_variance,fps,avg reward,value_loss
0.00765043031424284,0.001,1,1.7917592525482178,80,-3.8388991355895996,50,-0.003516492372727953,3.6993773392168805e-05
0.18150338530540466,0.001,100,1.7917591333389282,8000,0.07883518934249878,1296,0.1392689271015115,0.04395263269543648
0.17401617765426636,0.001,200,1.7917587757110596,16000,0.07473856210708618,1557,0.2804987675510347,0.05222361534833908
-0.023363035172224045,0.001,300,1.7917556762695312,24000,0.542403370141983,1662,0.3797924526035786,0.0007337801507674158
0.0337182842195034,0.001,400,1.7917499542236328,32000,-0.09234046936035156,1725,0.6162436284124851,0.021060999482870102
0.055452197790145874,0.001,500,1.7916628122329712,40000,0.2701205611228943,1752,1.0316268056631088,0.0278718713670969
-0.04290395230054855,0.001,600,1.7914535999298096,48000,0.46541494131088257,1783,1.075761180371046,0.00705743208527565
0.2900416851043701,0.001,700,1.791229248046875,56000,0.11750119924545288,1801,1.3003823548555373,0.1275601089000702
-0.21007978916168213,0.001,800,1.789227843284607,64000,0.32919925451278687,1812,1.3193587750196456,0.07488168776035309
0.13998454809188843,0.001,900,1.7910254001617432,72000,0.2936534881591797,1815,1.5076835662126542,0.05161226913332939
-0.020388495177030563,0.001,1000,1.7788174152374268,80000,0.41202741861343384,1813,0.9513578452169895,0.05515720322728157
0.14411896467208862,0.001,1100,1.782318115234375,88000,0.4714784026145935,1813,0.6305089429020881,0.04100910574197769
-0.0613020658493042,0.001,1200,1.7690778970718384,96000,0.7583147585391998,1821,1.175843669474125,0.023216834291815758
0.061986345797777176,0.001,1300,1.786830186843872,104000,0.4182819724082947,1826,0.5887998506426811,0.028777053579688072
0.09414465725421906,0.001,1400,1.7868808507919312,112000,0.5552508234977722,1831,0.9000425659120083,0.033798255026340485
-0.04649142175912857,0.001,1500,1.7820113897323608,120000,0.8826104179024696,1835,1.2270860388875007,0.011524504981935024
-0.13586334884166718,0.001,1600,1.7858049869537354,128000,0.5024565756320953,1837,0.5749720446765423,0.01732102781534195
0.2809848487377167,0.001,1700,1.768812894821167,136000,0.6348440945148468,1836,1.08030173368752,0.07373961061239243
0.06785662472248077,0.001,1800,1.782423973083496,144000,0.390525221824646,1841,0.8072106555104256,0.04424648731946945
-0.06677446514368057,0.001,1900,1.7759296894073486,152000,0.9783618561923504,1848,0.946944610029459,0.0016279828269034624
0.22421607375144958,0.001,2000,1.7694202661514282,160000,0.4961472153663635,1854,1.8075833283364773,0.08871748298406601
-0.0016320705180987716,0.001,2100,1.7663371562957764,168000,0.9362591952085495,1859,1.6983434651046991,0.03986047953367233
0.020907972007989883,0.001,2200,1.7735637426376343,176000,0.7719664722681046,1861,1.4948179244995117,0.02174842730164528
0.18975652754306793,0.001,2300,1.7587034702301025,184000,0.869577169418335,1862,1.184047475643456,0.057837117463350296
-0.02971966564655304,0.001,2400,1.7366939783096313,192000,0.951522696763277,1865,1.8169334411621094,0.017389874905347824
-0.014210124500095844,0.001,2500,1.7783081531524658,200000,0.7393778860569,1869,0.554558330681175,0.014229799620807171
0.02683071233332157,0.001,2600,1.7630016803741455,208000,0.9319036900997162,1871,0.8730285365134478,0.021864166483283043
0.021295303478837013,0.001,2700,1.7031030654907227,216000,0.7826317250728607,1875,1.3362527170218528,0.10991980880498886
0.024997547268867493,0.001,2800,1.7130544185638428,224000,0.9804431162774563,1877,1.1434015039354564,0.0049279313534498215
0.009795034304261208,0.001,2900,1.7199214696884155,232000,0.9726706258952618,1877,0.9331184009090066,0.009999595582485199
0.03159882873296738,0.001,3000,1.7370002269744873,240000,0.9184832647442818,1877,0.9271350897848606,0.02445864863693714
0.029453570023179054,0.001,3100,1.7159178256988525,248000,0.9238055348396301,1882,1.2614840606227518,0.0290091373026371
-0.10747895389795303,0.001,3200,1.6454646587371826,256000,0.9238715916872025,1887,1.34578488022089,0.026682382449507713
-0.12044503539800644,0.001,3300,1.6260135173797607,264000,0.9873064532876015,1889,1.5347309689968824,0.009342796169221401
-0.017627816647291183,0.001,3400,1.6836729049682617,272000,0.8831426054239273,1890,1.143965732678771,0.030964944511651993
0.02074003592133522,0.001,3500,1.6693261861801147,280000,0.9124241694808006,1893,0.9153565336018801,0.020628148689866066
0.01964198797941208,0.001,3600,1.6028953790664673,288000,0.9460288509726524,1894,1.4678602890111505,0.019350718706846237
