#{"t_start": 1526079465.1621902, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
110.0,293,13.27402
150.0,391,16.720275
75.0,465,20.464098
65.0,283,22.743526
150.0,575,27.443335
110.0,459,31.272647
65.0,283,33.548948
35.0,456,37.174494
395.0,804,43.938067
50.0,295,46.461512
385.0,960,54.881054
105.0,519,59.171839
210.0,573,63.933379
110.0,477,67.920561
90.0,358,70.90247
85.0,371,73.972403
105.0,386,77.234427
110.0,509,81.627936
410.0,681,87.212708
200.0,505,91.270729
110.0,413,94.556225
135.0,517,98.60937
180.0,552,103.133745
410.0,621,108.448835
210.0,623,113.449391
165.0,594,118.143328
210.0,636,123.369126
155.0,583,128.058014
105.0,401,131.416943
105.0,475,135.435528
310.0,579,139.96426
260.0,746,145.834917
120.0,582,150.479978
315.0,1014,158.64937
340.0,1057,167.428377
165.0,587,172.088348
210.0,648,177.177037
180.0,607,182.031215
260.0,725,187.852765
285.0,1043,196.292206
210.0,638,201.411072
285.0,728,207.240369
180.0,603,212.25075
210.0,658,217.72834
155.0,595,222.686162
155.0,597,227.273028
210.0,623,232.291293
180.0,609,237.16828
320.0,585,241.735193
180.0,604,246.611196
410.0,622,251.436915
210.0,615,256.550895
155.0,644,261.638432
135.0,597,266.393954
185.0,602,271.158169
180.0,612,275.958958
225.0,826,282.523803
155.0,601,287.205729
180.0,626,291.999226
210.0,625,296.85795
545.0,1080,305.191574
355.0,601,309.838324
180.0,642,315.063927
380.0,611,320.264894
385.0,638,325.185983
210.0,640,330.415855
380.0,636,335.631148
210.0,651,340.958263
210.0,619,345.814681
60.0,296,348.25162
210.0,628,353.29129
180.0,614,358.109025
220.0,733,363.841387
135.0,576,368.417373
180.0,616,373.24056
380.0,626,377.973052
155.0,585,383.0362
180.0,592,387.759702
210.0,630,392.986919
155.0,597,397.755081
210.0,651,403.205051
210.0,639,408.299198
210.0,634,413.34696
120.0,477,417.121725
105.0,477,421.047541
495.0,995,428.896116
195.0,664,434.369591
155.0,592,439.239413
225.0,700,444.939189
180.0,599,449.713591
135.0,594,454.457639
355.0,588,458.918711
210.0,625,463.903901
465.0,741,469.964434
210.0,628,475.207327
335.0,590,479.913757
380.0,605,484.759772
460.0,758,491.100078
260.0,809,497.772348
240.0,710,503.611273
180.0,662,508.87465
180.0,618,514.184245
440.0,755,520.193595
210.0,622,525.131692
500.0,765,531.274537
180.0,621,536.377867
180.0,654,541.827538
155.0,608,546.773644
285.0,729,552.463966
210.0,638,557.386127
110.0,490,561.418595
240.0,744,567.39561
240.0,718,573.145902
160.0,588,577.833172
460.0,728,583.611416
635.0,1287,593.666266
210.0,600,598.297626
285.0,731,604.381711
210.0,600,609.114794
410.0,606,613.893167
210.0,639,618.777261
210.0,633,623.806721
545.0,825,630.205133
270.0,722,636.053996
180.0,593,640.892874
180.0,640,646.032462
260.0,762,652.093855
105.0,396,655.12955
210.0,638,660.171149
210.0,642,665.33941
210.0,641,670.290923
380.0,631,675.263011
285.0,767,681.22465
165.0,591,685.694085
470.0,705,691.608371
105.0,485,695.637456
465.0,775,701.913263
130.0,541,706.178155
180.0,620,710.980854
180.0,596,715.710607
300.0,811,722.222584
210.0,618,727.135446
180.0,607,731.862087
260.0,596,736.434906
265.0,624,741.785247
180.0,639,746.856158
180.0,611,751.616331
105.0,390,754.617176
210.0,651,759.810032
210.0,637,764.84587
475.0,1205,774.846193
215.0,645,780.044633
105.0,311,782.375351
515.0,720,788.086753
180.0,633,793.800167
90.0,384,796.839757
140.0,514,800.837827
320.0,1049,809.443435
210.0,617,814.415582
110.0,451,818.081476
185.0,674,823.735522
60.0,278,825.958575
270.0,708,831.618481
210.0,605,836.63852
50.0,258,838.646173
105.0,432,842.236003
150.0,415,845.596847
265.0,753,851.77795
210.0,654,857.077464
110.0,498,861.143913
485.0,977,868.765553
95.0,254,870.698827
50.0,397,873.884679
210.0,614,878.787488
135.0,296,881.094483
210.0,636,886.013647
135.0,482,889.922652
210.0,605,894.681913
345.0,700,900.471861
320.0,864,907.349717
120.0,460,911.090774
110.0,350,914.026076
520.0,949,921.480847
245.0,653,926.947054
110.0,311,929.409071
220.0,689,934.815763
105.0,459,938.423772
155.0,551,942.895771
385.0,507,947.00176
65.0,384,950.23258
250.0,780,956.742029
340.0,719,962.723308
90.0,362,965.715814
80.0,288,968.306433
190.0,451,972.154451
210.0,471,976.051402
135.0,419,979.541394
120.0,482,983.610193
105.0,455,987.264661
20.0,356,990.109268
140.0,469,993.731182
275.0,734,999.977363
290.0,688,1006.133376
240.0,847,1013.037247
290.0,660,1018.480437
110.0,405,1021.819856
220.0,669,1026.97777
370.0,792,1033.358821
100.0,405,1036.532905
355.0,676,1041.784713
110.0,353,1044.646717
210.0,524,1048.68688
465.0,693,1054.397788
105.0,304,1056.790154
440.0,704,1062.703749
190.0,490,1066.456981
295.0,758,1072.599366
525.0,721,1078.310797
420.0,703,1083.780992
95.0,309,1086.205935
100.0,256,1088.473101
185.0,525,1092.790923
140.0,480,1096.636228
60.0,368,1099.598222
165.0,492,1103.372661
405.0,877,1110.104928
80.0,402,1113.213961
170.0,545,1117.771027
90.0,515,1121.957261
95.0,392,1125.089089
185.0,710,1130.647069
35.0,261,1132.697703
280.0,889,1139.915437
265.0,607,1144.632177
120.0,369,1147.518481
395.0,755,1153.769099
105.0,313,1156.412229
180.0,658,1161.559519
110.0,347,1164.26138
450.0,512,1168.293832
295.0,746,1174.291465
165.0,476,1178.227597
460.0,936,1185.783719
75.0,396,1188.975982
130.0,490,1192.882506
200.0,534,1197.089115
95.0,373,1199.888281
140.0,397,1202.901985
260.0,570,1207.43286
245.0,559,1211.757511
260.0,647,1216.956769
205.0,539,1221.249913
210.0,739,1227.153915
120.0,468,1231.235275
390.0,813,1237.697662
310.0,945,1245.237865
150.0,470,1249.030877
110.0,414,1252.305047
150.0,435,1255.742144
230.0,544,1259.952619
300.0,782,1266.171864
345.0,633,1271.304205
105.0,375,1274.193856
105.0,360,1277.028983
400.0,735,1282.611049
290.0,693,1288.102649
585.0,773,1294.583458
155.0,522,1298.921854
130.0,398,1302.096137
560.0,775,1308.255152
590.0,749,1314.022883
260.0,602,1318.645225
495.0,606,1323.57995
310.0,651,1328.743387
470.0,648,1333.907845
375.0,820,1340.087629
230.0,579,1344.559187
185.0,566,1349.129025
230.0,616,1354.188674
515.0,903,1361.580109
300.0,619,1366.307401
205.0,654,1371.602599
205.0,527,1376.008906
590.0,816,1382.445419
280.0,703,1387.97594
95.0,377,1391.147467
475.0,897,1398.40694
290.0,609,1403.1397
240.0,524,1407.081084
775.0,964,1414.992188
240.0,548,1419.378738
450.0,652,1424.506456
600.0,875,1431.46561
210.0,627,1436.363136
290.0,686,1441.603522
375.0,649,1446.657951
225.0,909,1454.291466
195.0,436,1457.712054
120.0,396,1460.724709
205.0,616,1465.555174
445.0,796,1471.94346
335.0,586,1476.537043
365.0,650,1481.57332
145.0,417,1484.822211
290.0,600,1489.738488
545.0,1018,1497.884174
355.0,676,1503.0609
670.0,865,1509.58274
440.0,751,1515.353921
350.0,630,1520.633085
485.0,798,1526.94329
300.0,586,1531.504372
490.0,854,1538.480149
550.0,712,1544.055458
225.0,685,1549.444591
630.0,1081,1557.807719
190.0,592,1562.306629
445.0,858,1569.012373
145.0,666,1574.235979
240.0,598,1579.065181
420.0,944,1586.442615
340.0,652,1591.646132
235.0,603,1596.27136
310.0,547,1600.72947
215.0,586,1605.460027
170.0,511,1609.502258
260.0,592,1614.075669
235.0,596,1618.598051
420.0,750,1624.389817
645.0,804,1630.674243
310.0,643,1635.611372
255.0,552,1639.853436
590.0,737,1645.560878
385.0,806,1651.892188
270.0,581,1656.487597
380.0,655,1661.617718
365.0,681,1666.908391
380.0,653,1672.187264
445.0,989,1679.688854
285.0,633,1684.965792
375.0,731,1690.681551
210.0,683,1696.247751
380.0,640,1701.154634
435.0,782,1707.362053
210.0,756,1713.367079
255.0,799,1719.561727
120.0,467,1723.161274
340.0,612,1728.10906
375.0,769,1734.100246
320.0,715,1739.836669
345.0,634,1744.842326
385.0,796,1750.97925
720.0,1021,1759.189627
230.0,774,1765.167122
360.0,833,1771.758513
295.0,618,1776.352199
550.0,675,1781.640254
665.0,835,1788.052535
225.0,510,1792.127914
200.0,512,1796.173339
380.0,841,1802.584436
380.0,761,1808.481028
200.0,464,1812.41925
320.0,882,1819.185557
555.0,1131,1827.891117
600.0,1053,1836.043449
430.0,682,1841.397895
310.0,714,1846.898833
575.0,808,1853.033948
525.0,1175,1861.98577
560.0,657,1866.926279
195.0,586,1871.390015
520.0,1034,1879.104657
365.0,765,1884.81309
515.0,1106,1893.658385
500.0,1246,1903.606338
740.0,994,1911.322594
265.0,708,1916.810701
210.0,610,1921.512161
625.0,734,1927.106049
180.0,642,1931.893565
330.0,565,1936.199788
620.0,1174,1945.154638
465.0,600,1949.709894
490.0,1070,1957.66359
645.0,611,1962.292142
