mean 100 episode reward,episodes,% time spent exploring,steps
4.9,25000,67,4537871
5.5,25100,67,4562137
4.8,25200,66,4583376
5.8,25300,66,4606600
5.3,25400,66,4629858
5.6,25500,66,4654583
4.9,25600,66,4675859
4.7,25700,66,4696605
5.5,25800,66,4718548
6.0,25900,65,4743236
5.7,26000,65,4767279
5.6,26100,65,4788835
5.4,26200,65,4810581
5.2,26300,65,4832254
5.4,26400,65,4853657
5.6,26500,64,4877391
5.4,26600,64,4899533
5.4,26700,64,4920767
5.7,26800,64,4942981
6.0,26900,64,4966761
5.3,27000,64,4987580
5.4,27100,63,5009946
5.7,27200,63,5033578
5.5,27300,63,5056429
5.5,27400,63,5076567
5.3,27500,63,5096511
6.3,27600,63,5120622
5.5,27700,62,5142191
5.1,27800,62,5161105
6.2,27900,62,5184612
5.3,28000,62,5206099
5.4,28100,62,5225665
6.1,28200,62,5250988
5.5,28300,62,5273069
5.1,28400,61,5293640
5.0,28500,61,5315285
4.9,28600,61,5336305
5.1,28700,61,5356441
6.1,28800,61,5380822
5.2,28900,61,5402012
6.4,29000,60,5427441
5.1,29100,60,5450091
5.7,29200,60,5472940
6.4,29300,60,5497266
4.7,29400,60,5518741
6.0,29500,60,5543666
5.1,29600,59,5567468
5.6,29700,59,5591949
6.2,29800,59,5617704
5.4,29900,59,5641508
4.9,30000,59,5663762
5.5,30100,59,5687664
5.5,30200,58,5711907
5.1,30300,58,5733982
5.5,30400,58,5756875
6.0,30500,58,5780665
5.0,30600,58,5802341
6.0,30700,58,5827265
5.2,30800,57,5850311
6.0,30900,57,5873802
5.9,31000,57,5897785
6.4,31100,57,5923660
5.7,31200,57,5949122
5.2,31300,57,5972074
5.2,31400,56,5996160
5.0,31500,56,6016141
5.5,31600,56,6039842
6.2,31700,56,6064458
6.0,31800,56,6087682
5.8,31900,56,6108397
5.5,32000,55,6129395
5.6,32100,55,6151805
5.5,32200,55,6174398
5.8,32300,55,6199211
5.5,32400,55,6220638
6.3,32500,55,6245368
5.7,32600,54,6266809
6.0,32700,54,6290531
6.5,32800,54,6314197
6.1,32900,54,6337598
5.7,33000,54,6359882
6.3,33100,54,6384411
6.1,33200,53,6408701
6.5,33300,53,6436303
5.9,33400,53,6461039
6.0,33500,53,6484968
6.5,33600,53,6507756
6.3,33700,52,6530567
6.2,33800,52,6554533
5.3,33900,52,6575312
6.5,34000,52,6599475
7.2,34100,52,6625461
7.2,34200,52,6653166
7.2,34300,51,6679323
7.0,34400,51,6705120
6.3,34500,51,6728556
6.7,34600,51,6752769
7.0,34700,51,6777110
6.8,34800,51,6800467
6.4,34900,50,6823585
7.0,35000,50,6849261
6.6,35100,50,6873655
7.2,35200,50,6899127
7.1,35300,50,6924596
6.9,35400,49,6952317
7.0,35500,49,6979498
6.7,35600,49,7005090
7.0,35700,49,7030818
7.0,35800,49,7058418
6.6,35900,49,7083079
6.3,36000,48,7108157
7.0,36100,48,7135745
5.8,36200,48,7161093
5.6,36300,48,7185317
7.1,36400,48,7214386
6.0,36500,47,7240079
6.8,36600,47,7268340
5.2,36700,47,7291251
6.5,36800,47,7316423
6.3,36900,47,7342257
6.5,37000,46,7369815
6.4,37100,46,7397953
6.2,37200,46,7422567
5.6,37300,46,7446322
6.4,37400,46,7473181
6.8,37500,45,7500798
6.3,37600,45,7526389
5.8,37700,45,7551942
6.2,37800,45,7580009
6.5,37900,45,7606430
6.4,38000,45,7633024
6.4,38100,44,7658570
6.5,38200,44,7684838
7.1,38300,44,7712381
6.9,38400,44,7740882
6.6,38500,44,7768570
7.2,38600,43,7796793
7.3,38700,43,7828495
7.2,38800,43,7857133
6.7,38900,43,7884349
7.2,39000,43,7915140
6.2,39100,42,7942970
6.4,39200,42,7970389
5.8,39300,42,7997375
6.3,39400,42,8025141
6.5,39500,42,8051517
6.8,39600,41,8079844
6.0,39700,41,8104588
5.9,39800,41,8128375
5.3,39900,41,8151359
6.4,40000,41,8178100
6.3,40100,40,8206374
6.0,40200,40,8229967
6.7,40300,40,8258824
6.3,40400,40,8285451
6.6,40500,40,8311223
6.6,40600,39,8337478
6.7,40700,39,8365445
6.5,40800,39,8393008
6.9,40900,39,8421381
6.1,41000,39,8447399
5.7,41100,39,8470876
6.7,41200,38,8497416
6.5,41300,38,8524159
6.2,41400,38,8549635
6.8,41500,38,8577470
6.1,41600,38,8604757
7.4,41700,37,8634134
6.2,41800,37,8660647
6.4,41900,37,8687291
6.0,42000,37,8714846
6.2,42100,37,8740418
7.8,42200,36,8772436
6.2,42300,36,8799433
6.3,42400,36,8827376
6.6,42500,36,8855866
5.7,42600,36,8881314
6.2,42700,35,8907273
6.0,42800,35,8931294
6.2,42900,35,8955642
6.7,43000,35,8984282
6.4,43100,35,9012461
6.4,43200,34,9041924
7.0,43300,34,9070712
6.3,43400,34,9097222
6.4,43500,34,9123893
6.7,43600,34,9152338
7.6,43700,33,9181996
9.1,43800,33,9218180
6.8,43900,33,9248260
7.3,44000,33,9280937
6.7,44100,32,9307778
7.9,44200,32,9339641
8.2,44300,32,9372396
7.4,44400,32,9401154
7.9,44500,32,9430227
7.8,44600,31,9459899
7.4,44700,31,9487924
7.5,44800,31,9516731
8.8,44900,31,9551292
8.3,45000,31,9582625
9.2,45100,30,9615525
10.2,45200,30,9651842
9.1,45300,30,9684263
7.3,45400,30,9714297
9.0,45500,29,9748664
9.2,45600,29,9782872
9.2,45700,29,9816486
9.3,45800,29,9851927
7.9,45900,28,9884357
9.3,46000,28,9917244
9.6,46100,28,9949799
10.0,46200,28,9986615
8.3,46300,27,10016554
9.9,46400,27,10050792
10.4,46500,27,10085459
9.6,46600,27,10119740
8.3,46700,26,10151084
10.3,46800,26,10186081
9.5,46900,26,10217811
9.2,47000,26,10251099
10.0,47100,25,10284000
9.9,47200,25,10318402
8.8,47300,25,10351483
10.6,47400,25,10386444
10.8,47500,24,10421619
11.6,47600,24,10457492
9.9,47700,24,10491744
10.0,47800,24,10522948
12.0,47900,23,10561480
11.5,48000,23,10599434
12.0,48100,23,10641280
10.0,48200,23,10677357
9.7,48300,22,10709880
12.6,48400,22,10749146
11.8,48500,22,10785606
11.9,48600,22,10822893
12.3,48700,21,10863692
10.4,48800,21,10897215
10.8,48900,21,10933627
11.6,49000,20,10972935
12.2,49100,20,11013186
11.4,49200,20,11050148
12.0,49300,20,11092092
12.8,49400,19,11133701
12.2,49500,19,11173895
10.7,49600,19,11209949
8.5,49700,19,11240620
10.4,49800,18,11276066
11.3,49900,18,11314216
10.2,50000,18,11351972
11.1,50100,18,11387571
12.0,50200,17,11425736
12.1,50300,17,11464316
10.0,50400,17,11496916
13.3,50500,16,11539845
11.6,50600,16,11577154
14.0,50700,16,11619351
12.0,50800,16,11657533
12.3,50900,15,11694802
12.3,51000,15,11731042
12.0,51100,15,11768633
10.7,51200,15,11803428
11.6,51300,14,11841919
14.2,51400,14,11887262
12.9,51500,14,11930009
12.3,51600,13,11968558
13.5,51700,13,12011165
13.2,51800,13,12052131
13.0,51900,12,12092322
13.0,52000,12,12134020
9.2,52100,12,12166028
12.2,52200,12,12204071
14.6,52300,11,12249380
11.9,52400,11,12283417
10.8,52500,11,12320448
13.7,52600,10,12363745
13.4,52700,10,12407612
11.7,52800,10,12446076
15.1,52900,10,12493639
