explained_variance,total_timesteps,value_loss,fps,nupdates,policy_entropy
0.954409021884203,7984000,0.08345445245504379,2050,99800,1.4395052194595337
0.9736445005983114,7992000,0.03743689879775047,2050,99900,1.4851515293121338
0.978182315826416,8000000,0.03928269073367119,2050,100000,1.5106334686279297
0.9826078452169895,8008000,0.05179612711071968,2050,100100,1.432356357574463
0.9916691174730659,8016000,0.02969825267791748,2050,100200,1.3336762189865112
0.9833091050386429,8024000,0.02645222842693329,2050,100300,1.38960862159729
0.9688438568264246,8032000,0.03880629688501358,2050,100400,1.3196933269500732
0.8860203921794891,8040000,0.12388613075017929,2050,100500,1.403426170349121
0.9835298378020525,8048000,0.025288322940468788,2050,100600,1.4166064262390137
0.9462378397583961,8056000,0.04086754843592644,2050,100700,1.4947175979614258
0.9841531813144684,8064000,0.03159501403570175,2050,100800,1.4548871517181396
0.9750690404325724,8072000,0.039951980113983154,2050,100900,1.4536585807800293
0.969267550855875,8080000,0.04289909452199936,2050,101000,1.3899567127227783
0.979736277833581,8088000,0.04600811004638672,2050,101100,1.6372747421264648
0.9542896524071693,8096000,0.09334726631641388,2050,101200,1.437829613685608
0.98588025290519,8104000,0.02891269326210022,2050,101300,1.5192699432373047
0.9827621914446354,8112000,0.023121440783143044,2050,101400,1.555497169494629
0.9753890167921782,8120000,0.04032303765416145,2051,101500,1.6235456466674805
0.9687911588698626,8128000,0.04718954116106033,2051,101600,1.5901024341583252
0.9551071487367153,8136000,0.09605521708726883,2051,101700,1.4843425750732422
0.9711084105074406,8144000,0.04983378201723099,2051,101800,1.4638915061950684
0.9725419320166111,8152000,0.05783320590853691,2051,101900,1.4211980104446411
0.9945854065008461,8160000,0.011401229538023472,2051,102000,1.5642691850662231
0.9777511954307556,8168000,0.03627603501081467,2051,102100,1.4948997497558594
0.982898561283946,8176000,0.04111512005329132,2051,102200,1.5757043361663818
0.9881175318732858,8184000,0.025416040793061256,2051,102300,1.4946691989898682
