value_loss,explained_variance,total_timesteps,policy_entropy,nupdates,fps
3.3545206861163024e-06,-1.9248487949371338,4168000,2.8903648853302,52100,1731
5.134947059559636e-06,-2.180959939956665,4176000,2.8903651237487793,52200,1731
4.319463187130168e-06,-2.0374410152435303,4184000,2.8903660774230957,52300,1732
3.6090191315452103e-06,-0.792546272277832,4192000,2.890366554260254,52400,1731
5.646516910928767e-06,-0.32753288745880127,4200000,2.890367031097412,52500,1731
3.494041493468103e-06,-1.169374704360962,4208000,2.890367031097412,52600,1731
2.802200469886884e-06,-1.0077285766601562,4216000,2.8903648853302,52700,1731
5.300481461745221e-06,-1.6748154163360596,4224000,2.890364408493042,52800,1731
3.6115538932790514e-06,-0.8133591413497925,4232000,2.89036226272583,52900,1731
4.522692506725434e-06,-0.8893409967422485,4240000,2.8903636932373047,53000,1731
6.276715339481598e-06,-0.3368903398513794,4248000,2.8903632164001465,53100,1731
4.023025667265756e-06,-1.577925443649292,4256000,2.8903627395629883,53200,1731
4.381468897918239e-06,-0.9251958131790161,4264000,2.890363931655884,53300,1731
3.868856310873525e-06,-1.8892500400543213,4272000,2.890364170074463,53400,1731
3.6451579035201576e-06,-0.6333713531494141,4280000,2.8903651237487793,53500,1731
2.903979748225538e-06,-0.8056797981262207,4288000,2.8903651237487793,53600,1731
3.718274001585087e-06,-1.7539763450622559,4296000,2.890364170074463,53700,1731
3.2032203307608142e-06,-0.6220158338546753,4304000,2.8903653621673584,53800,1731
2.946592303487705e-06,-0.8034490346908569,4312000,2.8903651237487793,53900,1731
2.7348830826667836e-06,-0.16575098037719727,4320000,2.8903632164001465,54000,1731
2.4540254344174173e-06,-0.43870246410369873,4328000,2.8903629779815674,54100,1731
4.508110578171909e-06,-1.2658751010894775,4336000,2.890364170074463,54200,1731
5.924350261921063e-06,-0.7269328832626343,4344000,2.8903651237487793,54300,1731
1.925815695358324e-06,-0.9162628650665283,4352000,2.8903636932373047,54400,1731
1.0154129995498806e-05,0.05183982849121094,4360000,2.8903634548187256,54500,1732
3.7114398310222896e-06,-3.6002917289733887,4368000,2.890364170074463,54600,1731
3.0073715606704354e-06,-0.8697509765625,4376000,2.8903632164001465,54700,1731
3.4254474030603888e-06,-0.41380274295806885,4384000,2.8903613090515137,54800,1731
2.456429228914203e-06,0.20824140310287476,4392000,2.890361785888672,54900,1731
2.723903662626981e-06,-0.8740636110305786,4400000,2.8903629779815674,55000,1731
4.433017238625325e-06,-0.21916067600250244,4408000,2.890362501144409,55100,1731
4.308932147978339e-06,-0.4428764581680298,4416000,2.89036226272583,55200,1731
3.326729711261578e-06,0.010607779026031494,4424000,2.890361785888672,55300,1731
3.1663425943406764e-06,-1.1869299411773682,4432000,2.8903613090515137,55400,1731
4.809685833606636e-06,-0.19752633571624756,4440000,2.8903636932373047,55500,1731
6.129013399913674e-06,-0.8126752376556396,4448000,2.8903632164001465,55600,1731
3.2015238957683323e-06,-0.6835932731628418,4456000,2.8903632164001465,55700,1731
5.419969966169447e-06,-1.0692203044891357,4464000,2.890364408493042,55800,1730
5.715083716495428e-06,-0.24847376346588135,4472000,2.890364408493042,55900,1730
3.707344831127557e-06,-0.2872060537338257,4480000,2.8903636932373047,56000,1731
1.495960304964683e-06,-2.7976438999176025,4488000,2.8903660774230957,56100,1731
2.79736605079961e-06,-0.5219393968582153,4496000,2.8903660774230957,56200,1731
5.421457899501547e-06,-1.4326937198638916,4504000,2.8903653621673584,56300,1731
2.11126484828128e-06,-0.15542078018188477,4512000,2.890364170074463,56400,1731
3.5567477425502148e-06,-1.0108776092529297,4520000,2.8903648853302,56500,1731
3.0897342639946146e-06,-1.2191824913024902,4528000,2.890364170074463,56600,1731
2.553477770561585e-06,-1.087878942489624,4536000,2.8903651237487793,56700,1731
4.8015253923949786e-06,-0.293359637260437,4544000,2.8903660774230957,56800,1731
2.1903870219830424e-06,-0.5810829401016235,4552000,2.8903658390045166,56900,1731
3.853620910376776e-06,-1.0205137729644775,4560000,2.890366315841675,57000,1732
