#{"t_start": 1524186538.7521882, "env_id": "PongNoFrameskip-v0"}
r,l,t
-20.0,924,18.651454
-21.0,760,24.387976
-20.0,929,31.54522
-21.0,821,37.876018
-20.0,987,45.456488
-19.0,992,53.151252
-20.0,884,60.303922
-18.0,1039,68.364379
-21.0,955,75.712286
-21.0,847,82.080624
-21.0,850,88.65486
-21.0,789,94.892525
-21.0,850,101.495319
-18.0,1241,111.163358
-21.0,789,117.268695
-21.0,881,123.973289
-21.0,815,130.490684
-21.0,879,137.195031
-21.0,807,143.555414
-20.0,960,150.728544
-21.0,925,157.841637
-20.0,949,165.347466
-21.0,883,172.214494
-20.0,1059,180.535936
-21.0,902,187.570202
-20.0,1002,195.234308
-21.0,1075,203.441503
-21.0,907,210.57123
-21.0,938,217.88851
-20.0,1075,225.952592
-21.0,762,231.80589
-20.0,890,238.925012
-20.0,1099,247.255902
-21.0,809,253.546003
-21.0,909,260.629493
-20.0,1006,268.342882
-19.0,1085,276.601986
-18.0,1233,286.201434
-21.0,895,293.20565
-19.0,1078,301.728762
-21.0,850,308.413175
-21.0,866,314.891472
-17.0,1192,323.892364
-21.0,845,330.359194
-19.0,1142,339.256179
-21.0,945,346.59633
-21.0,884,353.468822
-19.0,1114,362.041393
-21.0,864,368.925886
-20.0,836,375.406953
-20.0,856,382.19843
-20.0,964,389.734635
-21.0,870,396.383346
-21.0,791,402.553759
-21.0,759,408.450562
-21.0,817,414.806838
-21.0,846,421.426993
-20.0,917,428.51282
-19.0,918,435.665834
-21.0,849,442.325456
-20.0,1047,450.426573
-21.0,763,456.189932
-20.0,842,462.609655
-20.0,976,470.049154
-18.0,1053,478.082036
-19.0,1082,486.386472
-18.0,1314,496.593114
-21.0,792,502.929483
-21.0,940,510.309082
-21.0,823,516.710277
-20.0,886,523.620089
-21.0,852,530.1496
-21.0,757,535.988319
-21.0,779,541.911304
-21.0,823,548.217051
-21.0,820,554.493778
-20.0,855,561.00346
-20.0,1015,568.689236
-20.0,1022,576.750201
-20.0,924,584.120465
-20.0,881,590.866043
-19.0,1080,599.156617
-20.0,1036,607.041857
-21.0,969,614.277363
-20.0,886,621.125655
-20.0,919,628.204904
-20.0,876,634.900029
-19.0,934,642.05632
-20.0,1008,649.863437
-21.0,761,655.675748
-20.0,966,663.192266
-19.0,1093,671.529028
-20.0,1100,679.882257
-21.0,937,686.918617
-20.0,1138,695.879582
-18.0,1092,704.072175
-21.0,839,710.491676
-21.0,788,716.411298
-21.0,810,722.628483
-20.0,884,729.49256
-20.0,874,736.081944
-20.0,942,743.422301
-21.0,904,750.277925
-21.0,857,756.929677
-19.0,933,764.380476
-21.0,908,771.643386
-19.0,1035,779.655998
-21.0,820,786.208081
-17.0,1167,795.444758
-21.0,946,802.792949
-20.0,1091,811.249632
-20.0,860,817.971079
-21.0,895,825.066826
-20.0,1197,834.470192
-19.0,943,841.701503
-19.0,1003,849.396824
-20.0,942,856.73628
-21.0,882,863.471756
-20.0,910,870.565806
-20.0,896,877.463465
-21.0,1058,885.667592
-21.0,911,892.466189
-20.0,1020,900.278647
-21.0,764,906.231522
-20.0,898,912.920563
-21.0,910,920.106991
-19.0,1233,929.659866
-21.0,930,936.837868
-21.0,883,943.587588
-20.0,1049,951.714993
-21.0,940,959.414665
-21.0,763,965.460177
-18.0,1037,973.355507
-20.0,1001,980.931849
-21.0,825,987.249526
-20.0,912,994.127672
-21.0,786,1000.25186
-19.0,1096,1008.527799
-20.0,1094,1016.898967
-20.0,863,1023.452552
-20.0,960,1030.697389
-21.0,852,1037.227667
-20.0,928,1044.37191
-21.0,764,1050.435867
-20.0,1074,1058.626967
-20.0,930,1065.779436
-20.0,897,1072.61086
-21.0,819,1078.874156
-21.0,975,1086.281664
-20.0,898,1092.999445
-21.0,958,1100.38011
-21.0,910,1107.522918
-21.0,907,1114.697268
-20.0,919,1121.676845
-20.0,997,1129.209943
-21.0,816,1135.300058
-20.0,897,1142.072565
-21.0,885,1148.785111
-19.0,1157,1157.271196
-21.0,882,1163.90779
-20.0,1162,1173.158439
-20.0,1016,1181.013475
-19.0,1174,1190.146814
-20.0,1121,1198.732739
-21.0,760,1204.602712
-21.0,881,1211.559417
-20.0,915,1218.595778
-19.0,1274,1228.304933
-19.0,1143,1236.846527
-20.0,962,1244.120361
-21.0,1119,1252.711873
-21.0,909,1259.674103
-20.0,900,1266.478585
-21.0,780,1272.530076
-21.0,764,1278.48777
-21.0,850,1285.057673
-20.0,924,1292.020426
-19.0,1059,1300.249751
-20.0,928,1307.470342
-20.0,887,1314.551721
-18.0,1021,1322.727533
-19.0,992,1330.31242
-20.0,1006,1338.46177
-19.0,1024,1346.41324
-21.0,909,1353.449111
