nupdates,explained_variance,value_loss,fps,policy_entropy,total_timesteps,avg reward
63600,0.30429893732070923,2714618.5,1931,0.0,5088000,9600.58041381836
63700,-1.043891429901123,632125.3125,1931,0.0,5096000,-6356.724768066406
63800,-0.2987786531448364,1642199.25,1931,0.0,5104000,9071.394409179688
63900,0.9273011311888695,56487.58203125,1931,0.0,5112000,-7881.118188476563
64000,0.01276630163192749,455336.6875,1932,0.0,5120000,2878.1360137939455
64100,0.9199356734752655,44138.9453125,1932,0.0,5128000,-8047.013598632812
64200,0.47247380018234253,496337.3125,1932,0.0,5136000,12898.669311523438
64300,0.9336534217000008,9775.890625,1932,0.0,5144000,3867.4357421875
64400,0.12764006853103638,1476047.5,1932,0.0,5152000,-6328.065014648438
64500,0.9144811108708382,63077.55078125,1932,0.0,5160000,8078.300103759766
64600,-0.4658280611038208,5821432.0,1932,0.0,5168000,11859.887939453125
64700,0.8566696494817734,219858.84375,1932,0.0,5176000,-15646.422790527344
64800,0.10337948799133301,62519.21875,1932,0.0,5184000,1249.3599319458008
64900,-0.7023440599441528,963020.8125,1932,0.0,5192000,-8175.05126953125
65000,0.8898569941520691,3747.188232421875,1932,0.0,5200000,-1858.0620849609375
65100,-0.11458456516265869,764105.4375,1932,0.0,5208000,-2954.4934509277346
65200,0.886101633310318,77259.5703125,1932,0.0,5216000,8280.649694824218
65300,0.025086045265197754,249858.296875,1932,0.0,5224000,2457.121484375
65400,-0.42978572845458984,1068121.375,1932,0.0,5232000,9087.920532226562
65500,0.051389098167419434,5148424.0,1932,0.0,5240000,15063.482238769531
65600,0.26870203018188477,2677642.25,1932,0.0,5248000,-10930.574737548828
65700,0.9264781028032303,22202.328125,1932,0.0,5256000,6737.3112121582035
65800,0.8484411388635635,97163.546875,1932,0.0,5264000,-8199.480511474609
65900,0.806150496006012,2518.37744140625,1932,0.0,5272000,854.3905448913574
66000,0.1381523609161377,6119403.0,1932,0.0,5280000,-16864.619384765625
66100,0.7632760554552078,5012.48486328125,1932,0.0,5288000,-2488.8501861572267
66200,0.8627058863639832,290741.03125,1932,0.0,5296000,16003.036755371093
66300,-0.21633636951446533,10811624.0,1932,0.0,5304000,14298.5833984375
66400,0.8339439183473587,134854.734375,1932,0.0,5312000,10331.82950439453
66500,-0.07232141494750977,2316016.25,1932,0.0,5320000,10304.844348144532
66600,-0.0690237283706665,218007.90625,1932,0.0,5328000,1815.7534378051757
66700,0.6725681126117706,233145.09375,1932,0.0,5336000,-12630.601403808594
66800,0.4384162425994873,43543.14453125,1932,0.0,5344000,-6539.272033691406
66900,0.9667306467890739,186706.6875,1933,0.0,5352000,18755.50115966797
67000,0.8716179579496384,180096.578125,1932,0.0,5360000,16984.996228027343
67100,0.9710587337613106,44449.26953125,1933,0.0,5368000,6391.082244873047
67200,0.9529697224497795,24410.33984375,1933,0.0,5376000,-6064.487451171875
67300,0.9344724640250206,26801.447265625,1933,0.0,5384000,-6281.18676147461
67400,-1.6898698806762695,239704.703125,1933,0.0,5392000,6073.9932861328125
67500,0.3368868827819824,35914.8203125,1933,0.0,5400000,-5223.61513671875
67600,0.7271285653114319,479594.09375,1933,0.0,5408000,22597.420703125
67700,0.8359830230474472,630.3985595703125,1933,0.0,5416000,-386.804913520813
67800,0.9653168357908726,815.7149658203125,1932,0.0,5424000,1134.815650177002
67900,0.9740076437592506,38785.7421875,1932,0.0,5432000,6712.765081787109
68000,0.6454063653945923,37848.68359375,1932,0.0,5440000,5956.155706787109
68100,-0.07102000713348389,1308540.5,1932,0.0,5448000,-8625.374560546876
68200,-0.1550757884979248,147025.015625,1932,0.0,5456000,-2032.9514907836915
68300,-0.3803842067718506,715280.8125,1932,0.0,5464000,15755.692651367188
68400,0.851510539650917,549787.25,1932,0.0,5472000,-19874.161755371093
68500,0.8000731915235519,18883.4140625,1932,0.0,5480000,-3921.4622467041017
68600,0.06361210346221924,2641637.75,1932,0.0,5488000,-8694.599829101562
68700,0.872855544090271,20900.306640625,1932,0.0,5496000,4969.445596313477
68800,0.8318691998720169,158196.265625,1932,0.0,5504000,-16353.169494628906
68900,0.17173153162002563,4859.74072265625,1931,0.0,5512000,441.659733581543
69000,-0.0490645170211792,7265531.0,1932,0.0,5520000,22223.26706542969
69100,-0.05594313144683838,801642.25,1931,0.0,5528000,-5624.798571777344
69200,0.9466914087533951,12155.8125,1931,0.0,5536000,3855.8650665283203
69300,0.8563457280397415,78282.3828125,1931,0.0,5544000,10038.998974609374
69400,0.9043193534016609,257672.21875,1931,0.0,5552000,14812.199328613282
69500,0.16749286651611328,176066.703125,1931,0.0,5560000,-2533.5602294921873
69600,0.8451211154460907,199402.578125,1932,0.0,5568000,12890.914929199218
69700,0.10698080062866211,1008717.625,1932,0.0,5576000,4861.507537841797
69800,0.6628663539886475,830753.5,1931,0.0,5584000,-25115.98210449219
69900,0.13858717679977417,1524740.75,1931,0.0,5592000,5969.825354003906
70000,0.2413254976272583,274258.90625,1931,0.0,5600000,3740.218542480469
70100,-0.09386312961578369,6252314.0,1931,0.0,5608000,-12219.6376953125
70200,0.7301318943500519,158277.375,1931,0.0,5616000,11425.209692382812
70300,0.9476842060685158,136507.203125,1931,0.0,5624000,12990.814154052734
70400,0.06589078903198242,592451.375,1932,0.0,5632000,-3874.808609008789
70500,0.7398044168949127,32015.1875,1932,0.0,5640000,6075.605224609375
70600,0.8260138630867004,23361.2578125,1932,0.0,5648000,4595.168563842773
70700,0.1908050775527954,5600867.0,1932,0.0,5656000,-15703.531372070312
70800,-0.16258502006530762,492855.09375,1932,0.0,5664000,6831.420751953125
70900,-0.22586274147033691,395148.0625,1932,0.0,5672000,-11800.951293945312
71000,-0.08215701580047607,12391122.0,1932,0.0,5680000,-13049.042419433594
71100,0.9721432905644178,79351.953125,1932,0.0,5688000,10590.537414550781
71200,-0.845526933670044,2222233.0,1932,0.0,5696000,-9141.34306640625
71300,-0.19439470767974854,1394264.875,1932,0.0,5704000,-4583.568920898438
71400,0.8608174175024033,174008.046875,1932,0.0,5712000,-12909.465698242188
71500,0.6899731755256653,5494.56640625,1932,0.0,5720000,-1111.8710662841797
71600,-0.22426629066467285,59867.26953125,1932,0.0,5728000,-1392.4077346801757
71700,0.7322363257408142,45915.296875,1932,0.0,5736000,-6489.231713867188
71800,-4.153787612915039,16545.29296875,1932,0.0,5744000,1593.3458221435546
