#{"t_start": 1525807877.7307284, "env_id": "PongNoFrameskip-v0"}
r,l,t
-20.0,895,21.273442
-21.0,925,29.269096
-19.0,1190,39.205996
-20.0,1037,47.56807
-21.0,1003,55.49826
-21.0,969,63.559487
-21.0,851,70.635331
-21.0,789,77.090877
-19.0,1109,85.660371
-20.0,1015,93.46594
-21.0,967,100.975106
-18.0,1014,109.303593
-19.0,973,116.702149
-20.0,963,123.942799
-20.0,1130,133.598839
-21.0,967,142.021785
-21.0,864,149.165823
-21.0,939,156.944671
-21.0,999,164.99598
-19.0,1204,174.707303
-21.0,828,181.532979
-20.0,835,188.284334
-20.0,881,195.674994
-21.0,972,204.199747
-20.0,877,211.825006
-21.0,971,220.018145
-21.0,938,227.730842
-21.0,776,233.685953
-21.0,851,240.495035
-20.0,837,247.000484
-20.0,895,254.657456
-21.0,876,261.969389
-20.0,951,270.251463
-21.0,930,277.866122
-21.0,841,284.842328
-20.0,986,292.721352
-21.0,847,299.572854
-18.0,1222,309.781576
-21.0,780,316.205029
-21.0,881,323.601982
-20.0,862,330.884782
-21.0,848,338.016356
-20.0,871,345.095541
-21.0,852,351.897242
-21.0,840,358.499935
-20.0,858,364.942559
-20.0,959,372.049541
-21.0,907,379.098046
-21.0,901,385.758915
-19.0,1145,395.648183
-21.0,883,402.733594
-19.0,993,410.669772
-19.0,1134,420.271808
-19.0,1007,428.571661
-21.0,884,435.563832
-18.0,1048,444.08554
-20.0,919,451.527113
-21.0,1063,460.264282
-20.0,932,467.896017
-21.0,788,473.903465
-21.0,817,480.263924
-20.0,1073,488.274825
-20.0,838,494.65286
-17.0,1125,504.070437
-19.0,1052,513.208072
-20.0,842,520.135331
-20.0,969,528.123106
-20.0,1005,536.290434
-21.0,820,542.747013
-21.0,913,550.095769
-21.0,824,557.108388
-21.0,904,564.820772
-20.0,945,572.724238
-19.0,1008,581.141729
-20.0,925,588.801208
-20.0,933,596.504755
-21.0,879,603.739724
-19.0,1047,612.701852
-20.0,898,620.21522
-21.0,897,627.786447
-21.0,882,635.152069
-21.0,782,641.507767
-19.0,938,649.225238
-20.0,958,656.866647
-21.0,897,664.324147
-21.0,975,672.485083
-18.0,1251,682.690707
-20.0,925,690.478416
-20.0,909,698.40696
-18.0,1166,708.12981
-20.0,887,715.313474
-21.0,974,722.982705
