#{"t_start": 1525807878.0366938, "env_id": "PongNoFrameskip-v0"}
r,l,t
-20.0,894,20.935329
-20.0,916,28.865654
-21.0,763,35.174677
-21.0,907,42.67095
-20.0,910,49.852518
-19.0,951,57.487001
-19.0,1145,67.025663
-21.0,817,73.803004
-21.0,852,80.617472
-21.0,970,88.11962
-21.0,1059,96.387389
-21.0,848,102.974531
-21.0,847,109.942472
-20.0,961,117.163242
-21.0,1029,124.970463
-21.0,935,132.963476
-20.0,840,140.209775
-21.0,758,146.637495
-19.0,996,154.895312
-21.0,938,162.594584
-21.0,825,169.176761
-21.0,956,177.165217
-19.0,1065,185.684425
-21.0,863,192.667119
-21.0,778,199.467146
-20.0,837,206.898554
-20.0,836,214.150803
-21.0,884,221.573319
-20.0,836,228.31632
-21.0,817,234.584241
-21.0,791,240.888351
-19.0,933,248.235698
-20.0,873,255.762194
-20.0,835,262.868149
-20.0,932,270.877761
-21.0,1032,279.294667
-21.0,824,285.984197
-20.0,984,293.918774
-20.0,899,301.337023
-21.0,879,308.600811
-20.0,957,316.460915
-20.0,1015,325.004997
-19.0,994,333.394928
-19.0,973,341.441617
-19.0,1049,349.812918
-20.0,943,357.34939
-20.0,1139,365.882877
-21.0,984,373.252356
-20.0,921,380.341963
-20.0,1066,388.506457
-21.0,966,396.890528
-21.0,883,403.968158
-17.0,1252,414.36756
-21.0,865,421.55409
-20.0,913,429.004938
-20.0,904,436.174205
-20.0,900,443.51487
-21.0,850,450.421905
-21.0,878,457.533983
-19.0,976,465.570598
-20.0,895,472.560359
-21.0,779,478.631198
-20.0,952,485.799654
-21.0,1061,493.81115
-21.0,807,500.542673
-21.0,967,508.697096
-21.0,844,515.827048
-20.0,987,524.067582
-20.0,862,531.130957
-21.0,825,537.790888
-20.0,998,545.609043
-19.0,1020,554.139998
-20.0,893,561.593561
-21.0,908,569.408226
-20.0,864,576.780086
-21.0,965,584.557813
-19.0,1057,593.405728
-20.0,900,600.63942
-20.0,867,608.160009
-21.0,820,615.089611
-21.0,1115,624.41622
-21.0,905,631.87453
-18.0,1011,640.272168
-21.0,908,647.705957
-21.0,872,654.759505
-21.0,938,662.539901
-21.0,906,670.086565
-21.0,851,677.051609
-20.0,1102,686.185866
-21.0,790,692.829873
-20.0,986,701.631706
-20.0,903,708.85413
