total_timesteps,policy_entropy,learning rate,explained_variance,nupdates,fps,avg reward,value_loss
456000,1.7786613702774048,0.0007,0.9556526094675064,5700,1940,-1.8577280968427659,0.0050203874707221985
464000,1.7763032913208008,0.0007,0.92250806838274,5800,1939,-2.484502896666527,0.005195700563490391
472000,1.7794628143310547,0.0007,0.7628717124462128,5900,1938,-2.2322873011231423,0.033302560448646545
480000,1.7812007665634155,0.0007,0.8266066014766693,6000,1937,-2.389922221004963,0.009476076811552048
488000,1.7794809341430664,0.0007,0.8399133086204529,6100,1935,-1.9421378314495086,0.005160674452781677
496000,1.7851368188858032,0.0007,0.8080478459596634,6200,1934,-1.7771544635295868,0.006476207636296749
504000,1.783876657485962,0.0007,0.9208436757326126,6300,1933,-2.202273292839527,0.0047148847952485085
512000,1.7900890111923218,0.0007,0.6578551530838013,6400,1934,-1.5312847010791302,0.016733942553400993
520000,1.7898086309432983,0.0007,0.7771200090646744,6500,1934,-1.8906209915876389,0.006842313800007105
528000,1.7885278463363647,0.0007,0.5893706977367401,6600,1934,-2.070531465113163,0.025699054822325706
536000,1.7831398248672485,0.0007,0.8683039844036102,6700,1936,-2.1115069314837456,0.00619631540030241
544000,1.7716375589370728,0.0007,0.933004729449749,6800,1936,-2.1937606200575828,0.012042759917676449
552000,1.777353048324585,0.0007,0.9271533563733101,6900,1936,-1.904992762953043,0.0057844375260174274
560000,1.769822359085083,0.0007,0.9559284932911396,7000,1936,-1.8934651598334313,0.0022917422465980053
568000,1.768588662147522,0.0007,0.8080373257398605,7100,1936,-1.815694935619831,0.012603211216628551
576000,1.7725849151611328,0.0007,0.9164127930998802,7200,1936,-1.506305181980133,0.004902246408164501
584000,1.7694528102874756,0.0007,0.8492138534784317,7300,1936,-2.1165825322270395,0.011643623001873493
592000,1.773267388343811,0.0007,0.6463938057422638,7400,1936,-2.207900747656822,0.021968800574541092
600000,1.7730607986450195,0.0007,0.8861108794808388,7500,1935,-1.9231066912412644,0.007080040872097015
608000,1.7819478511810303,0.0007,0.9175201207399368,7600,1934,-1.7319466419517995,0.005791814997792244
616000,1.7843225002288818,0.0007,0.9147214144468307,7700,1934,-1.8407135426998138,0.005170619580894709
624000,1.7842811346054077,0.0007,0.9189994931221008,7800,1933,-1.8421460106968879,0.005531274247914553
632000,1.7793766260147095,0.0007,0.8794597908854485,7900,1933,-2.2886512354016304,0.006380112376064062
640000,1.7839235067367554,0.0007,0.9433752410113811,8000,1933,-2.547170068323612,0.005501226522028446
648000,1.7864742279052734,0.0007,0.9689247962087393,8100,1934,-2.178938691690564,0.007927256636321545
656000,1.7849565744400024,0.0007,0.868889719247818,8200,1935,-2.101173807680607,0.006980259902775288
664000,1.7831847667694092,0.0007,0.8826937526464462,8300,1935,-2.027083001285791,0.007182384375482798
672000,1.7858998775482178,0.0007,0.8499002903699875,8400,1937,-1.6422616869211197,0.0066344947554171085
680000,1.786026954650879,0.0007,0.9475293569266796,8500,1939,-1.9402277983725071,0.007071009837090969
688000,1.7857606410980225,0.0007,0.8410607129335403,8600,1941,-1.5433173161000013,0.02471659705042839
696000,1.7808706760406494,0.0007,0.7702331244945526,8700,1943,-2.015500712394714,0.019778897985816002
704000,1.7824647426605225,0.0007,0.9160792157053947,8800,1945,-1.7696990806609392,0.009461188688874245
712000,1.7858527898788452,0.0007,0.8766097947955132,8900,1945,-1.858409795165062,0.005448855925351381
720000,1.7799561023712158,0.0007,0.9236132428050041,9000,1948,-2.662784942984581,0.002462491625919938
728000,1.7856098413467407,0.0007,0.7541101276874542,9100,1950,-1.722351509332657,0.013727192766964436
736000,1.7744699716567993,0.0007,0.8298837691545486,9200,1950,-2.3770576775074006,0.011541256681084633
744000,1.7812076807022095,0.0007,0.9240257740020752,9300,1948,-2.180687330663204,0.01093331165611744
752000,1.782336950302124,0.0007,0.7956229746341705,9400,1948,-1.7531877875328064,0.00969261210411787
760000,1.7829439640045166,0.0007,0.7819397747516632,9500,1948,-1.781856368482113,0.014401557855308056
768000,1.7852903604507446,0.0007,0.9004200994968414,9600,1949,-1.916142539680004,0.0066580562852323055
776000,1.7815196514129639,0.0007,0.8746475130319595,9700,1949,-2.171465301513672,0.006010686978697777
784000,1.7841427326202393,0.0007,0.9642870835959911,9800,1948,-1.8966647002846002,0.005562879610806704
792000,1.783346176147461,0.0007,0.8069783449172974,9900,1948,-1.7457360222935676,0.015550902113318443
800000,1.7850637435913086,0.0007,0.9464743621647358,10000,1947,-2.1043262518942356,0.005798140075057745
808000,1.7852894067764282,0.0007,0.9059068560600281,10100,1947,-1.8456513188779353,0.006799689494073391
816000,1.7814915180206299,0.0007,0.9025839120149612,10200,1948,-1.7889651581645012,0.01090589165687561
824000,1.7816283702850342,0.0007,0.9393558874726295,10300,1949,-1.9486723147332667,0.009757541120052338
832000,1.7874362468719482,0.0007,0.8700470328330994,10400,1949,-1.9492890805006027,0.012283761985599995
840000,1.7862498760223389,0.0007,0.9077034369111061,10500,1949,-2.2589687049388885,0.005766340997070074
848000,1.786307692527771,0.0007,0.8392560482025146,10600,1949,-2.0045396834611893,0.007396112196147442
856000,1.7861191034317017,0.0007,0.7630200982093811,10700,1949,-1.7847632110118865,0.015909241512417793
864000,1.7833179235458374,0.0007,0.9078307822346687,10800,1949,-1.8279267743229866,0.005894033703953028
872000,1.7783654928207397,0.0007,0.8740159571170807,10900,1950,-2.082344251871109,0.010370498523116112
880000,1.7744489908218384,0.0007,0.9025283753871918,11000,1949,-2.328481896221638,0.007125377655029297
888000,1.7820440530776978,0.0007,0.949235450476408,11100,1949,-1.9676898762583732,0.004332896787673235
896000,1.7785303592681885,0.0007,0.9629442393779755,11200,1950,-2.1450651071965696,0.004932017531245947
904000,1.7821086645126343,0.0007,0.7448333203792572,11300,1951,-1.98195468634367,0.02414778433740139
912000,1.7808525562286377,0.0007,0.9126470312476158,11400,1952,-2.0173710331320764,0.007816562429070473
920000,1.7847379446029663,0.0007,0.7756718248128891,11500,1954,-1.6337319284677505,0.016740698367357254
928000,1.7849617004394531,0.0007,0.832446500658989,11600,1955,-2.0824056789278984,0.010344420559704304
936000,1.786237359046936,0.0007,0.9406409524381161,11700,1956,-2.0305425219237803,0.014432343654334545
944000,1.7835969924926758,0.0007,0.8853039741516113,11800,1957,-2.147859698534012,0.005590859334915876
952000,1.7818454504013062,0.0007,0.6186056137084961,11900,1957,-2.025068846344948,0.03388367220759392
960000,1.7810455560684204,0.0007,0.8487490117549896,12000,1957,-2.2749696746468544,0.00672855693846941
968000,1.7845131158828735,0.0007,0.970327366143465,12100,1956,-1.5471796859055758,0.0040299235843122005
976000,1.7800090312957764,0.0007,0.9284664839506149,12200,1956,-2.2329367443919184,0.009829037822782993
984000,1.7832210063934326,0.0007,0.8060822784900665,12300,1955,-1.9218851499259473,0.029276400804519653
992000,1.7822535037994385,0.0007,0.8746531009674072,12400,1954,-1.7426085740327835,0.015469750389456749
1000000,1.7851406335830688,0.0007,0.9115302637219429,12500,1954,-1.4569460403174161,0.015592342242598534
1008000,1.784637212753296,0.0007,0.8864577636122704,12600,1954,-1.5322629347443582,0.011111765168607235
1016000,1.7836030721664429,0.0007,0.86619533598423,12700,1954,-2.008212719857693,0.009298361837863922
1024000,1.784987449645996,0.0007,0.9263410419225693,12800,1954,-2.2207937836647034,0.009693203493952751
1032000,1.7851301431655884,0.0007,0.7281342148780823,12900,1955,-2.002383027970791,0.012458117678761482
1040000,1.7848228216171265,0.0007,0.7977593541145325,13000,1955,-1.8566031455993652,0.017358845099806786
1048000,1.784558653831482,0.0007,0.9111576154828072,13100,1956,-2.165531165897846,0.004720757249742746
1056000,1.7886565923690796,0.0007,0.9313735663890839,13200,1955,-1.784130285680294,0.004308406729251146
1064000,1.7876832485198975,0.0007,0.884680487215519,13300,1954,-1.8824843719601632,0.008548093028366566
1072000,1.7852519750595093,0.0007,0.8521465063095093,13400,1954,-1.9652286171913147,0.008881958201527596
1080000,1.784650444984436,0.0007,0.8506661057472229,13500,1953,-1.9290916725993157,0.010805083438754082
1088000,1.7855641841888428,0.0007,0.8709318488836288,13600,1953,-1.9652940168976785,0.006356923375278711
1096000,1.7861652374267578,0.0007,0.9363509491086006,13700,1953,-2.096773174405098,0.005831879563629627
1104000,1.7866556644439697,0.0007,0.8805766180157661,13800,1952,-2.220095567405224,0.006752522196620703
1112000,1.7894624471664429,0.0007,0.9486214891076088,13900,1952,-1.685587852075696,0.006055497098714113
1120000,1.7878987789154053,0.0007,0.9644716903567314,14000,1952,-1.8888345956802368,0.0031143378000706434
1128000,1.7878166437149048,0.0007,0.8543014079332352,14100,1952,-1.557299629971385,0.01078987680375576
1136000,1.7865225076675415,0.0007,0.947474654763937,14200,1951,-1.8121939539909362,0.0035896585322916508
1144000,1.7838233709335327,0.0007,0.9152262434363365,14300,1952,-2.582662419974804,0.009225757792592049
1152000,1.7861484289169312,0.0007,0.9168633222579956,14400,1952,-1.985317227244377,0.005776342004537582
1160000,1.7880067825317383,0.0007,0.9344128966331482,14500,1951,-1.7115687929093837,0.0054510184563696384
1168000,1.786428689956665,0.0007,0.8413151204586029,14600,1950,-2.443377397954464,0.009656483307480812
1176000,1.7880350351333618,0.0007,0.7756322026252747,14700,1950,-2.2038649536669253,0.02627614140510559
1184000,1.7876150608062744,0.0007,0.907526358962059,14800,1949,-1.9019674152135848,0.009533287957310677
1192000,1.787745714187622,0.0007,0.955420758575201,14900,1949,-1.7582135558128358,0.006285029463469982
1200000,1.7872087955474854,0.0007,0.930416539311409,15000,1949,-1.9271999768912793,0.010473332367837429
1208000,1.785447359085083,0.0007,0.8053314089775085,15100,1949,-2.510949085652828,0.0178515762090683
1216000,1.7857658863067627,0.0007,0.8836192786693573,15200,1948,-2.3147574082016944,0.01188305951654911
1224000,1.7897220849990845,0.0007,0.9135552495718002,15300,1949,-1.6815174411982299,0.00884435698390007
1232000,1.7882581949234009,0.0007,0.8542562276124954,15400,1949,-1.661419064924121,0.021619880571961403
1240000,1.7855638265609741,0.0007,0.8784708678722382,15500,1949,-2.0028280332684516,0.01319979690015316
1248000,1.7828664779663086,0.0007,0.8407609164714813,15600,1949,-2.481141620874405,0.008738565258681774
1256000,1.7867653369903564,0.0007,0.8258391320705414,15700,1949,-2.2930062040686607,0.012138227932155132
1264000,1.7871605157852173,0.0007,0.7133116722106934,15800,1949,-1.9624787092208862,0.01051410473883152
1272000,1.7886120080947876,0.0007,0.9401861801743507,15900,1949,-1.8699939206242562,0.009840013459324837
1280000,1.7897624969482422,0.0007,0.738193541765213,16000,1948,-1.8249278344213962,0.021495554596185684
1288000,1.788822889328003,0.0007,0.8679724931716919,16100,1948,-1.8956697180867195,0.008298019878566265
1296000,1.788703203201294,0.0007,0.9749049637466669,16200,1948,-1.7718634318560362,0.0049284459091722965
1304000,1.7890207767486572,0.0007,0.8563607335090637,16300,1948,-1.9362852662801742,0.012491893954575062
1312000,1.7880226373672485,0.0007,0.9629940427839756,16400,1948,-2.2618833124637603,0.005069264210760593
1320000,1.7887694835662842,0.0007,0.9525169022381306,16500,1948,-2.1347442291677,0.005021888297051191
1328000,1.789731740951538,0.0007,0.9487422071397305,16600,1947,-1.7349023394286633,0.008991574868559837
1336000,1.787546157836914,0.0007,0.9188907071948051,16700,1946,-1.8416072569787503,0.008629107847809792
1344000,1.7862428426742554,0.0007,0.552475243806839,16800,1945,-2.1950463727116585,0.025186514481902122
1352000,1.7884395122528076,0.0007,0.7932716757059097,16900,1946,-1.6836677089333534,0.014435270801186562
1360000,1.7870737314224243,0.0007,0.9119685813784599,17000,1946,-2.017352546006441,0.00716033298522234
1368000,1.7850881814956665,0.0007,0.9383877478539944,17100,1946,-2.1464504316449164,0.006646531168371439
1376000,1.7881324291229248,0.0007,0.6539267599582672,17200,1946,-2.2133496716618537,0.034271858632564545
1384000,1.7888529300689697,0.0007,0.9486351199448109,17300,1947,-1.621331514418125,0.005793322809040546
1392000,1.7862752676010132,0.0007,0.8308039456605911,17400,1948,-2.172992821037769,0.012496216222643852
1400000,1.7868232727050781,0.0007,0.8478183001279831,17500,1948,-2.1687084525823592,0.010235286317765713
1408000,1.7865699529647827,0.0007,0.9329148381948471,17600,1949,-1.9500443689525127,0.006780985742807388
1416000,1.7874740362167358,0.0007,0.7919207215309143,17700,1949,-1.779129210114479,0.010897940024733543
1424000,1.7871143817901611,0.0007,0.9048097059130669,17800,1949,-1.786886827647686,0.007921567186713219
1432000,1.7867345809936523,0.0007,0.8619643896818161,17900,1950,-2.0521800629794598,0.01693529449403286
1440000,1.7886154651641846,0.0007,0.9254237785935402,18000,1951,-1.7967095054686069,0.009846454486250877
1448000,1.7858035564422607,0.0007,0.7573947608470917,18100,1951,-2.256576105952263,0.019923333078622818
1456000,1.7847751379013062,0.0007,0.9309824481606483,18200,1951,-2.1327491477131844,0.006887155584990978
1464000,1.7859700918197632,0.0007,0.8745308816432953,18300,1952,-1.9124284341931344,0.00613066740334034
1472000,1.7850115299224854,0.0007,0.9677192457020283,18400,1952,-1.777871347218752,0.0036170482635498047
1480000,1.7822870016098022,0.0007,0.8380169123411179,18500,1952,-2.1873614996671678,0.011492433026432991
1488000,1.779418706893921,0.0007,0.960185818374157,18600,1952,-2.2212377600371838,0.005126581527292728
1496000,1.7819499969482422,0.0007,0.9767492134124041,18700,1953,-2.188499793410301,0.0031034662388265133
1504000,1.7824287414550781,0.0007,0.928166463971138,18800,1952,-2.1645730659365654,0.007168933749198914
1512000,1.7856330871582031,0.0007,0.8733096718788147,18900,1953,-2.381731079518795,0.009210487827658653
1520000,1.7870075702667236,0.0007,0.6901597082614899,19000,1953,-2.0042606815695763,0.00932268425822258
1528000,1.7871885299682617,0.0007,0.9212336167693138,19100,1954,-1.9181560292840003,0.004960872232913971
1536000,1.7883182764053345,0.0007,0.8823538795113564,19200,1954,-2.1533109918236732,0.006723509635776281
1544000,1.7860502004623413,0.0007,0.9396403729915619,19300,1954,-2.135041978955269,0.004691578447818756
1552000,1.7855418920516968,0.0007,0.8855360224843025,19400,1953,-2.1543236836791038,0.007751137018203735
1560000,1.787584900856018,0.0007,0.9256368428468704,19500,1953,-1.9896850362420082,0.013636469841003418
1568000,1.7859859466552734,0.0007,0.6333092749118805,19600,1953,-2.216564178466797,0.01802503503859043
1576000,1.7890878915786743,0.0007,0.9169419258832932,19700,1954,-1.7384964533150196,0.005399166140705347
1584000,1.7876367568969727,0.0007,0.7794793397188187,19800,1954,-1.8785661168396472,0.02415325492620468
1592000,1.7883793115615845,0.0007,0.978032736107707,19900,1955,-1.7493059761822223,0.003505152417346835
1600000,1.7866179943084717,0.0007,0.9366414472460747,20000,1955,-2.1508146807551385,0.004165319725871086
1608000,1.7879221439361572,0.0007,0.9724547620862722,20100,1954,-2.065168792754412,0.0056084925308823586
1616000,1.7893884181976318,0.0007,0.893304243683815,20200,1954,-1.9544167950749398,0.00680828932672739
1624000,1.7872867584228516,0.0007,0.9589775763452053,20300,1954,-1.9812934905290605,0.005479508079588413
1632000,1.7880035638809204,0.0007,0.9479054622352123,20400,1953,-1.7910682290792466,0.004952268209308386
1640000,1.787070631980896,0.0007,0.9180555418133736,20500,1953,-2.076936364173889,0.008120720274746418
1648000,1.7875696420669556,0.0007,0.9546096436679363,20600,1952,-1.7532993137836457,0.0035631388891488314
1656000,1.7877295017242432,0.0007,0.9005574807524681,20700,1952,-1.6792253859341144,0.011502041481435299
1664000,1.7850885391235352,0.0007,0.9460692256689072,20800,1952,-2.076785873621702,0.006692196242511272
1672000,1.7859909534454346,0.0007,0.9341074153780937,20900,1952,-1.7729733012616635,0.009119880385696888
1680000,1.7852590084075928,0.0007,0.8327192217111588,21000,1952,-2.311445890367031,0.016228625550866127
1688000,1.7868467569351196,0.0007,0.9282612502574921,21100,1952,-2.079965688288212,0.004940547049045563
1696000,1.787632703781128,0.0007,0.9041939675807953,21200,1951,-1.8922218412160874,0.006236129440367222
1704000,1.7874780893325806,0.0007,0.9485711790621281,21300,1951,-2.126921758800745,0.007711589336395264
1712000,1.7893917560577393,0.0007,0.9542307406663895,21400,1951,-1.756529125571251,0.007637612521648407
1720000,1.7883421182632446,0.0007,0.9673020727932453,21500,1951,-1.9444632060825824,0.003470764961093664
1728000,1.7880744934082031,0.0007,0.8516680002212524,21600,1952,-2.057652449607849,0.013196706771850586
1736000,1.789078950881958,0.0007,0.9692336693406105,21700,1952,-2.1285994917154314,0.003759121522307396
1744000,1.789752721786499,0.0007,0.8183703571557999,21800,1953,-1.9054084993898868,0.014088131487369537
1752000,1.7860920429229736,0.0007,0.8516394942998886,21900,1953,-2.100732709467411,0.010444527491927147
1760000,1.7863165140151978,0.0007,0.9155798330903053,22000,1954,-2.3150519996881487,0.0038090243469923735
1768000,1.7895538806915283,0.0007,0.8913229778409004,22100,1955,-1.9715432897210121,0.010063005611300468
1776000,1.7867521047592163,0.0007,0.9498964957892895,22200,1955,-2.3111828207969665,0.004807065241038799
1784000,1.7877261638641357,0.0007,0.8073680847883224,22300,1956,-1.8465236380696297,0.005236457102000713
1792000,1.7858682870864868,0.0007,0.9309212937951088,22400,1957,-2.131014385819435,0.003945186734199524
1800000,1.7873084545135498,0.0007,0.7027815282344818,22500,1957,-2.050739625096321,0.023814234882593155
1808000,1.7886301279067993,0.0007,0.8230318427085876,22600,1958,-1.8724348299205302,0.011756239458918571
1816000,1.7884175777435303,0.0007,0.9107038825750351,22700,1958,-1.58942751288414,0.013566534034907818
1824000,1.787893295288086,0.0007,0.9654886797070503,22800,1959,-2.0279781728982926,0.006224737968295813
1832000,1.789182424545288,0.0007,0.9747958928346634,22900,1959,-2.032145518809557,0.00518348952755332
1840000,1.7884315252304077,0.0007,0.9456987380981445,23000,1959,-1.8122070781886577,0.007202652283012867
1848000,1.7899768352508545,0.0007,0.7154514491558075,23100,1959,-2.2848170191049575,0.011207403615117073
1856000,1.7903058528900146,0.0007,0.8443272858858109,23200,1958,-1.7577507749199868,0.012459886260330677
1864000,1.7895551919937134,0.0007,0.8592590689659119,23300,1958,-2.284202666580677,0.005772970616817474
1872000,1.7897239923477173,0.0007,0.9177863672375679,23400,1958,-2.0339229226112367,0.014877261593937874
1880000,1.7882194519042969,0.0007,0.9109779670834541,23500,1958,-1.8416751496493817,0.008824484422802925
1888000,1.7893989086151123,0.0007,0.9359889551997185,23600,1958,-1.6634118199348449,0.006337745580822229
1896000,1.7870022058486938,0.0007,0.9028320163488388,23700,1958,-2.0285814300179483,0.014662513509392738
1904000,1.7885223627090454,0.0007,0.936798945069313,23800,1957,-1.6667410753667355,0.010548149235546589
1912000,1.7899974584579468,0.0007,0.9163633957505226,23900,1957,-2.403369018435478,0.007179185748100281
1920000,1.789953589439392,0.0007,0.9587488062679768,24000,1957,-2.109907129406929,0.008466371335089207
1928000,1.7902088165283203,0.0007,0.9499050825834274,24100,1957,-1.9640119612216949,0.005241659935563803
1936000,1.790428876876831,0.0007,0.8564878702163696,24200,1956,-1.75337814129889,0.020453570410609245
1944000,1.788699746131897,0.0007,0.9515924043953419,24300,1955,-2.079600636661053,0.0075947679579257965
1952000,1.791062593460083,0.0007,0.785309225320816,24400,1955,-1.8188417866826057,0.03617303818464279
1960000,1.790709137916565,0.0007,0.9223523959517479,24500,1955,-1.9555487275123595,0.005565704312175512
1968000,1.7900669574737549,0.0007,0.9114496782422066,24600,1956,-2.0402151837944986,0.007937679067254066
1976000,1.7900441884994507,0.0007,0.9616323076188564,24700,1955,-1.9300507575273513,0.0038611653726547956
1984000,1.7887203693389893,0.0007,0.9515726007521152,24800,1956,-2.1139292061328887,0.006430989596992731
1992000,1.7873594760894775,0.0007,0.9431130699813366,24900,1955,-1.718343012779951,0.010151905938982964
2000000,1.7873941659927368,0.0007,0.9399461671710014,25000,1955,-2.0265638269484043,0.004705748520791531
2008000,1.7871952056884766,0.0007,0.9623668119311333,25100,1955,-1.6934065453708171,0.004325267858803272
2016000,1.7878329753875732,0.0007,0.9493981301784515,25200,1954,-2.3427356228232386,0.004788605496287346
2024000,1.788155198097229,0.0007,0.957643385976553,25300,1954,-1.7998356953263284,0.004630942828953266
2032000,1.7899959087371826,0.0007,0.7833833545446396,25400,1954,-1.4600360222160815,0.015665072947740555
2040000,1.7866227626800537,0.0007,0.9192972555756569,25500,1954,-2.1011054143309593,0.009655728004872799
2048000,1.788722276687622,0.0007,0.8894842714071274,25600,1954,-1.9818205900490284,0.01216171681880951
2056000,1.7849276065826416,0.0007,0.9263185560703278,25700,1953,-2.153482197225094,0.009052574634552002
2064000,1.7866029739379883,0.0007,0.8979175612330437,25800,1953,-1.7545671164989471,0.01170455664396286
2072000,1.7848327159881592,0.0007,0.9024967923760414,25900,1953,-1.7340841367840767,0.010783330537378788
2080000,1.7776435613632202,0.0007,0.9672707542777061,26000,1953,-2.301680351048708,0.004145991988480091
2088000,1.7869809865951538,0.0007,0.9063932597637177,26100,1953,-1.9279403947293758,0.012545475736260414
2096000,1.7862014770507812,0.0007,0.8957341685891151,26200,1953,-1.828158077597618,0.01011398620903492
2104000,1.7833287715911865,0.0007,0.8426467031240463,26300,1953,-2.0889799386262893,0.01242084614932537
2112000,1.779160499572754,0.0007,0.7365709841251373,26400,1952,-2.265439306199551,0.018319616094231606
2120000,1.7868754863739014,0.0007,0.857234925031662,26500,1952,-1.8111704744398593,0.012815112248063087
2128000,1.7804828882217407,0.0007,0.7515377700328827,26600,1952,-2.195294377952814,0.011255119927227497
2136000,1.7852405309677124,0.0007,0.8093916922807693,26700,1952,-1.7374016627669335,0.009821642190217972
2144000,1.7850310802459717,0.0007,0.9617913849651814,26800,1952,-1.6866614826023578,0.008651740849018097
2152000,1.7872200012207031,0.0007,0.9527219347655773,26900,1952,-2.0803559213876723,0.008117878809571266
2160000,1.7876479625701904,0.0007,0.7894202768802643,27000,1952,-1.803922326862812,0.01849786378443241
