Bayesian
Episode Number, Mean Reward, Total Steps, e
6900,31.48,169564,0.6413110000029598
7000,32.35,172799,0.6316060000030399
7100,34.09,176208,0.6213790000031243
7200,33.27,179535,0.6113980000032067
7300,32.44,182779,0.601666000003287
7400,34.98,186277,0.5911720000033736
7500,33.21,189598,0.5812090000034558
7600,35.77,193175,0.5704780000035443
7700,34.86,196661,0.5600200000036306
7800,34.72,200133,0.5496040000037166
7900,36.0,203733,0.5388040000038057
8000,34.59,207192,0.5284270000038913
8100,38.76,211068,0.5167990000039873
8200,34.17,214485,0.5065480000040719
8300,38.76,218361,0.4949200000041678
8400,41.84,222545,0.4823680000042714
8500,43.76,226921,0.4692400000043797
8600,42.03,231124,0.45663100000448376
8700,46.27,235751,0.4427500000045983
8800,48.97,240648,0.4280590000047195
8900,48.82,245530,0.4134130000048404
9000,45.67,250097,0.39971200000495344
9100,47.72,254869,0.38539600000507157
9200,48.28,259697,0.3709120000051911
9300,49.47,264644,0.35607100000531355
9400,51.95,269839,0.34048600000544216
9500,51.5,274989,0.32503600000556965
9600,54.14,280403,0.3087940000057037
9700,55.11,285914,0.2922610000058401
9800,53.95,291309,0.27607600000597365
9900,55.25,296834,0.2595010000061104


boltzmann

100,24.39,2469,1
200,25.83,5052,1
300,24.44,7496,1
400,27.24,10220,1
500,22.89,12509,1
600,27.27,15236,1
700,24.35,17671,1
800,25.04,20175,1
900,23.3,22505,1
1000,25.84,25089,1
1100,28.7,27959,1
1200,23.88,30347,1
1300,25.41,32888,1
1400,24.47,35335,1
1500,25.87,37922,1
1600,24.9,40412,1
1700,27.15,43127,1
1800,24.25,45552,1
1900,24.82,48034,1
2000,25.0,50534,0.9984010000000132
2100,25.45,53079,0.9907660000000762
2200,23.74,55453,0.983644000000135
2300,25.26,57979,0.9760660000001975
2400,24.97,60476,0.9685750000002593
2500,24.62,62938,0.9611890000003203
2600,24.25,65363,0.9539140000003803
2700,25.7,67933,0.9462040000004439
2800,25.58,70491,0.9385300000005072
2900,24.41,72932,0.9312070000005677
3000,24.35,75367,0.9239020000006279
3100,23.56,77723,0.9168340000006863
3200,22.05,79928,0.9102190000007409
3300,23.7,82298,0.9031090000007995
3400,23.27,84625,0.8961280000008571
3500,21.5,86775,0.8896780000009104
3600,23.62,89137,0.8825920000009688
3700,21.29,91266,0.8762050000010215
3800,24.08,93674,0.8689810000010811
3900,21.84,95858,0.8624290000011352
4000,22.89,98147,0.8555620000011919
4100,25.62,100709,0.8478760000012553
4200,22.53,102962,0.8411170000013111
4300,23.42,105304,0.834091000001369
4400,23.27,107631,0.8271100000014266
4500,23.29,109960,0.8201230000014843
4600,22.21,112181,0.8134600000015393
4700,22.67,114448,0.8066590000015954
4800,22.82,116730,0.7998130000016519
4900,24.29,119159,0.792526000001712
5000,21.97,121356,0.7859350000017664
5100,21.38,123494,0.7795210000018193
5200,23.12,125806,0.7725850000018766
5300,22.16,128022,0.7659370000019314
5400,21.78,130200,0.7594030000019854
5500,23.75,132575,0.7522780000020441
5600,22.53,134828,0.7455190000020999
