#{"t_start": 1526079340.823027, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
225.0,515,16.410413
100.0,273,18.793733
225.0,642,24.315742
155.0,485,28.232935
130.0,451,32.171815
810.0,985,40.305811
150.0,612,45.458772
345.0,786,51.800247
260.0,612,56.699234
300.0,668,62.249278
235.0,560,66.7189
180.0,485,70.747534
165.0,457,74.723562
170.0,723,80.628257
240.0,699,86.364168
65.0,276,88.75023
105.0,436,92.408498
75.0,313,95.149947
320.0,636,101.25433
180.0,593,106.161781
410.0,627,111.385338
120.0,484,115.387528
110.0,507,119.353049
210.0,623,125.009451
30.0,298,127.512463
55.0,357,130.451721
460.0,980,138.394282
380.0,659,143.657643
110.0,571,148.439066
210.0,648,153.671592
185.0,610,158.800899
30.0,299,161.121185
160.0,585,165.862553
180.0,613,170.861953
105.0,466,174.600624
145.0,586,179.255817
55.0,313,181.844295
180.0,620,186.994139
120.0,577,191.663895
120.0,480,195.506135
105.0,474,199.53177
180.0,665,205.03665
155.0,606,210.127243
425.0,1167,219.8484
160.0,592,224.563279
105.0,479,228.291685
180.0,607,233.330254
210.0,638,238.665653
180.0,610,244.136004
160.0,592,249.117153
180.0,609,254.102878
410.0,633,259.385293
210.0,610,264.092039
155.0,596,268.808334
180.0,607,273.727581
180.0,609,278.725924
180.0,611,283.705779
180.0,613,288.666529
180.0,610,293.399629
355.0,605,298.174844
180.0,612,302.85686
75.0,496,307.138908
105.0,491,311.456999
105.0,490,315.340095
155.0,615,320.170491
380.0,627,325.284793
105.0,481,329.291189
135.0,597,334.212314
180.0,613,338.956476
105.0,483,342.869741
545.0,1091,351.822256
210.0,614,356.803495
155.0,601,361.511798
210.0,615,366.574773
210.0,617,371.484475
210.0,622,376.550965
180.0,606,381.466286
180.0,644,386.610296
210.0,613,391.55437
210.0,636,396.63267
210.0,627,401.822047
180.0,608,406.599265
155.0,600,411.427063
105.0,487,415.198044
180.0,610,420.167634
275.0,767,426.543007
105.0,482,430.498936
210.0,621,435.89984
210.0,622,440.88683
180.0,613,446.138356
185.0,607,450.862571
185.0,606,455.784002
155.0,601,460.481239
210.0,610,465.411173
180.0,623,470.533945
180.0,654,475.776593
180.0,641,480.975554
155.0,612,485.88337
355.0,604,490.887648
155.0,601,495.828072
180.0,597,500.435607
155.0,609,505.235753
105.0,487,509.033095
180.0,613,513.855634
180.0,617,518.845827
155.0,604,523.840732
155.0,599,528.594052
210.0,643,533.671449
155.0,602,538.324392
155.0,605,543.056756
210.0,638,548.069367
180.0,664,553.294935
210.0,626,558.421404
335.0,1072,566.917199
155.0,593,571.793043
50.0,301,574.093728
180.0,610,578.973746
180.0,649,584.174581
105.0,481,588.213398
180.0,606,593.126776
210.0,652,598.386326
410.0,622,603.408311
260.0,735,609.387943
410.0,636,614.870773
180.0,614,620.241837
410.0,659,625.477645
460.0,759,631.589236
135.0,602,636.572943
155.0,608,641.400937
180.0,613,646.368093
215.0,722,652.28228
180.0,640,657.489516
265.0,730,663.428029
300.0,805,669.874037
120.0,376,672.833431
80.0,313,675.281285
180.0,597,680.122091
320.0,833,686.775699
270.0,724,692.380363
180.0,592,697.302862
210.0,647,702.371772
50.0,303,704.788887
210.0,647,709.857697
260.0,743,715.751804
180.0,638,720.794939
285.0,729,726.547958
210.0,630,731.665104
180.0,609,736.529524
265.0,746,742.413565
150.0,537,746.784809
155.0,600,751.435446
260.0,741,757.144474
260.0,730,763.138534
210.0,625,768.069671
460.0,739,773.995866
315.0,827,780.589358
315.0,768,786.905469
20.0,321,789.624296
135.0,381,792.941273
130.0,294,795.317135
50.0,391,798.643944
155.0,475,802.458125
225.0,710,807.952144
265.0,750,814.089666
465.0,773,820.574488
330.0,833,827.188682
180.0,607,832.40519
210.0,646,837.752444
180.0,615,842.902712
180.0,595,847.676347
155.0,602,852.591006
65.0,467,856.424764
285.0,728,862.164631
155.0,451,865.768316
695.0,1211,875.321031
380.0,605,880.152328
715.0,1019,888.362756
340.0,863,895.211346
210.0,630,900.48091
110.0,382,903.562926
210.0,635,908.899199
210.0,644,914.491655
210.0,644,919.669285
180.0,652,925.006065
260.0,718,930.574156
80.0,397,933.83869
105.0,520,938.050004
465.0,740,943.962815
75.0,302,946.339407
285.0,1021,954.327217
180.0,638,959.516999
180.0,617,964.364245
530.0,1068,972.868869
210.0,666,978.31592
460.0,727,984.069541
210.0,738,990.015484
520.0,990,998.289775
410.0,617,1003.191596
565.0,1101,1012.272627
260.0,739,1018.048939
390.0,1116,1026.928025
80.0,300,1029.242413
410.0,662,1034.335486
275.0,791,1040.625884
260.0,726,1046.277637
415.0,659,1051.357304
210.0,606,1056.07556
425.0,1121,1065.247652
470.0,792,1071.670896
355.0,605,1076.793916
210.0,682,1082.303199
180.0,596,1086.84895
180.0,641,1091.845246
210.0,636,1097.091476
410.0,611,1101.916488
210.0,623,1106.823214
210.0,680,1112.351511
80.0,366,1115.32801
585.0,1136,1124.697269
180.0,590,1129.357291
210.0,1022,1137.646616
155.0,602,1142.466562
260.0,719,1148.182945
265.0,725,1153.93731
265.0,723,1159.531889
210.0,637,1164.326299
225.0,636,1169.483405
595.0,1104,1178.182655
380.0,643,1183.39661
290.0,1047,1191.757374
120.0,492,1195.650404
180.0,633,1200.532291
70.0,390,1203.549752
210.0,616,1208.365788
455.0,759,1214.186249
215.0,676,1219.81601
75.0,296,1222.153501
590.0,1100,1230.665534
210.0,617,1235.513628
210.0,615,1240.358798
410.0,622,1245.214239
260.0,769,1251.277619
645.0,1090,1260.155473
110.0,333,1262.828416
215.0,660,1268.020162
330.0,1109,1277.155639
105.0,373,1280.019908
180.0,649,1284.984302
120.0,522,1289.326469
75.0,377,1292.295081
285.0,728,1298.168243
285.0,718,1303.775602
210.0,625,1308.754488
460.0,724,1314.695256
210.0,615,1319.451073
210.0,616,1324.148396
395.0,1062,1332.475757
290.0,754,1338.450175
280.0,783,1344.612645
90.0,281,1346.755261
265.0,740,1352.608417
240.0,731,1358.255622
430.0,762,1364.122551
315.0,687,1369.498624
155.0,481,1373.553367
365.0,834,1380.177774
320.0,1037,1388.319724
150.0,462,1392.080563
460.0,759,1398.062004
285.0,750,1403.846355
225.0,611,1408.920382
260.0,652,1413.98572
95.0,329,1416.635955
35.0,303,1419.309119
130.0,410,1422.857873
110.0,385,1426.011523
120.0,447,1429.575565
370.0,744,1435.597192
125.0,397,1438.86765
310.0,843,1446.077742
165.0,573,1450.796112
35.0,401,1454.019721
135.0,488,1457.901348
210.0,564,1462.484027
105.0,378,1465.524814
355.0,449,1469.04098
150.0,439,1472.622041
80.0,371,1475.703813
125.0,405,1478.856943
240.0,495,1482.809102
435.0,574,1487.529973
240.0,734,1493.627492
90.0,367,1496.522305
210.0,512,1500.545554
15.0,243,1502.380819
145.0,597,1507.140812
200.0,629,1512.490493
140.0,444,1515.987597
230.0,519,1520.404071
85.0,443,1524.111398
185.0,491,1528.359235
120.0,420,1531.825791
155.0,530,1536.192662
150.0,545,1540.418116
580.0,781,1546.635225
115.0,415,1549.842539
105.0,404,1553.460078
185.0,519,1558.183766
195.0,904,1565.619452
315.0,619,1570.86386
130.0,373,1573.730872
140.0,462,1577.271794
150.0,518,1581.440796
170.0,495,1585.555602
70.0,463,1589.335626
405.0,788,1595.747199
225.0,708,1601.353355
245.0,532,1605.710852
340.0,767,1611.635095
230.0,590,1616.352532
335.0,747,1622.089104
245.0,672,1627.345338
165.0,502,1631.305047
300.0,809,1637.624734
520.0,684,1643.035016
110.0,363,1645.905785
290.0,694,1651.380991
235.0,501,1655.392276
260.0,702,1660.985316
320.0,799,1667.47745
680.0,641,1672.763973
330.0,773,1679.087171
335.0,709,1684.659434
280.0,545,1688.939665
180.0,461,1692.663136
290.0,618,1697.33743
150.0,393,1700.382262
260.0,681,1705.727304
300.0,613,1710.434681
320.0,700,1716.014671
285.0,665,1721.205249
210.0,502,1725.36394
415.0,776,1731.499504
225.0,547,1735.945144
240.0,601,1740.619627
265.0,553,1745.016381
360.0,752,1750.836235
105.0,385,1753.940991
425.0,947,1761.554443
340.0,776,1767.793097
300.0,634,1772.791934
320.0,676,1778.166546
395.0,882,1785.296747
495.0,958,1792.754323
500.0,959,1800.455539
265.0,608,1805.249413
440.0,701,1811.193274
270.0,562,1815.629262
350.0,703,1821.017583
310.0,775,1827.305978
100.0,361,1830.012558
165.0,425,1833.379899
330.0,570,1837.720125
235.0,687,1843.098022
425.0,735,1848.978588
375.0,726,1854.889993
445.0,714,1860.614494
295.0,748,1866.354947
365.0,691,1871.787587
575.0,754,1877.623159
185.0,540,1881.748783
425.0,651,1886.90192
345.0,613,1891.641513
310.0,541,1895.780911
340.0,671,1901.001808
635.0,748,1906.701564
495.0,867,1913.47499
305.0,807,1919.777735
190.0,507,1923.861183
435.0,753,1929.810982
360.0,629,1935.157295
390.0,772,1941.500285
440.0,766,1947.551129
585.0,690,1953.028067
380.0,763,1959.166117
150.0,361,1961.926093
305.0,694,1967.402164
230.0,574,1972.061241
235.0,548,1976.389784
305.0,642,1981.59504
395.0,680,1986.994314
350.0,753,1993.311942
275.0,575,1997.903647
340.0,630,2002.883031
605.0,960,2010.66657
