value_loss,nupdates,learning rate,fps,policy_loss,avg reward,total_timesteps,policy_entropy,epsilonValue,explained_variance
3.6993773392168805e-05,1,0.001,37,0.00764987338334322,-0.003516492372727953,80,1.7917592525482178,99.9854546512389,-3.8388991355895996
0.0003419748682063073,100,0.001,1260,-0.012152759358286858,0.04500715333560947,8000,1.7917585372924805,98.54546512388964,0.7224965393543243
0.00026506619178690016,200,0.001,1467,-0.003569436725229025,0.1763797441497445,16000,1.7917547225952148,97.09093024777928,0.8680996894836426
0.02088768407702446,300,0.001,1593,0.06195468455553055,0.4054389512166381,24000,1.7917516231536865,95.63639537166893,0.15610337257385254
0.08727436512708664,400,0.001,1657,0.2458978146314621,0.7730296321213246,32000,1.7917293310165405,94.18186049555857,0.2846754193305969
0.04293270409107208,500,0.001,1688,0.056830354034900665,1.1253894783556462,40000,1.7915267944335938,92.72732561944821,-0.12998688220977783
0.05780905485153198,600,0.001,1729,-0.035081587731838226,1.2479268692433834,48000,1.7912954092025757,91.27279074333785,0.07768654823303223
0.030315306037664413,700,0.001,1753,0.0393112376332283,1.5652924999594688,56000,1.7911224365234375,89.81825586722749,0.35881292819976807
0.11631981283426285,800,0.001,1764,0.39277300238609314,2.232417729496956,64000,1.7881923913955688,88.36372099111713,0.6658587455749512
0.09390544891357422,900,0.001,1784,-0.07737921178340912,1.4005416586995125,72000,1.784610390663147,86.90918611500678,0.2799499034881592
0.01287821214646101,1000,0.001,1803,-0.004648843314498663,1.4347997218370439,80000,1.7824344635009766,85.45465123889642,0.838614284992218
0.038362305611371994,1100,0.001,1815,0.13482746481895447,0.8711700960993767,88000,1.777591347694397,84.00011636278606,0.5369653403759003
0.04048677533864975,1200,0.001,1822,-0.07037370651960373,1.1903210930526256,96000,1.7563142776489258,82.5455814866757,0.5886861383914948
0.0020545232109725475,1300,0.001,1834,-0.0011870801681652665,1.292540443688631,104000,1.758426308631897,81.09104661056534,0.9743663128465414
0.07152362167835236,1400,0.001,1838,0.21423721313476562,1.1124108497053384,112000,1.7637946605682373,79.63651173445498,0.42236465215682983
0.011181424371898174,1500,0.001,1836,-0.012800614349544048,0.9293217521160841,120000,1.7791979312896729,78.18197685834463,0.8589015603065491
0.037600014358758926,1600,0.001,1842,0.08358998596668243,0.8177117340266704,128000,1.7840464115142822,76.72744198223427,-0.07761871814727783
