value_loss,total_timesteps,fps,policy_entropy,nupdates,explained_variance
0.01768454536795616,9264000,1637,0.9516833424568176,115800,0.7840174734592438
0.008704942651093006,9272000,1637,1.0314266681671143,115900,0.8575422614812851
0.013511240482330322,9280000,1637,0.979659914970398,116000,0.8606683909893036
0.0028257244266569614,9288000,1637,1.0311144590377808,116100,0.9534360766410828
0.0635562613606453,9296000,1638,1.0055058002471924,116200,0.7177923321723938
0.022537747398018837,9304000,1638,0.9610095024108887,116300,0.8588739484548569
0.014494727365672588,9312000,1638,0.9080691337585449,116400,0.617306649684906
0.0678529292345047,9320000,1638,0.8743373155593872,116500,0.6800223588943481
0.012695664539933205,9328000,1639,0.9482039213180542,116600,0.8481410443782806
0.03940670192241669,9336000,1639,0.8850623965263367,116700,0.9763352014124393
0.026539107784628868,9344000,1639,1.0773723125457764,116800,0.5262077152729034
0.008858072571456432,9352000,1639,1.0025956630706787,116900,0.9256994277238846
0.01147132832556963,9360000,1639,0.980860710144043,117000,0.8442585915327072
0.007377319037914276,9368000,1640,1.0128593444824219,117100,0.834232971072197
0.016290966421365738,9376000,1640,1.0514742136001587,117200,0.9257834106683731
0.022921627387404442,9384000,1640,0.986519992351532,117300,0.7492949366569519
0.012246677652001381,9392000,1640,0.974048912525177,117400,0.7716519683599472
0.06645093858242035,9400000,1641,0.9456165432929993,117500,0.5160650014877319
0.01053824182599783,9408000,1641,1.049863576889038,117600,0.9186665937304497
0.015569915995001793,9416000,1641,0.8849474191665649,117700,0.9273703619837761
0.015548874624073505,9424000,1641,1.0566284656524658,117800,0.682288408279419
0.04094193875789642,9432000,1642,0.881414532661438,117900,0.8568359613418579
0.03208114579319954,9440000,1642,1.0540848970413208,118000,0.9270947426557541
0.09903521835803986,9448000,1642,0.9562647938728333,118100,0.6795659363269806
0.0700581893324852,9456000,1642,1.0762152671813965,118200,0.847087174654007
0.014203784056007862,9464000,1642,1.0202560424804688,118300,0.9557451084256172
0.01776520162820816,9472000,1643,0.93902987241745,118400,0.8463442921638489
0.02111845090985298,9480000,1643,0.9173324704170227,118500,0.730009138584137
0.023190034553408623,9488000,1643,1.1043379306793213,118600,0.3167651295661926
0.07795659452676773,9496000,1643,0.9320661425590515,118700,0.6808236539363861
0.00784903485327959,9504000,1644,1.0902841091156006,118800,0.9247721582651138
0.011194820515811443,9512000,1644,1.0874059200286865,118900,0.8500583618879318
0.017018210142850876,9520000,1644,1.0068821907043457,119000,0.8182432949542999
0.08372817933559418,9528000,1644,0.8116813898086548,119100,0.9572335630655289
0.010179763659834862,9536000,1644,0.9702602624893188,119200,0.9250049740076065
0.1515035331249237,9544000,1645,0.9418829679489136,119300,0.513109028339386
0.07268749922513962,9552000,1645,0.9091154336929321,119400,0.6609122157096863
0.06286772340536118,9560000,1645,1.0563231706619263,119500,0.5138702392578125
0.016906123608350754,9568000,1645,1.0205053091049194,119600,0.8334910422563553
0.09204258769750595,9576000,1646,1.0611913204193115,119700,0.8452217429876328
0.012968042865395546,9584000,1646,0.9678786993026733,119800,0.8685163706541061
0.08081231266260147,9592000,1646,0.8608118295669556,119900,0.6284748613834381
0.10343408584594727,9600000,1646,0.9216129183769226,120000,0.3618263006210327
0.014991519041359425,9608000,1646,0.9222556352615356,120100,0.9019063115119934
0.14834725856781006,9616000,1647,0.9346539378166199,120200,0.2469668984413147
0.011412974447011948,9624000,1647,0.9795926809310913,120300,0.8226925134658813
0.015238186344504356,9632000,1647,1.0612132549285889,120400,0.6511903405189514
0.07599399238824844,9640000,1647,0.919096827507019,120500,0.5649456679821014
0.073892742395401,9648000,1648,0.6911528706550598,120600,0.8772762268781662
0.025734925642609596,9656000,1648,0.9842985272407532,120700,0.6328889429569244
0.02740967646241188,9664000,1648,1.110295295715332,120800,0.9084612429141998
0.014939948916435242,9672000,1648,1.0371265411376953,120900,0.8729453086853027
0.010104221291840076,9680000,1648,0.9787133932113647,121000,0.8215750902891159
0.01614348590373993,9688000,1649,1.0444653034210205,121100,0.6692201495170593
0.048582278192043304,9696000,1649,0.9988431930541992,121200,0.28628140687942505
0.006370405200868845,9704000,1649,0.8934410810470581,121300,0.8766001835465431
0.015181608498096466,9712000,1649,1.0483014583587646,121400,0.7864902317523956
0.05776858329772949,9720000,1650,1.001321792602539,121500,0.9609184600412846
0.03942618519067764,9728000,1650,0.964316189289093,121600,0.9527819752693176
0.009544478729367256,9736000,1650,0.9184126853942871,121700,0.6294404566287994
0.022566789761185646,9744000,1650,0.931102454662323,121800,0.8227789402008057
0.040746476501226425,9752000,1650,0.9393711090087891,121900,0.8859168961644173
0.00798274390399456,9760000,1651,0.9797360301017761,122000,0.8704081326723099
0.23469248414039612,9768000,1651,0.9729999303817749,122100,0.5459426045417786
0.01039537601172924,9776000,1651,0.9730802774429321,122200,0.8662221878767014
0.018544146791100502,9784000,1651,1.0099786520004272,122300,0.9522502571344376
0.009321735240519047,9792000,1652,0.9740761518478394,122400,0.9024194702506065
0.11013413965702057,9800000,1652,0.9247952699661255,122500,0.9024700671434402
0.08247275650501251,9808000,1652,0.9904760122299194,122600,0.6342827379703522
0.29922547936439514,9816000,1652,1.0644952058792114,122700,-1.094076156616211
0.08677367866039276,9824000,1652,1.0252114534378052,122800,0.8570752739906311
0.05247994139790535,9832000,1652,1.065443754196167,122900,0.906324714422226
0.004072542302310467,9840000,1653,1.0036014318466187,123000,0.9735900368541479
0.039123788475990295,9848000,1653,1.001295804977417,123100,0.4441820979118347
0.009737895801663399,9856000,1653,0.9671476483345032,123200,0.9399718455970287
0.060498811304569244,9864000,1653,1.0395370721817017,123300,0.9386606216430664
0.01057916134595871,9872000,1654,0.9553520083427429,123400,0.9841386191546917
0.005475363228470087,9880000,1654,0.9236940145492554,123500,0.9576391689479351
0.021434789523482323,9888000,1654,1.0461452007293701,123600,0.9656086005270481
0.14608410000801086,9896000,1654,1.0507533550262451,123700,0.3263433575630188
0.45049986243247986,9904000,1654,0.9457721710205078,123800,-0.4472256898880005
0.13848860561847687,9912000,1655,0.9836627840995789,123900,0.9524869099259377
0.007421507500112057,9920000,1655,1.0052791833877563,124000,0.8455238044261932
0.05592785030603409,9928000,1655,1.012059211730957,124100,0.9371818825602531
0.029090246185660362,9936000,1655,1.0271674394607544,124200,0.8725883811712265
0.28813406825065613,9944000,1655,0.8761318325996399,124300,0.10029882192611694
