policy_entropy,avg reward,fps,explained_variance,value_loss,nupdates,total_timesteps
1.7917592525482178,-0.003516492372727953,75,-3.8388991355895996,3.6993773392168805e-05,1,80
1.7917591333389282,0.11718878662213683,1416,0.08157092332839966,0.04413028061389923,100,8000
1.7917591333389282,0.22287702495232226,1613,0.06765562295913696,0.05224023014307022,200,16000
1.7917566299438477,0.2636809516698122,1683,0.5380567312240601,0.0005946832825429738,300,24000
1.7917543649673462,0.4552631337195635,1753,-0.10554134845733643,0.019534513354301453,400,32000
1.791733980178833,0.7741357527673245,1763,-0.22120141983032227,0.05358065292239189,500,40000
1.79123854637146,0.9644587077200413,1777,0.3188091516494751,0.03109635040163994,600,48000
1.7914161682128906,1.267099567502737,1806,0.7674992978572845,0.011419479735195637,700,56000
1.7904802560806274,0.9535703659057617,1812,0.9417800419032574,0.0012939799344167113,800,64000
1.7895476818084717,1.2182476975023746,1824,-0.05008435249328613,0.047147974371910095,900,72000
1.7892472743988037,0.8035784311592579,1827,0.7942098379135132,0.008170066401362419,1000,80000
1.7825136184692383,1.3268010549247264,1833,0.7027720808982849,0.02761049196124077,1100,88000
1.7370094060897827,1.084407570026815,1830,0.9452477507293224,0.005707950331270695,1200,96000
1.7663781642913818,0.8520300117786974,1838,0.808615505695343,0.06955118477344513,1300,104000
1.773175835609436,0.8102253008633852,1846,0.7565453350543976,0.017858238890767097,1400,112000
1.7730098962783813,1.1685379602015018,1855,0.9773959666490555,0.003083320800215006,1500,120000
1.7567577362060547,1.1228558890521527,1856,0.4858325123786926,0.05587577074766159,1600,128000
1.7725751399993896,1.2895064495503903,1855,0.6742328405380249,0.06675885617733002,1700,136000
1.777099609375,1.119100658968091,1850,0.5859382748603821,0.07166141271591187,1800,144000
1.760611891746521,1.0781648311764003,1852,0.8290742188692093,0.032543934881687164,1900,152000
1.7217975854873657,1.453758965432644,1856,0.8062953948974609,0.04330288618803024,2000,160000
1.7367740869522095,0.847913881065324,1862,0.9880228387191892,0.003121263813227415,2100,168000
1.724325180053711,1.1920909681357443,1869,0.9198819994926453,0.0344478040933609,2200,176000
1.7634906768798828,1.0288032973185182,1873,0.7936247885227203,0.04436583071947098,2300,184000
1.735809564590454,1.5436594597995281,1875,0.8727627545595169,0.029592692852020264,2400,192000
1.7157909870147705,1.3765772245882544,1875,0.9756331387907267,0.009702606126666069,2500,200000
1.7239360809326172,1.4271062206476928,1879,0.9410217478871346,0.02485325187444687,2600,208000
1.7161239385604858,1.437764447554946,1883,0.9348559007048607,0.04104708135128021,2700,216000
1.726528525352478,1.4886300817131997,1882,0.9668972454965115,0.013013610616326332,2800,224000
1.7452949285507202,1.2736933981999754,1884,0.9580812118947506,0.01905263401567936,2900,232000
1.7464964389801025,0.998116397499689,1879,0.9013951569795609,0.026517769321799278,3000,240000
1.7267860174179077,1.163116299174726,1879,0.9831902403384447,0.0072897872887551785,3100,248000
1.7425018548965454,1.1181530319154263,1876,0.9141263067722321,0.037950459867715836,3200,256000
1.721405267715454,0.9898735623806715,1872,0.9870624104514718,0.003246975364163518,3300,264000
1.6790062189102173,0.9861276596784592,1869,0.9573927596211433,0.014920130372047424,3400,272000
1.686815619468689,1.0974846616387368,1866,0.9731465391814709,0.015634899958968163,3500,280000
1.7534087896347046,0.530245324340649,1865,0.8901000246405602,0.018276168033480644,3600,288000
1.7283008098602295,1.2732304640114307,1864,0.9644916243851185,0.01642894744873047,3700,296000
1.7108157873153687,1.8024637084454298,1865,0.9064837545156479,0.03494114801287651,3800,304000
1.6468288898468018,1.5271906390786172,1868,0.9335987791419029,0.025454407557845116,3900,312000
1.5419511795043945,1.727801339328289,1868,0.8653857260942459,0.053422726690769196,4000,320000
1.6836217641830444,1.134544883482158,1867,0.9712510760873556,0.008816538378596306,4100,328000
