fps,policy_entropy,nupdates,explained_variance,value_loss,total_timesteps,learning rate,avg reward
1733,2.8903679847717285,81200,-1.3936567306518555,9.345910143565561e-07,6496000,0.001,-2.6692097981140252e-05
1733,2.8903682231903076,81300,-0.905906081199646,7.385584694930003e-07,6504000,0.001,-5.99271479586605e-05
1733,2.890368938446045,81400,-0.15284669399261475,1.7902282252180157e-06,6512000,0.001,0.00043957094867437264
1733,2.890368700027466,81500,-0.9435032606124878,9.293210609939706e-07,6520000,0.001,-0.0004180056621898132
1733,2.890369176864624,81600,-1.1131575107574463,1.7403372112312354e-06,6528000,0.001,0.00041451690213065715
1733,2.890368938446045,81700,-1.3853962421417236,1.0585725931377965e-06,6536000,0.001,0.0006443376958486624
1733,2.890369415283203,81800,-0.29092705249786377,8.425665214417677e-07,6544000,0.001,0.0005720395819480472
1733,2.8903684616088867,81900,-0.7464956045150757,1.105899286812928e-06,6552000,0.001,0.0003396056818019133
1733,2.8903698921203613,82000,-1.6477627754211426,1.2077291557943681e-06,6560000,0.001,-0.0011029495182810934
1733,2.890368938446045,82100,-1.152289628982544,9.315991746916552e-07,6568000,0.001,-0.0003200155071681365
1733,2.8903679847717285,82200,-0.9015264511108398,1.5694340618210845e-06,6576000,0.001,-0.0002533435865643696
1733,2.890368938446045,82300,-1.1051874160766602,7.200327445389121e-07,6584000,0.001,0.00024465184924338246
1732,2.890368938446045,82400,-0.7378058433532715,6.143427526694722e-07,6592000,0.001,0.00012584512452349373
1732,2.890369415283203,82500,-1.8406767845153809,1.6056868616942666e-06,6600000,0.001,3.066797135033994e-05
1732,2.890368938446045,82600,-1.314328670501709,2.344793756492436e-06,6608000,0.001,0.00036797864459003904
1732,2.890368938446045,82700,-1.2292346954345703,1.0566866421868326e-06,6616000,0.001,0.00040392781320406355
1732,2.8903682231903076,82800,-0.5375477075576782,8.119221206470684e-07,6624000,0.001,0.00034222144377054063
1732,2.890368938446045,82900,-0.8548929691314697,4.524828796093061e-07,6632000,0.001,-0.00021421983401523904
