explained_variance,value_loss,nupdates,fps,total_timesteps,policy_entropy
-106.93507385253906,0.004553886596113443,1,127,140,1.386291265487671
-1.546400785446167,0.0014333516592159867,100,1582,14000,1.3862924575805664
-0.10565590858459473,0.018213994801044464,200,1568,28000,1.3862615823745728
-0.08391618728637695,0.014089706353843212,300,1536,42000,1.386133074760437
-0.37840330600738525,0.0004945388063788414,400,1540,56000,1.3860979080200195
0.04733246564865112,0.014225686900317669,500,1521,70000,1.385319471359253
-0.05148029327392578,0.0026198276318609715,600,1528,84000,1.3854609727859497
0.012744367122650146,0.0004972010501660407,700,1534,98000,1.3838834762573242
-1.2966365814208984,0.0002805277472361922,800,1523,112000,1.3853702545166016
0.00886768102645874,0.011077078990638256,900,1515,126000,1.3559277057647705
-0.028369665145874023,0.02191830985248089,1000,1518,140000,1.3839751482009888
0.004115164279937744,0.006776601076126099,1100,1518,154000,1.384176254272461
0.043643057346343994,0.02944587916135788,1200,1519,168000,1.3842127323150635
0.012008190155029297,0.01565147377550602,1300,1514,182000,1.3837461471557617
0.05463111400604248,0.04389475658535957,1400,1519,196000,1.3858829736709595
0.13845103979110718,0.005236397497355938,1500,1523,210000,1.3862298727035522
0.17276102304458618,0.0005607122438959777,1600,1521,224000,1.3860833644866943
0.034632980823516846,0.018542880192399025,1700,1521,238000,1.3858219385147095
0.0577889084815979,0.008012344129383564,1800,1524,252000,1.385873794555664
0.04579859972000122,0.021446608006954193,1900,1524,266000,1.386127233505249
0.05874103307723999,0.036665212363004684,2000,1525,280000,1.3860927820205688
0.6682420969009399,0.0002810164005495608,2100,1527,294000,1.3854531049728394
0.299241304397583,0.003464274574071169,2200,1523,308000,1.385353922843933
0.08151155710220337,0.051616229116916656,2300,1532,322000,1.3845951557159424
0.34685027599334717,0.001144677633419633,2400,1531,336000,1.3826402425765991
0.07473933696746826,0.014103730209171772,2500,1530,350000,1.3848388195037842
0.08376246690750122,0.013579444028437138,2600,1527,364000,1.385744571685791
0.15671861171722412,0.004432755056768656,2700,1525,378000,1.3857892751693726
0.3217740058898926,0.0014815430622547865,2800,1527,392000,1.3851758241653442
0.19013702869415283,0.012141498737037182,2900,1528,406000,1.384018063545227
0.2179337739944458,0.01759977824985981,3000,1527,420000,1.3850047588348389
0.17419636249542236,0.01474152784794569,3100,1526,434000,1.3849525451660156
0.33530616760253906,0.014675341546535492,3200,1526,448000,1.3856645822525024
0.20528000593185425,0.00594923784956336,3300,1525,462000,1.3853410482406616
0.15738487243652344,0.017490701749920845,3400,1524,476000,1.384845495223999
0.49315035343170166,0.010654481127858162,3500,1526,490000,1.3853203058242798
0.41865044832229614,0.015046164393424988,3600,1525,504000,1.385080099105835
0.31378471851348877,0.035398587584495544,3700,1525,518000,1.384887456893921
0.4104740619659424,0.027070308104157448,3800,1524,532000,1.3858742713928223
0.8091587573289871,0.0006906893686391413,3900,1525,546000,1.3861569166183472
0.49312835931777954,0.026676654815673828,4000,1526,560000,1.3859703540802002
0.6761167645454407,0.004052308853715658,4100,1526,574000,1.3858439922332764
0.8241526633501053,0.003314727684482932,4200,1526,588000,1.384896159172058
0.8405179381370544,0.0003973079437855631,4300,1526,602000,1.3856271505355835
0.6231125295162201,0.008232127875089645,4400,1524,616000,1.38498854637146
0.5194357633590698,0.018249737098813057,4500,1527,630000,1.385404109954834
0.5659415423870087,0.0077197677455842495,4600,1526,644000,1.3853662014007568
0.767645388841629,0.013293487951159477,4700,1525,658000,1.3850120306015015
0.7926626652479172,0.0024985854979604483,4800,1526,672000,1.385010004043579
0.7997119724750519,0.005004674196243286,4900,1526,686000,1.3850339651107788
0.8041827082633972,0.010191607289016247,5000,1528,700000,1.386183261871338
0.5662834048271179,0.02126981131732464,5100,1529,714000,1.383956789970398
0.7928977459669113,0.02806064300239086,5200,1530,728000,1.382691502571106
0.7623235285282135,0.017927009612321854,5300,1531,742000,1.3821357488632202
0.8744245767593384,0.0068933009169995785,5400,1530,756000,1.3829269409179688
0.6028348505496979,0.033341217786073685,5500,1531,770000,1.3790271282196045
0.6466530859470367,0.023699937388300896,5600,1534,784000,1.3819721937179565
0.845742866396904,0.004920672625303268,5700,1534,798000,1.3800710439682007
0.935708798468113,0.0026090783067047596,5800,1534,812000,1.378662347793579
0.9292881488800049,0.004274691920727491,5900,1535,826000,1.3810011148452759
0.8437198996543884,0.007437412161380053,6000,1536,840000,1.3760493993759155
0.8914045467972755,0.011477850377559662,6100,1536,854000,1.3758195638656616
0.8939154893159866,0.010010008700191975,6200,1537,868000,1.3765524625778198
