episodes,mean 100 episode reward,% time spent exploring,steps
21900,9.3,1,4949335
22000,9.5,1,4979337
22100,10.4,1,5010480
22200,9.3,1,5038669
22300,8.1,1,5063923
22400,8.4,1,5089079
22500,8.6,1,5118623
22600,9.5,1,5149496
22700,8.2,1,5176687
22800,9.2,1,5207061
22900,9.5,1,5238347
23000,9.9,1,5269213
23100,9.1,1,5298207
23200,9.5,1,5326930
23300,9.9,1,5357978
23400,8.9,1,5386796
23500,9.6,1,5416764
23600,9.0,1,5445305
23700,10.2,1,5476231
23800,10.1,1,5505487
23900,10.0,1,5535703
24000,9.4,1,5565962
24100,9.6,1,5597462
24200,8.2,1,5624963
24300,9.6,1,5654773
24400,9.8,1,5684574
24500,9.6,1,5713741
24600,9.7,1,5742960
24700,8.7,1,5771261
24800,8.7,1,5799353
24900,9.7,1,5830195
25000,10.0,1,5862157
25100,9.2,1,5894014
25200,8.3,1,5923602
25300,7.9,1,5949269
25400,9.7,1,5978895
25500,9.8,1,6010049
25600,10.0,1,6040840
25700,10.0,1,6071408
25800,8.8,1,6100233
25900,8.8,1,6128239
26000,9.9,1,6158471
26100,10.8,1,6191824
26200,10.4,1,6223375
26300,9.9,1,6254420
26400,10.2,1,6285451
26500,10.0,1,6316702
26600,8.8,1,6344007
26700,10.8,1,6378194
26800,10.2,1,6411153
26900,9.5,1,6440996
27000,10.4,1,6472622
27100,10.0,1,6501826
27200,10.0,1,6531736
27300,10.0,1,6562051
27400,10.6,1,6594223
27500,9.7,1,6623767
27600,8.8,1,6652475
27700,9.7,1,6683298
27800,9.8,1,6714586
27900,10.6,1,6747622
28000,10.6,1,6780821
28100,9.1,1,6809040
28200,9.9,1,6839790
28300,9.6,1,6869844
28400,10.1,1,6900211
28500,10.0,1,6930571
28600,10.6,1,6962011
28700,11.0,1,6994006
28800,9.3,1,7021920
28900,10.2,1,7053730
29000,10.9,1,7087864
29100,9.7,1,7117945
29200,10.3,1,7149293
29300,9.3,1,7177725
29400,9.5,1,7205015
29500,9.5,1,7233593
29600,9.4,1,7262594
29700,10.2,1,7293097
29800,11.0,1,7324463
29900,9.8,1,7354356
30000,9.3,1,7382970
30100,10.6,1,7415835
30200,9.5,1,7445694
30300,9.9,1,7475361
30400,11.0,1,7507418
30500,9.9,1,7537470
30600,10.9,1,7570432
30700,11.4,1,7602623
30800,11.9,1,7637440
30900,11.2,1,7671195
31000,11.4,1,7706154
31100,11.3,1,7740001
31200,10.5,1,7772719
31300,10.4,1,7804694
31400,10.8,1,7837759
31500,10.4,1,7870725
31600,11.5,1,7906285
31700,10.4,1,7936658
31800,11.3,1,7969369
31900,11.1,1,8001425
32000,11.8,1,8036880
32100,10.8,1,8069566
32200,12.0,1,8105839
32300,11.9,1,8142520
32400,12.1,1,8177932
32500,12.4,1,8213050
32600,12.3,1,8247746
32700,11.6,1,8282362
32800,11.9,1,8317047
32900,12.1,1,8352359
33000,11.6,1,8386828
33100,12.7,1,8425794
33200,12.7,1,8461612
33300,13.8,1,8500828
33400,11.0,1,8535457
33500,11.5,1,8571883
33600,10.5,1,8604908
33700,12.6,1,8644433
33800,10.6,1,8677003
33900,14.2,1,8719221
34000,12.1,1,8756003
34100,10.7,1,8788370
