policy_entropy,explained_variance,total_timesteps,fps,nupdates,value_loss,avg reward
0.0,-0.1115044355392456,7304000,1590,91300,4545.712890625,193.7883090496063
0.0,0.427490234375,7312000,1590,91400,511.76666259765625,-934.0300003051758
0.0,0.0992860198020935,7320000,1590,91500,20.45703887939453,144.79776859283447
0.0,0.10401266813278198,7328000,1590,91600,164684.8125,-2321.801181793213
0.0,-0.17152190208435059,7336000,1590,91700,3259.39013671875,276.02774810791016
0.0,-0.07834649085998535,7344000,1590,91800,95073.578125,-1532.955337524414
0.0,-0.16467905044555664,7352000,1590,91900,23809.97265625,-954.7583610534668
0.0,-1.0702509880065918,7360000,1590,92000,23653.26171875,761.6975387573242
0.0,-1.3091654777526855,7368000,1590,92100,59.5875244140625,82.1344036102295
0.0,-67.72679138183594,7376000,1590,92200,39169.36328125,2068.599011230469
0.0,0.27618879079818726,7384000,1590,92300,437.6348571777344,874.969832611084
0.0,-0.08028566837310791,7392000,1590,92400,20923.517578125,771.7798666000366
0.0,-0.03346967697143555,7400000,1590,92500,27409.615234375,-430.01177310943604
0.0,-18.905487060546875,7408000,1590,92600,3221.989013671875,-807.6276077270508
0.0,-0.23044037818908691,7416000,1590,92700,180292.125,-1307.1602207183837
0.0,-1.4230167865753174,7424000,1590,92800,6841.74755859375,-646.0861175537109
0.0,-19.141571044921875,7432000,1590,92900,2764.266357421875,-528.3864860534668
0.0,0.7312352955341339,7440000,1590,93000,444.9324645996094,-912.5475631713867
0.0,-0.2895498275756836,7448000,1590,93100,5707.845703125,334.18314561843874
0.0,-0.04326581954956055,7456000,1590,93200,21675.453125,742.173454284668
0.0,-90.90150451660156,7464000,1591,93300,2897.65283203125,527.0397464752198
0.0,-0.7346739768981934,7472000,1591,93400,572.1173095703125,154.68732624053956
0.0,0.07817816734313965,7480000,1591,93500,158.02476501464844,516.5981578826904
0.0,0.1274738311767578,7488000,1591,93600,2890.91650390625,-306.8490849547088
0.0,-1.8535897731781006,7496000,1591,93700,21270.923828125,-1071.5403533935546
0.0,-0.02101278305053711,7504000,1591,93800,34312.0625,625.4798751831055
0.0,0.5454523265361786,7512000,1591,93900,521.70654296875,-1020.2659873962402
0.0,-0.1968778371810913,7520000,1591,94000,3544.31884765625,363.8501777648926
0.0,-0.327254056930542,7528000,1591,94100,1733.280029296875,-171.10730094909667
0.0,-0.9124109745025635,7536000,1591,94200,7625.15380859375,549.1171798706055
0.0,0.1832975149154663,7544000,1591,94300,78.43595886230469,352.01599464416506
0.0,-0.36206960678100586,7552000,1591,94400,56006.1484375,-498.961944770813
0.0,0.7799643129110336,7560000,1591,94500,49.77096176147461,-285.55053291320803
0.0,-0.5072015523910522,7568000,1591,94600,14828.474609375,-518.6605434417725
0.0,-9.274993896484375,7576000,1591,94700,765.4955444335938,-407.40532264709475
0.0,0.7181733846664429,7584000,1591,94800,23.354175567626953,201.53091945648194
0.0,-0.9007302522659302,7592000,1591,94900,34315.4453125,-1166.4934204101562
0.0,-0.04887843132019043,7600000,1591,95000,6497.6845703125,321.707888507843
0.0,-1.3292062282562256,7608000,1591,95100,490.37860107421875,-691.1408218383789
0.0,0.8683983683586121,7616000,1592,95200,3.474456787109375,39.83386564254761
0.0,-17.898744583129883,7624000,1592,95300,1995.321533203125,-644.8865089416504
0.0,0.1680927872657776,7632000,1592,95400,112.0028305053711,433.2123249053955
0.0,0.251423716545105,7640000,1591,95500,615.9002685546875,1035.875119781494
0.0,-0.20908403396606445,7648000,1591,95600,17359.578125,-397.36487808227537
0.0,0.7089640200138092,7656000,1591,95700,27.311559677124023,218.2070026397705
