total_timesteps,nupdates,fps,policy_entropy,value_loss,avgReward,explained_variance
1504000,18800,904,1.3770418167114258,0.004406987689435482,0.04866068640258163,0.8815953880548477
1512000,18900,904,1.375374436378479,0.029088133946061134,0.39057156224007483,0.7757669985294342
1520000,19000,904,1.3781667947769165,0.008552918210625648,0.3393184418499004,0.922288291156292
1528000,19100,904,1.373783826828003,0.011741762049496174,0.44576575006358327,0.8732933104038239
1536000,19200,904,1.3709995746612549,0.021764319390058517,0.5583589658141136,0.7986831218004227
1544000,19300,904,1.3544979095458984,0.0013612143229693174,0.48035142752341925,0.9846237488090992
1552000,19400,904,1.3730278015136719,0.0038637618999928236,0.23159119023475797,0.9418274015188217
1560000,19500,904,1.3637185096740723,0.010714399628341198,0.4477553650154732,0.8920296728610992
1568000,19600,904,1.340896725654602,0.006310132332146168,0.7102714035660028,0.935166023671627
1576000,19700,904,1.338984727859497,0.001529044471681118,0.5128632489591837,0.9848126601427794
1584000,19800,904,1.3618605136871338,0.001644017524085939,0.2274228151945863,0.9828686229884624
1592000,19900,904,1.3396321535110474,0.002354780910536647,0.5285257736686617,0.985126837156713
1600000,20000,905,1.3783104419708252,0.003700547618791461,0.26872555995360015,0.954692218452692
1608000,20100,905,1.378591537475586,0.002885716501623392,0.1585374738657265,0.9442468211054802
1616000,20200,905,1.358137845993042,0.004317192826420069,0.43556327336118555,0.9704819358885288
1624000,20300,905,1.3674700260162354,0.0026705760974437,0.2984655416570604,0.9788648821413517
1632000,20400,905,1.3694672584533691,0.003825221676379442,0.26968842726782893,0.9513900727033615
1640000,20500,905,1.3799514770507812,0.00583648681640625,0.08346781106665731,0.7737498730421066
1648000,20600,905,1.3739039897918701,0.005143279675394297,0.44776596302399413,0.9608328193426132
1656000,20700,905,1.3783597946166992,0.0014679639134556055,0.3010868275305256,0.9826097190380096
1664000,20800,905,1.3598825931549072,0.0016854200512170792,0.32259957220230717,0.9822366032749414
1672000,20900,905,1.3708670139312744,0.0017815462779253721,0.2970415522286203,0.9858154663816094
1680000,21000,905,1.373260736465454,0.026013964787125587,0.5438482858240604,0.8115469217300415
1688000,21100,905,1.3691734075546265,0.0020041833631694317,0.2901509722345509,0.9782902952283621
1696000,21200,905,1.3617994785308838,0.00852271355688572,0.48954398544601646,0.9121870845556259
1704000,21300,905,1.3759801387786865,0.0011244615307077765,0.2434368513058871,0.9874869594350457
1712000,21400,905,1.3558952808380127,0.0011449978919699788,0.4787738379847724,0.9935046061873436
1720000,21500,905,1.3682835102081299,0.00706959655508399,0.3350913362810388,0.9217814356088638
1728000,21600,905,1.3759201765060425,0.013788878917694092,0.43345334865152835,0.8687886744737625
1736000,21700,906,1.3555166721343994,0.003023203695192933,0.5765176074579358,0.9791249446570873
1744000,21800,906,1.3551260232925415,0.0063994103111326694,0.522093853529077,0.9636094868183136
1752000,21900,906,1.3595778942108154,0.0014631074154749513,0.3593311608186923,0.9865576913580298
1760000,22000,906,1.3435084819793701,0.007721965201199055,0.7386064472608268,0.8910554051399231
1768000,22100,906,1.3281853199005127,0.004439889453351498,0.6062495811609552,0.9657775387167931
1776000,22200,906,1.3462655544281006,0.006314065307378769,0.3324770702427486,0.9579554162919521
1784000,22300,906,1.3699426651000977,0.001158353639766574,0.2059931027062703,0.9812884107232094
1792000,22400,906,1.3434410095214844,0.004927092231810093,0.5586395569902379,0.9684518687427044
1800000,22500,906,1.3779181241989136,0.005610630847513676,0.26587829175405203,0.8885374665260315
1808000,22600,906,1.3782122135162354,0.0076672048307955265,0.37771819172776305,0.9400089122354984
1816000,22700,906,1.347280740737915,0.008002768270671368,0.5040742383338511,0.9066495895385742
1824000,22800,906,1.3686378002166748,0.0036650891415774822,0.30617690383223817,0.9579170346260071
1832000,22900,906,1.3752492666244507,0.004514363128691912,0.12817040984518827,0.9410145841538906
1840000,23000,906,1.3525396585464478,0.003822432365268469,0.44473459097207524,0.9537597522139549
1848000,23100,906,1.366161584854126,0.0036179139278829098,0.5136386481695808,0.9726848267018795
1856000,23200,907,1.349735975265503,0.0011591275688260794,0.24960638104967076,0.9830345753580332
1864000,23300,907,1.3588087558746338,0.009295029565691948,0.43990518907085063,0.9058964401483536
1872000,23400,907,1.3564202785491943,0.02287152409553528,0.5408571461164684,0.8512408286333084
1880000,23500,907,1.3659809827804565,0.007113543339073658,0.6253019051626325,0.9455759860575199
1888000,23600,907,1.3682374954223633,0.001621924340724945,-0.04809888986928854,0.40438175201416016
1896000,23700,907,1.3627357482910156,0.012562969699501991,0.6196146829053759,0.8897195607423782
1904000,23800,907,1.3586241006851196,0.01539447158575058,0.49295368967577813,0.8844486773014069
1912000,23900,907,1.3656991720199585,0.011763622052967548,0.6250840314663947,0.8770362585783005
1920000,24000,907,1.3401752710342407,0.02144593931734562,0.34846920144045723,0.8368653804063797
1928000,24100,907,1.3395063877105713,0.004990191198885441,0.1525156818330288,0.7752245366573334
1936000,24200,907,1.3487604856491089,0.009807569906115532,0.7897431250661612,0.9138879701495171
