fps,policy_entropy,explained_variance,total_timesteps,nupdates,value_loss,avg reward
73,1.7917592525482178,-3.8388991355895996,80,1,3.6993773392168805e-05,-0.003516492372727953
1442,1.7917591333389282,0.031542301177978516,8000,100,0.049524564296007156,0.13111462369470245
1673,1.7917587757110596,0.1959729790687561,16000,200,0.019143354147672653,0.14045185837894678
1765,1.7917581796646118,0.025434672832489014,24000,300,0.0365484319627285,0.31921165017411113
1784,1.7917518615722656,0.8478742986917496,32000,400,0.00044352016993798316,0.4378870792686939
1817,1.7917053699493408,0.06931602954864502,40000,500,0.041181646287441254,0.762197845429182
1841,1.7916284799575806,-0.05236852169036865,48000,600,0.052025239914655685,1.1185902178287506
1868,1.7913730144500732,0.3950192332267761,56000,700,0.06074032187461853,1.1633021228015423
1879,1.7906726598739624,0.9243784621357918,64000,800,0.0014953012578189373,1.077395248413086
1880,1.7908637523651123,0.9761598072946072,72000,900,0.0033663983922451735,1.3430412463843822
1869,1.7863950729370117,0.8923079669475555,80000,1000,0.009064833633601665,1.2972386926412582
1866,1.7807881832122803,0.9636694863438606,88000,1100,0.0045463927090168,0.8465400820598006
1867,1.7790005207061768,0.6305876076221466,96000,1200,0.04111974686384201,1.1942042626440525
1877,1.7756503820419312,0.9889334198087454,104000,1300,0.0017453409964218736,1.0369798518717288
1874,1.7522281408309937,0.39814406633377075,112000,1400,0.043138548731803894,0.8803687945008278
1875,1.7552779912948608,0.6439419388771057,120000,1500,0.03368357941508293,0.9193689920008182
1876,1.7594419717788696,0.6554609537124634,128000,1600,0.039448875933885574,1.1870529018342495
1871,1.7498735189437866,0.11542600393295288,136000,1700,0.04884139448404312,1.3402319133281708
1871,1.7046369314193726,0.7158065438270569,144000,1800,0.0251619853079319,1.4949269950389863
1875,1.7346149682998657,0.8419936150312424,152000,1900,0.025480199605226517,1.3701823614537716
1872,1.7706600427627563,0.8211466521024704,160000,2000,0.017772933468222618,0.877219132333994
1872,1.7537918090820312,0.9600408524274826,168000,2100,0.01505703292787075,1.0918302826583386
1868,1.7298221588134766,0.9798396490514278,176000,2200,0.006896625272929668,1.634444860368967
1870,1.7715867757797241,0.4421544075012207,184000,2300,0.07178740203380585,0.9455489050596952
1873,1.7760660648345947,0.8890996500849724,192000,2400,0.01930316910147667,1.075814214348793
1872,1.7775344848632812,0.9103129729628563,200000,2500,0.01145237497985363,1.2061576023697853
1870,1.7416270971298218,0.91011181473732,208000,2600,0.019623178988695145,2.2007731184363366
1872,1.7699308395385742,0.6757330000400543,216000,2700,0.04307808354496956,1.0523801870644092
1866,1.7427756786346436,0.8110622018575668,224000,2800,0.03219105675816536,1.3787427745759486
1866,1.6724296808242798,0.8613455295562744,232000,2900,0.046553704887628555,1.5169827993959188
1870,1.6746282577514648,0.9003403633832932,240000,3000,0.041407614946365356,1.3356397721916438
1875,1.7305539846420288,0.9738011695444584,248000,3100,0.011273050680756569,1.1538554523140192
1878,1.737738013267517,0.7534205168485641,256000,3200,0.04947200417518616,1.3041116308420897
1881,1.7306993007659912,0.8466594964265823,264000,3300,0.07873112708330154,1.3727318033576013
1883,1.7385066747665405,0.8147546201944351,272000,3400,0.02556006982922554,0.927127773500979
1883,1.7194942235946655,0.7072597444057465,280000,3500,0.09737639129161835,1.311912248469889
1885,1.7159827947616577,0.951023418456316,288000,3600,0.012428933754563332,1.0360119817778468
1883,1.7282323837280273,0.9336358457803726,296000,3700,0.02964082360267639,1.338425063341856
1885,1.6951305866241455,0.8608438223600388,304000,3800,0.08252866566181183,1.34064867105335
1886,1.7032225131988525,0.9724266361445189,312000,3900,0.013787555508315563,1.2221859449753538
1890,1.5711787939071655,0.9458457343280315,320000,4000,0.07262588292360306,2.074268629401922
1893,1.7307525873184204,0.9686270728707314,328000,4100,0.009211232885718346,0.8382604611339047
1895,1.7090091705322266,0.8601967841386795,336000,4200,0.043477099388837814,1.2564077720046043
1896,1.6918989419937134,0.8809677362442017,344000,4300,0.030011434108018875,1.223321237973869
1898,1.6847741603851318,0.9623957723379135,352000,4400,0.025165606290102005,1.3380710280500352
1898,1.711138129234314,0.8693785518407822,360000,4500,0.04883076995611191,1.1589230436831712
1898,1.6533868312835693,0.9527300111949444,368000,4600,0.01855516992509365,1.4940031658858062
1900,1.6712367534637451,0.9847873905673623,376000,4700,0.008597932755947113,1.3798062209039927
1899,1.5951241254806519,0.9409212432801723,384000,4800,0.03246615454554558,2.067741334065795
1900,1.6088769435882568,0.9583823010325432,392000,4900,0.009886721149086952,1.4750496968626976
1900,1.648948311805725,0.9362920746207237,400000,5000,0.021086808294057846,1.457977285888046
1903,1.639723539352417,0.9490800425410271,408000,5100,0.038898758590221405,1.7035913061350585
1906,1.6050411462783813,0.9678988046944141,416000,5200,0.01820197142660618,1.7275465834885835
1907,1.6348369121551514,0.8892935216426849,424000,5300,0.045727524906396866,1.5316149838268758
1907,1.6723108291625977,0.6602292656898499,432000,5400,0.046097926795482635,0.9550237730145454
1907,1.6700000762939453,0.9579377360641956,440000,5500,0.019113250076770782,1.1428761048708111
1907,1.6828047037124634,0.9484230652451515,448000,5600,0.00887185800820589,1.1347802863456309
1906,1.6973692178726196,0.9486433528363705,456000,5700,0.010340061970055103,1.042555388249457
1905,1.6311994791030884,0.9424446634948254,464000,5800,0.03557097166776657,1.6606893006712198
1906,1.5742367506027222,0.9860422015190125,472000,5900,0.012127437628805637,2.0402652878314256
1908,1.629970908164978,0.952772181481123,480000,6000,0.01176716759800911,1.1940178224816917
1906,1.5733540058135986,0.9421199522912502,488000,6100,0.018839797005057335,1.8507388725876808
1906,1.6256911754608154,0.9884005337953568,496000,6200,0.0047374931164085865,0.8678062642924488
1906,1.6345596313476562,0.9486576355993748,504000,6300,0.015429836697876453,0.8535127780400217
1908,1.5871562957763672,0.9816526807844639,512000,6400,0.010306074284017086,1.3446459228172898
1909,1.6215636730194092,0.9528768733143806,520000,6500,0.01834748312830925,1.0361458152416163
1910,1.5693538188934326,0.9496574327349663,528000,6600,0.015405784361064434,1.5956492654047907
1911,1.5815331935882568,0.9607377499341965,536000,6700,0.03339407965540886,1.5501492110546677
1911,1.6522067785263062,0.9434963129460812,544000,6800,0.016415376216173172,0.8958769334945828
1911,1.6524970531463623,0.9501163102686405,552000,6900,0.015244567766785622,1.0832096498459578
1910,1.614919900894165,0.9520193785429001,560000,7000,0.021788189187645912,1.5050772590213455
1910,1.6256942749023438,0.9810433015227318,568000,7100,0.015865059569478035,1.5829676985275
1911,1.6673686504364014,0.9009812101721764,576000,7200,0.07168546319007874,1.2771792915882543
1911,1.7012302875518799,0.9854672867804766,584000,7300,0.004430709406733513,1.0487648118287325
1912,1.6711219549179077,0.9833940584212542,592000,7400,0.008351938799023628,1.1301624728148454
1914,1.643559217453003,0.9642135947942734,600000,7500,0.018523821607232094,1.0990744938142598
1914,1.6305172443389893,0.9184526428580284,608000,7600,0.015437076799571514,0.8831573909148573
1914,1.6034148931503296,0.9939119601622224,616000,7700,0.003815948497503996,1.1353968653478659
1914,1.5701836347579956,0.9811850842088461,624000,7800,0.01953084208071232,1.7441400938667357
1914,1.5801045894622803,0.9625322036445141,632000,7900,0.012586763128638268,1.2698154878336936
1915,1.5858055353164673,0.9939809395000339,640000,8000,0.0028673752676695585,1.1921292637474834
1916,1.5939874649047852,0.9886172022670507,648000,8100,0.006980198435485363,1.4604021900333464
1917,1.6288232803344727,0.9575226120650768,656000,8200,0.011803877539932728,0.9828658383339643
1917,1.6001125574111938,0.9776131585240364,664000,8300,0.007862324826419353,1.1161330707371235
1916,1.51631760597229,0.9843543209135532,672000,8400,0.010761959478259087,1.8302413526922465
1916,1.603482961654663,0.9850337216630578,680000,8500,0.006276960019022226,1.10930088032037
1917,1.5662004947662354,0.984306775033474,688000,8600,0.011443763971328735,1.7482058230787516
1917,1.5469064712524414,0.9865133203566074,696000,8700,0.00526787992566824,1.3081599317491055
1916,1.5935192108154297,0.9825323205441236,704000,8800,0.00724450359120965,1.253606129671971
1916,1.6349656581878662,0.9585981145501137,712000,8900,0.016738129779696465,0.704176781559363
1915,1.579408884048462,0.9574666172266006,720000,9000,0.023981986567378044,1.5989224212244153
1915,1.6045827865600586,0.9022997617721558,728000,9100,0.031642936170101166,1.5430897825397552
1916,1.464945673942566,0.9860491091385484,736000,9200,0.010618108324706554,1.7204917115624994
1916,1.6669189929962158,0.9398806206882,744000,9300,0.007069757673889399,0.7150856091699097
