fps,nupdates,avg reward,total_timesteps,value_loss,explained_variance,policy_entropy
1899,18800,1.715665052831173,1504000,0.015458446927368641,0.9604282267391682,1.6241775751113892
1900,18900,1.308068423718214,1512000,0.0035392101854085922,0.9919825652614236,1.696048378944397
1900,19000,1.1339610176160932,1520000,0.012626384384930134,0.9787737634032965,1.7461788654327393
1900,19100,1.8037630708888173,1528000,0.030718285590410233,0.9470396116375923,1.661078691482544
1900,19200,0.7058334592729807,1536000,0.028847116976976395,0.8611700981855392,1.6538749933242798
1899,19300,1.0754614694975317,1544000,0.016642246395349503,0.9509051069617271,1.6811764240264893
1900,19400,1.2058755483478307,1552000,0.008434634655714035,0.9705059994012117,1.7378952503204346
1900,19500,1.4105979005340488,1560000,0.035033006221055984,0.9348440691828728,1.672713041305542
1900,19600,1.0463731486350298,1568000,0.017455361783504486,0.9200091734528542,1.6877853870391846
1901,19700,0.8738766891881824,1576000,0.01632121577858925,0.9459570907056332,1.6989853382110596
1901,19800,1.8625823602080345,1584000,0.0625067800283432,0.9480036832392216,1.6709811687469482
1901,19900,1.2307779903057963,1592000,0.01155808288604021,0.9718497730791569,1.7320436239242554
1901,20000,1.3965121837332846,1600000,0.020336072891950607,0.9750039763748646,1.6745752096176147
1902,20100,1.8611408721655607,1608000,0.02716108039021492,0.9482204541563988,1.719702124595642
1902,20200,1.6085523582994938,1616000,0.016559090465307236,0.9433190189301968,1.725031852722168
1902,20300,1.729598345141858,1624000,0.016631871461868286,0.9631732478737831,1.716848611831665
1902,20400,1.5950042202603072,1632000,0.011088276281952858,0.9878985546529293,1.7085793018341064
1902,20500,1.1840288141742348,1640000,0.07200812548398972,0.7788375616073608,1.7230627536773682
1902,20600,1.3604595382232219,1648000,0.027285054326057434,0.9551384113729,1.7466710805892944
1902,20700,1.3320847960188984,1656000,0.01669907197356224,0.9579198658466339,1.7220138311386108
1902,20800,1.5337456278502941,1664000,0.014730507507920265,0.9779435135424137,1.7073619365692139
1901,20900,1.345466476585716,1672000,0.025336336344480515,0.9156619533896446,1.7597767114639282
1902,21000,1.04961439371109,1680000,0.008708516135811806,0.98081717453897,1.7294723987579346
1902,21100,1.4135488456930034,1688000,0.010225391015410423,0.9716827850788832,1.7527633905410767
1902,21200,0.8640557879582047,1696000,0.006623317487537861,0.9685920290648937,1.725590467453003
1902,21300,1.3060793571174145,1704000,0.011017628014087677,0.9690666366368532,1.7119128704071045
1902,21400,1.4321188926696777,1712000,0.03706593066453934,0.8624939769506454,1.755271315574646
1902,21500,1.4640000049956143,1720000,0.011700634844601154,0.9693159125745296,1.7015031576156616
1903,21600,1.5253442273329711,1728000,0.011798495426774025,0.9794337619096041,1.711956262588501
1903,21700,1.1921074245125056,1736000,0.050218142569065094,0.8062360733747482,1.7453804016113281
1903,21800,1.4028926242142916,1744000,0.006357850041240454,0.9740833062678576,1.7564283609390259
1903,21900,1.8167102999985218,1752000,0.020541997626423836,0.9636793695390224,1.654553771018982
1904,22000,1.237583296559751,1760000,0.011427337303757668,0.9653316922485828,1.7328494787216187
1903,22100,1.2226932117715479,1768000,0.015565818175673485,0.9787923693656921,1.7480318546295166
1904,22200,1.1683575265109538,1776000,0.049680717289447784,0.8221288472414017,1.7007834911346436
1904,22300,1.926560813933611,1784000,0.018237028270959854,0.9740869514644146,1.6205822229385376
1904,22400,1.188170725107193,1792000,0.016243362799286842,0.947872955352068,1.594352126121521
1904,22500,1.5153599184006452,1800000,0.019356584176421165,0.9444574899971485,1.683469533920288
1905,22600,0.932679763622582,1808000,0.021455984562635422,0.9280296340584755,1.7312577962875366
1905,22700,1.8948757324367762,1816000,0.0290534608066082,0.956105675548315,1.7343755960464478
1905,22800,1.3405754604376852,1824000,0.010073418729007244,0.9759047590196133,1.7293148040771484
1905,22900,1.517216370999813,1832000,0.01036334689706564,0.986303111538291,1.6999645233154297
1905,23000,1.2179236456751823,1840000,0.015135174617171288,0.9405959844589233,1.7685348987579346
1905,23100,1.5411475042346865,1848000,0.03860563039779663,0.9500549286603928,1.7323051691055298
1905,23200,1.4009333982481622,1856000,0.04450206458568573,0.9128596782684326,1.7316291332244873
1905,23300,0.9440164254512637,1864000,0.008937198668718338,0.9715886637568474,1.7335983514785767
1904,23400,0.9210303962638136,1872000,0.01863108016550541,0.9454475305974483,1.7595828771591187
1905,23500,1.7347238317131997,1880000,0.019751986488699913,0.9461938962340355,1.6894248723983765
1905,23600,1.3995266633108259,1888000,0.019707638770341873,0.9648224040865898,1.7354309558868408
1905,23700,1.4078385339817032,1896000,0.011157634668052197,0.9585546553134918,1.7330827713012695
1905,23800,2.1038587926886976,1904000,0.026491139084100723,0.9714173842221498,1.6809406280517578
1905,23900,1.3709160955622792,1912000,0.020714621990919113,0.9102291837334633,1.7324968576431274
