#{"t_start": 1524077715.9038887, "env_id": "SpaceInvadersNoFrameskip-v0"}
r,l,t
50.0,370,16.801801
120.0,474,21.054456
405.0,576,25.992433
105.0,434,29.74289
90.0,335,32.344215
55.0,371,35.423792
210.0,483,39.625089
380.0,736,46.387239
135.0,377,49.791372
170.0,458,53.853013
160.0,490,58.170843
30.0,296,60.626302
475.0,739,67.017062
90.0,466,70.882515
50.0,299,73.61199
110.0,415,77.170772
80.0,444,81.0588
250.0,778,87.931035
395.0,723,94.232974
135.0,577,99.042542
80.0,289,101.366615
85.0,443,105.274479
225.0,632,110.73627
80.0,458,114.602822
145.0,581,119.320525
140.0,608,124.397489
50.0,300,126.782478
105.0,543,131.632356
135.0,593,136.437124
185.0,603,141.235409
50.0,306,143.852513
90.0,470,147.661829
165.0,583,152.453973
210.0,669,157.90826
105.0,504,162.050513
180.0,596,167.073318
180.0,641,172.310355
210.0,619,177.392112
210.0,642,182.872014
165.0,584,187.676033
110.0,497,191.932475
50.0,317,194.55282
155.0,592,199.338799
265.0,728,205.44912
105.0,489,209.876868
155.0,592,214.961542
210.0,623,219.980695
75.0,302,222.351371
155.0,613,227.321527
180.0,603,232.377351
155.0,587,237.274769
105.0,487,241.390459
155.0,596,246.606075
155.0,590,251.37549
155.0,598,256.408006
155.0,590,261.639545
180.0,635,266.898682
80.0,295,269.438982
210.0,642,274.774637
140.0,577,279.883481
155.0,594,284.680998
180.0,636,289.779473
210.0,623,294.942234
155.0,597,299.806817
135.0,598,304.807913
215.0,737,310.621797
155.0,640,315.879812
180.0,598,320.664988
180.0,605,325.865423
105.0,485,329.791358
155.0,613,334.829029
105.0,480,338.807106
210.0,626,343.804602
180.0,621,349.099463
520.0,802,355.874388
210.0,632,361.357046
120.0,580,366.056304
135.0,590,370.901083
180.0,614,376.230735
380.0,643,381.598783
110.0,577,386.353436
210.0,642,391.653194
180.0,632,396.877522
155.0,601,401.983699
240.0,744,408.265023
105.0,499,412.504365
105.0,489,416.624789
105.0,492,420.569485
185.0,601,425.576975
210.0,638,430.851701
155.0,593,435.694332
160.0,587,440.203203
210.0,628,445.233321
30.0,298,447.70222
240.0,733,453.986164
135.0,599,458.980687
210.0,608,463.883153
180.0,621,468.670111
135.0,587,473.41021
155.0,589,478.176712
285.0,730,484.545521
210.0,644,489.92574
155.0,602,494.747782
210.0,629,499.922344
155.0,608,504.673822
80.0,383,507.770253
180.0,610,512.767298
240.0,717,518.760748
75.0,311,521.455239
210.0,639,526.77315
105.0,471,530.404152
180.0,603,535.071832
410.0,629,540.258996
485.0,728,546.289044
105.0,482,550.194905
85.0,292,552.575941
105.0,417,556.099038
210.0,633,561.298183
210.0,648,566.953016
180.0,662,572.945965
210.0,642,578.492193
290.0,750,584.760783
470.0,707,590.250398
105.0,470,593.923573
355.0,597,598.917094
180.0,636,603.908274
530.0,1067,612.945031
255.0,838,619.607964
210.0,628,624.654753
410.0,613,629.695165
155.0,588,634.536389
260.0,727,640.230932
410.0,633,645.297976
250.0,720,651.20918
285.0,731,657.352602
465.0,754,663.315857
210.0,640,668.637153
55.0,413,672.283939
210.0,589,677.288687
240.0,756,683.558177
210.0,650,688.770457
215.0,703,694.44579
460.0,731,700.466523
240.0,735,706.437435
210.0,605,711.340667
285.0,760,717.331736
105.0,486,721.256249
185.0,597,726.160318
270.0,734,732.043411
210.0,642,737.085102
180.0,649,742.364547
105.0,485,746.242576
75.0,319,748.710813
210.0,648,753.865657
210.0,645,759.090111
110.0,474,762.942153
240.0,713,768.78066
410.0,630,773.969456
135.0,597,778.706621
210.0,606,783.554294
240.0,733,789.992368
180.0,641,795.329905
210.0,653,800.605959
385.0,591,805.596231
105.0,512,809.686615
210.0,622,814.727431
210.0,643,820.054122
460.0,742,826.293637
180.0,602,831.086287
105.0,516,835.503565
265.0,726,841.234269
210.0,636,846.227304
115.0,478,850.397593
155.0,601,855.219125
225.0,714,860.826937
210.0,615,865.924868
180.0,599,870.846473
380.0,603,875.854568
210.0,624,881.069698
410.0,625,886.510738
110.0,423,889.916477
55.0,280,892.278716
210.0,627,897.302339
210.0,608,902.358201
460.0,726,908.269177
90.0,409,911.633221
110.0,474,915.371608
210.0,628,920.317513
410.0,613,925.312898
240.0,744,931.440238
210.0,625,936.475483
180.0,601,941.527961
85.0,458,945.172388
210.0,629,950.066433
210.0,627,955.430921
180.0,660,960.669037
240.0,733,966.473819
240.0,787,972.871656
80.0,321,975.412789
80.0,314,978.231408
225.0,662,983.820394
590.0,1088,993.131112
110.0,332,995.857909
460.0,725,1001.623701
210.0,609,1006.721241
260.0,741,1012.924532
210.0,643,1018.142446
210.0,604,1023.001096
425.0,629,1028.063219
180.0,611,1033.309069
105.0,471,1037.479829
180.0,631,1042.559578
290.0,851,1049.402129
275.0,729,1055.635489
210.0,695,1061.396933
210.0,633,1066.66876
260.0,725,1072.709938
50.0,296,1075.031336
210.0,601,1079.846993
315.0,719,1086.030196
265.0,726,1092.088609
140.0,319,1094.679367
180.0,611,1099.427475
465.0,772,1105.48604
105.0,520,1110.127746
260.0,736,1116.313061
210.0,623,1121.417415
210.0,616,1126.394305
105.0,490,1130.213058
405.0,1092,1139.753816
105.0,490,1143.870241
210.0,637,1149.336018
30.0,319,1151.908652
270.0,740,1157.856143
180.0,604,1162.916368
210.0,641,1168.02004
420.0,1062,1176.745242
410.0,670,1182.508497
260.0,739,1188.646655
105.0,512,1192.849492
120.0,383,1196.050446
120.0,415,1199.212591
240.0,738,1205.009473
265.0,758,1211.033067
275.0,745,1217.082247
240.0,713,1222.779556
75.0,395,1225.959588
210.0,612,1231.061081
265.0,763,1237.425423
80.0,319,1240.000487
110.0,406,1243.28854
460.0,731,1249.510197
140.0,354,1252.421913
260.0,723,1258.29464
210.0,619,1263.173102
155.0,489,1267.065624
425.0,1262,1277.678151
105.0,495,1281.877513
145.0,377,1284.917503
240.0,620,1290.059152
50.0,322,1292.670819
260.0,718,1298.699279
250.0,701,1304.726643
285.0,739,1310.927651
520.0,835,1317.863141
210.0,452,1321.686252
490.0,834,1328.655972
465.0,722,1334.924371
295.0,838,1341.836621
290.0,765,1348.153729
140.0,381,1351.373934
260.0,739,1357.413895
275.0,757,1363.647693
135.0,478,1367.593899
300.0,779,1374.18908
210.0,610,1379.462282
155.0,490,1383.481765
315.0,821,1389.9586
125.0,360,1393.110264
180.0,463,1396.897885
330.0,856,1403.713846
260.0,722,1409.891215
415.0,740,1416.007663
225.0,707,1421.72535
260.0,716,1427.505836
105.0,477,1431.54024
290.0,694,1437.33886
125.0,344,1440.361652
290.0,800,1446.783196
180.0,505,1450.960678
125.0,381,1454.201494
215.0,599,1459.271929
210.0,607,1464.304568
