mean 100 episode reward,steps,episodes,% time spent exploring
31.3,5658327,21900,1
31.9,5685293,22000,1
34.2,5713818,22100,1
35.1,5741999,22200,1
35.7,5770222,22300,1
36.5,5799755,22400,1
32.3,5826535,22500,1
33.0,5854313,22600,1
32.2,5883227,22700,1
33.2,5911530,22800,1
34.8,5940998,22900,1
35.2,5970546,23000,1
30.3,5996592,23100,1
31.7,6023660,23200,1
31.8,6051412,23300,1
36.8,6082438,23400,1
34.0,6111306,23500,1
33.8,6140285,23600,1
31.8,6167170,23700,1
37.5,6197040,23800,1
35.4,6227641,23900,1
31.4,6254310,24000,1
30.8,6282063,24100,1
34.6,6311814,24200,1
30.8,6338958,24300,1
29.9,6364583,24400,1
34.7,6393745,24500,1
34.7,6422328,24600,1
33.5,6451748,24700,1
31.5,6480971,24800,1
33.1,6508659,24900,1
34.4,6536848,25000,1
34.2,6566584,25100,1
33.7,6595534,25200,1
33.4,6623272,25300,1
35.8,6652040,25400,1
33.8,6681182,25500,1
36.3,6710655,25600,1
34.8,6740636,25700,1
34.1,6770170,25800,1
35.4,6800910,25900,1
35.0,6830856,26000,1
29.5,6857310,26100,1
31.5,6884943,26200,1
32.5,6912687,26300,1
32.7,6941509,26400,1
33.2,6970290,26500,1
34.2,7000486,26600,1
33.3,7028864,26700,1
32.9,7056504,26800,1
33.7,7085075,26900,1
32.6,7113490,27000,1
33.9,7142108,27100,1
34.4,7171817,27200,1
32.3,7199436,27300,1
32.7,7229419,27400,1
32.9,7257666,27500,1
31.7,7285751,27600,1
31.8,7314143,27700,1
33.9,7343342,27800,1
35.2,7373348,27900,1
31.4,7402280,28000,1
32.7,7429588,28100,1
32.4,7458428,28200,1
31.6,7487196,28300,1
36.2,7516306,28400,1
32.7,7544119,28500,1
32.9,7572475,28600,1
36.0,7602479,28700,1
33.1,7630888,28800,1
31.8,7657887,28900,1
32.1,7686235,29000,1
33.8,7715964,29100,1
33.7,7744102,29200,1
32.3,7771509,29300,1
33.2,7799834,29400,1
34.4,7829000,29500,1
32.2,7856498,29600,1
36.8,7887088,29700,1
32.0,7914418,29800,1
31.6,7941388,29900,1
35.2,7971366,30000,1
31.9,7998611,30100,1
35.6,8029288,30200,1
32.1,8056466,30300,1
34.3,8085101,30400,1
33.0,8112426,30500,1
34.4,8142277,30600,1
35.2,8172095,30700,1
31.9,8198841,30800,1
31.2,8226924,30900,1
32.3,8253747,31000,1
33.0,8282738,31100,1
32.8,8311050,31200,1
35.4,8341096,31300,1
33.6,8370540,31400,1
30.6,8397476,31500,1
30.5,8425227,31600,1
33.7,8454195,31700,1
31.5,8483166,31800,1
33.4,8511741,31900,1
33.0,8540474,32000,1
28.6,8566849,32100,1
31.8,8594606,32200,1
31.6,8622457,32300,1
31.6,8650324,32400,1
32.1,8678210,32500,1
33.9,8707254,32600,1
33.1,8736274,32700,1
34.3,8765264,32800,1
33.4,8793734,32900,1
33.2,8821745,33000,1
33.0,8850998,33100,1
35.2,8880286,33200,1
30.8,8907457,33300,1
34.9,8938089,33400,1
33.2,8965976,33500,1
33.2,8993991,33600,1
35.0,9024127,33700,1
33.0,9051496,33800,1
34.4,9081472,33900,1
33.2,9109578,34000,1
34.3,9137640,34100,1
34.3,9166110,34200,1
32.7,9194299,34300,1
32.3,9222235,34400,1
29.6,9248321,34500,1
35.1,9278189,34600,1
35.2,9307768,34700,1
33.6,9335969,34800,1
31.4,9362834,34900,1
33.7,9391702,35000,1
34.6,9421702,35100,1
35.2,9451781,35200,1
32.4,9479996,35300,1
32.2,9508464,35400,1
31.8,9537117,35500,1
30.8,9564486,35600,1
29.8,9591080,35700,1
29.7,9617419,35800,1
29.7,9643663,35900,1
32.8,9672301,36000,1
31.5,9699884,36100,1
31.7,9726953,36200,1
34.2,9754654,36300,1
32.2,9783134,36400,1
33.2,9811914,36500,1
32.5,9839790,36600,1
33.1,9869199,36700,1
33.4,9897444,36800,1
33.1,9927500,36900,1
30.3,9954343,37000,1
33.3,9983413,37100,1
