% time spent exploring,mean 100 episode reward,steps,episodes
54,6.8,4576328,21900
54,6.0,4599312,22000
54,6.8,4625098,22100
53,7.8,4651848,22200
53,7.0,4677451,22300
53,7.0,4700837,22400
53,7.7,4725980,22500
52,6.4,4749232,22600
52,7.3,4775855,22700
52,7.6,4801933,22800
52,8.1,4830354,22900
51,7.3,4856066,23000
51,8.7,4885524,23100
51,8.2,4914169,23200
51,7.9,4941674,23300
50,7.9,4968796,23400
50,7.6,4995834,23500
50,8.2,5023506,23600
49,8.1,5050529,23700
49,8.6,5078872,23800
49,6.2,5102239,23900
49,8.2,5131046,24000
48,6.9,5156597,24100
48,7.4,5184530,24200
48,6.4,5209208,24300
48,6.5,5233680,24400
47,8.5,5262608,24500
47,7.8,5289885,24600
47,6.5,5314129,24700
47,6.7,5338552,24800
46,7.8,5365434,24900
46,7.4,5391240,25000
46,7.5,5419179,25100
46,6.8,5443196,25200
45,7.3,5470030,25300
45,5.9,5491554,25400
45,6.2,5515339,25500
45,8.2,5545931,25600
44,6.7,5570832,25700
44,6.5,5594897,25800
44,6.8,5620884,25900
44,7.0,5646842,26000
43,6.1,5670579,26100
43,7.1,5696094,26200
43,6.0,5717519,26300
43,6.1,5741065,26400
42,6.1,5764132,26500
42,6.6,5787814,26600
42,7.1,5811768,26700
42,6.5,5835417,26800
41,6.9,5859552,26900
41,5.9,5882646,27000
41,7.3,5908913,27100
41,5.8,5930638,27200
41,7.0,5955389,27300
40,8.1,5982804,27400
40,6.7,6007643,27500
40,7.5,6033986,27600
39,7.9,6061560,27700
39,8.2,6088389,27800
39,8.5,6118545,27900
39,7.4,6144947,28000
38,7.3,6170477,28100
38,9.4,6201393,28200
38,9.0,6232949,28300
38,7.9,6261094,28400
37,8.6,6291328,28500
37,8.8,6320761,28600
37,8.7,6351099,28700
36,9.9,6383841,28800
36,9.0,6413835,28900
36,7.9,6441116,29000
35,9.7,6473644,29100
35,9.4,6505588,29200
35,8.9,6534984,29300
34,9.4,6566811,29400
34,9.2,6595485,29500
34,9.1,6624930,29600
34,8.5,6653496,29700
33,7.6,6680771,29800
33,8.5,6709276,29900
33,8.9,6738109,30000
33,8.4,6767597,30100
32,8.7,6799956,30200
32,7.3,6827561,30300
32,7.0,6855534,30400
31,6.8,6884456,30500
31,5.6,6910233,30600
31,5.7,6936429,30700
31,7.9,6964036,30800
30,7.1,6991403,30900
30,7.5,7017431,31000
30,8.6,7046387,31100
29,7.9,7072199,31200
29,8.4,7100352,31300
29,9.2,7130503,31400
29,8.7,7158319,31500
28,8.4,7185506,31600
28,9.2,7216574,31700
28,9.6,7250978,31800
27,10.2,7284495,31900
27,10.4,7316973,32000
27,10.4,7349140,32100
26,9.6,7381275,32200
26,9.5,7413139,32300
26,10.1,7445285,32400
25,10.3,7478513,32500
25,9.0,7508994,32600
25,10.8,7543404,32700
24,9.8,7575855,32800
24,9.7,7606375,32900
24,9.6,7637870,33000
24,9.8,7669506,33100
23,7.8,7694088,33200
23,11.0,7730322,33300
23,10.3,7762958,33400
22,11.5,7797832,33500
22,10.5,7831136,33600
22,10.3,7864751,33700
21,10.6,7899850,33800
21,10.7,7934319,33900
21,11.2,7968138,34000
20,11.0,8001739,34100
20,10.6,8036877,34200
20,11.5,8074167,34300
19,12.6,8113889,34400
19,11.8,8150119,34500
18,10.9,8183862,34600
18,11.6,8219950,34700
18,12.3,8258312,34800
17,12.5,8295072,34900
17,10.9,8330745,35000
17,12.6,8368529,35100
16,11.3,8404168,35200
16,11.7,8439152,35300
16,12.7,8478061,35400
15,12.2,8514380,35500
15,12.7,8550798,35600
14,11.1,8586643,35700
14,13.7,8627822,35800
14,12.8,8666168,35900
13,14.0,8706546,36000
13,13.6,8748303,36100
12,13.9,8793246,36200
12,12.1,8831526,36300
12,13.0,8871290,36400
11,13.3,8912597,36500
11,12.4,8952035,36600
10,12.2,8991124,36700
10,13.5,9033433,36800
10,11.9,9071194,36900
9,14.0,9115316,37000
9,13.0,9155794,37100
8,12.3,9194167,37200
8,13.9,9238062,37300
8,13.2,9279003,37400
7,13.9,9321631,37500
7,12.0,9357431,37600
7,11.0,9392567,37700
6,12.4,9429018,37800
6,10.4,9462959,37900
5,11.2,9500317,38000
5,13.0,9543087,38100
5,11.4,9578557,38200
4,11.9,9616460,38300
4,11.1,9651140,38400
4,12.2,9689657,38500
3,13.5,9732816,38600
3,13.5,9773753,38700
2,13.5,9815935,38800
2,12.4,9852579,38900
2,13.0,9890800,39000
1,12.4,9928127,39100
1,13.1,9968645,39200
