fps,avg reward,nupdates,explained_variance,learning rate,epsilonValue,value_loss,total_timesteps,policy_entropy
1774,2.9147053588181735,40400,0.982336575165391,0.001,0.0007272674363255627,0.053993187844753265,3232000,1.5071715116500854
1775,2.590453578159213,40500,0.9388629049062729,0.001,0.0007272674363255627,0.15144005417823792,3240000,1.5145915746688843
1774,2.119031297788024,40600,0.9934564321301877,0.001,0.0007272674363255627,0.013319212011992931,3248000,1.5530387163162231
1775,2.7199532461352645,40700,0.9747502896934748,0.001,0.0007272674363255627,0.06272704899311066,3256000,1.5524046421051025
1775,2.0320187136530876,40800,0.9896925371140242,0.001,0.0007272674363255627,0.02829650603234768,3264000,1.5843493938446045
1775,3.2831278193742035,40900,0.9709262084215879,0.001,0.0007272674363255627,0.30700188875198364,3272000,1.5181457996368408
1775,2.242012832406908,41000,0.9899883894249797,0.001,0.0007272674363255627,0.022826451808214188,3280000,1.5354993343353271
1775,3.4184491120278837,41100,0.9880835115909576,0.001,0.0007272674363255627,0.04551834985613823,3288000,1.4633153676986694
1775,3.021016192343086,41200,0.9960822253488004,0.001,0.0007272674363255627,0.014593767933547497,3296000,1.5436022281646729
1776,2.4304646640550347,41300,0.9787667896598577,0.001,0.0007272674363255627,0.2004229575395584,3304000,1.5158154964447021
1776,1.1531862654723226,41400,0.9889761013910174,0.001,0.0007272674363255627,0.008342906832695007,3312000,1.6207460165023804
1776,3.347586326301098,41500,0.9931363109499216,0.001,0.0007272674363255627,0.028910990804433823,3320000,1.3477411270141602
1777,1.8950375644490123,41600,0.9937361641786993,0.001,0.0007272674363255627,0.015333792194724083,3328000,1.6050513982772827
1777,1.6310402973322198,41700,0.945377305150032,0.001,0.0007272674363255627,0.09294718503952026,3336000,1.5460710525512695
1777,5.048953429516405,41800,0.9797459710389376,0.001,0.0007272674363255627,0.4670114517211914,3344000,1.3740593194961548
1778,2.419877841696143,41900,0.9846270214766264,0.001,0.0007272674363255627,0.048647984862327576,3352000,1.4638298749923706
1778,1.8112116783857346,42000,0.9017042070627213,0.001,0.0007272674363255627,0.056444574147462845,3360000,1.5623128414154053
1779,3.567974748834968,42100,0.9901621583849192,0.001,0.0007272674363255627,0.045975614339113235,3368000,1.539171576499939
1779,2.3379250625148416,42200,0.9927797927521169,0.001,0.0007272674363255627,0.02900625765323639,3376000,1.5402494668960571
1779,3.681993321888149,42300,0.985934535972774,0.001,0.0007272674363255627,0.04648897424340248,3384000,1.4423072338104248
1780,1.8113806590437889,42400,0.960759736597538,0.001,0.0007272674363255627,0.05927615240216255,3392000,1.6360056400299072
1780,1.908613643795252,42500,-3.3044843673706055,0.001,0.0007272674363255627,4.4818010330200195,3400000,1.6016643047332764
1780,3.768107407912612,42600,0.9917013607919216,0.001,0.0007272674363255627,0.03053261712193489,3408000,1.4337509870529175
1780,2.9248418301343917,42700,0.9891758682206273,0.001,0.0007272674363255627,0.039321545511484146,3416000,1.4904296398162842
1781,2.79333813264966,42800,0.993741502519697,0.001,0.0007272674363255627,0.015988802537322044,3424000,1.5690619945526123
