nupdates,total_timesteps,fps,policy_entropy,explained_variance,value_loss,epsilonValue,avg reward
1,80,43,1.7917592525482178,-3.8388991355895996,3.6993962567066774e-05,99.99272732561946,-0.003516492372727953
100,8000,1319,1.7917592525482178,0.058209121227264404,0.006989683955907822,99.27273256194553,0.03666786648973357
200,16000,1476,1.7917587757110596,0.05994772911071777,0.011688552796840668,98.54546512389106,0.13328332554083316
300,24000,1599,1.7917563915252686,0.0743250846862793,0.028659621253609657,97.8181976858366,0.30535329021513463
400,32000,1623,1.791752576828003,0.20045197010040283,0.049767810851335526,97.09093024778213,0.5463900934904814
500,40000,1646,1.7917457818984985,0.2968388795852661,0.05024344474077225,96.36366280972766,0.9222013540565968
600,48000,1671,1.7916768789291382,0.4754549264907837,0.03145669028162956,95.63639537167319,1.0730487026274205
700,56000,1710,1.7906194925308228,0.9396920762956142,0.0040490091778337955,94.90912793361872,1.6281814187765122
800,64000,1702,1.789520263671875,0.865591362118721,0.0013735431712120771,94.18186049556425,1.0651189759373665
900,72000,1705,1.7884876728057861,0.2143351435661316,0.11360003799200058,93.45459305750978,0.8673979986459017
1000,80000,1715,1.7812153100967407,0.33438175916671753,0.06443275511264801,92.72732561945531,0.9398048777133227
1100,88000,1717,1.7734689712524414,0.955804843455553,0.003389023244380951,92.00005818140085,1.153941285610199
1200,96000,1729,1.7455947399139404,0.7699764966964722,0.028292259201407433,91.27279074334638,2.4615051969885826
1300,104000,1745,1.7722351551055908,0.3879488706588745,0.03379504010081291,90.54552330529191,1.3148217640817166
1400,112000,1748,1.7822158336639404,0.6526254117488861,0.039664871990680695,89.81825586723744,1.7359198123216628
1500,120000,1749,1.7880210876464844,0.6937617361545563,0.022804763168096542,89.09098842918297,0.8342554736882448
1600,128000,1762,1.7834205627441406,0.838543638586998,0.029739439487457275,88.3637209911285,1.6360322378575802
1700,136000,1766,1.7802375555038452,0.7226120829582214,0.06545700877904892,87.63645355307403,0.8848160771653056
1800,144000,1770,1.7788206338882446,0.9855703068897128,0.0039903465658426285,86.90918611501957,1.6484359502792358
1900,152000,1771,1.76287043094635,0.5698841512203217,0.060932546854019165,86.1819186769651,1.0999704532325267
2000,160000,1769,1.6935532093048096,0.8278798609972,0.030024508014321327,85.45465123891063,1.0570716891437768
2100,168000,1773,1.7460724115371704,0.9811481349170208,0.0020186249166727066,84.72738380085616,1.0189471032470465
2200,176000,1775,1.7229845523834229,0.6952661573886871,0.057883989065885544,84.00011636280169,1.7109525799751282
2300,184000,1780,1.7110416889190674,0.9367320612072945,0.00866372138261795,83.27284892474722,1.3945587791502476
2400,192000,1779,1.7498706579208374,0.9649948365986347,0.002054729498922825,82.54558148669275,0.6604401964694262
2500,200000,1779,1.7320325374603271,0.9542748294770718,0.009353372268378735,81.81831404863829,1.6733630768954755
2600,208000,1782,1.725854516029358,0.8235385119915009,0.020033955574035645,81.09104661058382,1.0930802535265685
2700,216000,1784,1.6981956958770752,0.9039259031414986,0.025991329923272133,80.36377917252935,0.8599330436438322
2800,224000,1783,1.6510273218154907,0.9757854882627726,0.004043555352836847,79.63651173447488,1.2671713698655367
2900,232000,1785,1.6783220767974854,0.9204558357596397,0.009741043671965599,78.90924429642041,1.2087002906948328
3000,240000,1788,1.2774865627288818,0.8816931545734406,0.04882051795721054,78.18197685836594,1.1822938738390802
