fps,avg reward,nupdates,total_timesteps,policy_entropy,explained_variance,value_loss
1791,1.739143743738532,12700,1016000,1.6440244913101196,0.9811800941824913,0.010510539636015892
1790,1.226196248596534,12800,1024000,1.6879860162734985,0.9842215739190578,0.009916928596794605
1791,2.0895604714751244,12900,1032000,1.6284202337265015,0.9581248089671135,0.026114368811249733
1792,1.4747430662158876,13000,1040000,1.6338911056518555,0.9928981829434633,0.0050481101498007774
1793,1.1519385958090425,13100,1048000,1.6219631433486938,0.9811320062726736,0.003270535496994853
1793,1.23553242306225,13200,1056000,1.573391318321228,0.977266201749444,0.014054718427360058
1794,1.4054140582680703,13300,1064000,1.6451765298843384,0.9674448519945145,0.017868664115667343
1794,1.5282373258436563,13400,1072000,1.6619369983673096,0.9919968051835895,0.010237558744847775
1794,1.252598100155592,13500,1080000,1.7254266738891602,0.9837591592222452,0.00485850078985095
1794,1.5630724724382161,13600,1088000,1.6554505825042725,0.9828006662428379,0.006279561668634415
1795,1.0321167898364365,13700,1096000,1.6350597143173218,0.955254290252924,0.02225079946219921
1795,1.4321099253371359,13800,1104000,1.6314876079559326,0.9384507276117802,0.02297396771609783
1796,1.6234479719772934,13900,1112000,1.6101421117782593,0.9551155976951122,0.015981916338205338
1795,1.126471582893282,14000,1120000,1.6854076385498047,0.9780673794448376,0.007588355801999569
1795,1.194227187661454,14100,1128000,1.6739704608917236,0.9814408533275127,0.008607177063822746
1795,1.42504686540924,14200,1136000,1.6401481628417969,0.9875489678233862,0.0047408053651452065
1795,1.0217993635567837,14300,1144000,1.6893380880355835,0.9759020656347275,0.010729648172855377
1795,1.808189889229834,14400,1152000,1.6518198251724243,0.9534983448684216,0.017730150371789932
1796,0.9235328453592956,14500,1160000,1.651650071144104,0.9789550751447678,0.0075632743537425995
1796,1.0420471338555217,14600,1168000,1.6939798593521118,0.9917858075350523,0.0038817867171019316
1797,0.4543581670615822,14700,1176000,1.704201102256775,0.977673938497901,0.005312358029186726
1797,1.6768095757812262,14800,1184000,1.6490757465362549,0.9946796428412199,0.0033120668958872557
1796,1.348247916251421,14900,1192000,1.663895606994629,0.9793868791311979,0.007556776516139507
1796,1.989829570427537,15000,1200000,1.5778138637542725,0.9334751740098,0.028728380799293518
1795,1.8255748484283685,15100,1208000,1.6333415508270264,0.9328874424099922,0.03155910223722458
1795,0.9745746716856957,15200,1216000,1.6740659475326538,0.9726990517228842,0.006818222347646952
1795,1.0310697857290507,15300,1224000,1.7252178192138672,0.9710786212235689,0.009847755543887615
1795,1.453415708290413,15400,1232000,1.580365777015686,0.9800019189715385,0.010099802166223526
1795,1.2212182257324458,15500,1240000,1.5907329320907593,0.9866529460996389,0.005898952018469572
1795,1.5406591963022946,15600,1248000,1.5931789875030518,0.9693373013287783,0.019378334283828735
1795,1.4156097889877857,15700,1256000,1.5998655557632446,0.9916518898680806,0.0063360631465911865
1795,1.2626123062917032,15800,1264000,1.6223700046539307,0.9906887635588646,0.006302776746451855
1794,1.6942124757915735,15900,1272000,1.6026346683502197,0.9534210711717606,0.027915364131331444
1793,2.023642110079527,16000,1280000,1.5837935209274292,0.9734466001391411,0.01932510919868946
1793,1.9538833254948258,16100,1288000,1.5890624523162842,0.9838750660419464,0.008561426773667336
1793,1.3488828770816326,16200,1296000,1.6845365762710571,0.9436746053397655,0.0251636765897274
1793,0.7114599884487689,16300,1304000,1.7175655364990234,0.9211083352565765,0.021596737205982208
1793,1.0195622085506328,16400,1312000,1.7144482135772705,0.9755178894847631,0.008635332807898521
1793,1.9145333411172032,16500,1320000,1.659576416015625,0.992535290773958,0.006608319468796253
1793,0.9747540828597266,16600,1328000,1.7150294780731201,0.9755120575428009,0.009063403122127056
1793,2.0007777702063323,16700,1336000,1.6662471294403076,0.9448301009833813,0.035581331700086594
1794,1.9017102055251598,16800,1344000,1.619433045387268,0.958697784692049,0.036470912396907806
1794,1.6358054190408438,16900,1352000,1.6564619541168213,0.9276584163308144,0.022108733654022217
1795,1.2363032713532447,17000,1360000,1.7284311056137085,0.9511723741889,0.014846870675683022
1795,1.6018195305019618,17100,1368000,1.7098748683929443,0.966196533292532,0.011450477875769138
1796,1.9719779143109917,17200,1376000,1.6149982213974,0.9713523332029581,0.017809106037020683
1796,0.928823815472424,17300,1384000,1.7338788509368896,0.9824729431420565,0.006346904672682285
1796,1.2042279658839106,17400,1392000,1.7582851648330688,0.8468489050865173,0.04130014404654503
1795,1.5806785438209772,17500,1400000,1.7497260570526123,0.9461238943040371,0.038864146918058395
1796,1.1077508114278316,17600,1408000,1.7689059972763062,0.8411339819431305,0.0628504827618599
1796,1.7576794095337391,17700,1416000,1.733398675918579,0.9350113421678543,0.04690157249569893
1797,1.3088220983743668,17800,1424000,1.7479588985443115,0.8829952925443649,0.06510914862155914
1797,1.3990902706980706,17900,1432000,1.7686243057250977,0.9290181398391724,0.01566413789987564
1797,1.1072665683925151,18000,1440000,1.7602488994598389,0.9366107061505318,0.017054487019777298
1797,1.2357742698863148,18100,1448000,1.732158899307251,0.9349841177463531,0.04149370640516281
1797,1.3458246629219501,18200,1456000,1.758080244064331,0.9055502489209175,0.03434489294886589
1797,1.5735423440113663,18300,1464000,1.719628930091858,0.8550026118755341,0.05730867385864258
1798,1.6579451214522123,18400,1472000,1.6890627145767212,0.9911223761737347,0.004913860000669956
1798,1.3812858894467355,18500,1480000,1.7604877948760986,0.9629167281091213,0.008991152048110962
1799,1.3515591325238347,18600,1488000,1.7214393615722656,0.9502692483365536,0.02015548385679722
1799,1.231830608099699,18700,1496000,1.7406737804412842,0.9647513553500175,0.011707195080816746
1800,1.1301892805844544,18800,1504000,1.7557651996612549,0.9422969333827496,0.01506216824054718
1800,1.1713095508515834,18900,1512000,1.7427356243133545,0.7335759699344635,0.03224742040038109
1800,1.7828584894537927,19000,1520000,1.74398934841156,0.8981247469782829,0.051636070013046265
1801,1.2801555941812695,19100,1528000,1.7100775241851807,0.891974076628685,0.036915913224220276
1801,1.499758867546916,19200,1536000,1.737242341041565,0.9451713562011719,0.016958914697170258
1801,1.2729837447404861,19300,1544000,1.7264842987060547,0.9525075443089008,0.008715917356312275
1802,1.0293223792687058,19400,1552000,1.7047837972640991,0.9779933989048004,0.011354023590683937
1802,1.4048653926700354,19500,1560000,1.688887596130371,0.8947028294205666,0.06229707598686218
1802,1.4302927620708943,19600,1568000,1.6774982213974,0.9355372041463852,0.02792583964765072
1802,1.1290961915161462,19700,1576000,1.6329199075698853,0.9875495508313179,0.006939825601875782
1802,0.9851280195638538,19800,1584000,1.6874141693115234,0.9582103788852692,0.0176832377910614
1802,1.2669545323587954,19900,1592000,1.7184457778930664,0.9577454067766666,0.013077380135655403
1803,1.518730695731938,20000,1600000,1.6600319147109985,0.9471890740096569,0.024208784103393555
1804,1.98224708189955,20100,1608000,1.6089731454849243,0.963388841599226,0.018656369298696518
1804,1.3570717671886086,20200,1616000,1.7138389348983765,0.9530196003615856,0.023296188563108444
1804,1.766368417069316,20300,1624000,1.6816513538360596,0.9719047416001558,0.016517294570803642
1804,1.3539170417934656,20400,1632000,1.730630874633789,0.9777581915259361,0.011119234375655651
1804,1.7695493832230569,20500,1640000,1.7150071859359741,0.9188824594020844,0.04815136641263962
1804,1.185186330601573,20600,1648000,1.7539726495742798,0.8691451698541641,0.022203143686056137
1805,1.2388011984527112,20700,1656000,1.7396118640899658,0.9730762355029583,0.006741904653608799
1805,0.910359134618193,20800,1664000,1.754176139831543,0.981396047398448,0.005637788213789463
1806,1.7691433438565582,20900,1672000,1.7030693292617798,0.895355835556984,0.08810386806726456
1806,1.444970371387899,21000,1680000,1.702680230140686,0.9442388229072094,0.023046569898724556
1806,1.4280771529302,21100,1688000,1.6821086406707764,0.9438012652099133,0.024575352668762207
1806,1.4243343539536,21200,1696000,1.7192323207855225,0.9686589241027832,0.012160887010395527
1806,1.438987533003092,21300,1704000,1.7064508199691772,0.8960797861218452,0.08692009747028351
1806,1.6340979509055615,21400,1712000,1.733250617980957,0.937428429722786,0.025325749069452286
1806,1.1630743451416492,21500,1720000,1.764161467552185,0.46490198373794556,0.05570685863494873
1806,1.4089346908032894,21600,1728000,1.7394819259643555,0.9129929691553116,0.02690536342561245
1806,1.3222365405410528,21700,1736000,1.7325494289398193,0.9839001186192036,0.005576334893703461
1806,1.572118910588324,21800,1744000,1.73614501953125,0.9412483461201191,0.0326402373611927
1806,2.2768766321241856,21900,1752000,1.703908920288086,0.9777286723256111,0.010866514407098293
1806,1.1298531672917307,22000,1760000,1.7193145751953125,0.9481595642864704,0.020336996763944626
1806,1.0450913180597126,22100,1768000,1.698105812072754,0.9894754039123654,0.00362827954813838
1806,1.205917408503592,22200,1776000,1.7049825191497803,0.9652060680091381,0.00852240715175867
1805,1.4770305516198277,22300,1784000,1.744013786315918,0.9719885177910328,0.012618646025657654
1806,1.3007678491994739,22400,1792000,1.6963684558868408,0.9587072469294071,0.02013333886861801
1806,1.3738064536824823,22500,1800000,1.7554330825805664,0.9689413625746965,0.02306787297129631
1806,1.8901354737579823,22600,1808000,1.7410194873809814,0.9335778281092644,0.026531243696808815
1806,1.162991483323276,22700,1816000,1.7599636316299438,0.9840271789580584,0.007576372474431992
1806,1.2565655358135701,22800,1824000,1.7418231964111328,0.9625129960477352,0.013354944996535778
1807,1.1580777826718986,22900,1832000,1.7403011322021484,0.9443245381116867,0.02586001716554165
1807,1.8003574378788472,23000,1840000,1.710147500038147,0.8495610952377319,0.027351390570402145
1807,1.2128683651797474,23100,1848000,1.7518041133880615,0.9732910729944706,0.004501765128225088
1807,1.1868145923130213,23200,1856000,1.6667168140411377,0.9717149138450623,0.011218193918466568
1808,0.9829025338054634,23300,1864000,1.7379509210586548,0.9504037760198116,0.018130013719201088
1808,1.4389150837290798,23400,1872000,1.7214504480361938,0.9515619613230228,0.02513819932937622
1808,1.7030049368739129,23500,1880000,1.7359943389892578,0.9712741505354643,0.014185609295964241
1808,1.3697633248346393,23600,1888000,1.764961838722229,0.9498128481209278,0.022320525720715523
1809,0.9273659260012209,23700,1896000,1.7609920501708984,0.9292894080281258,0.019855638965964317
1809,1.4110619533341378,23800,1904000,1.7470334768295288,0.9863743502646685,0.007592604961246252
1809,1.2930038741091265,23900,1912000,1.7364692687988281,0.7852569371461868,0.057418905198574066
1809,1.5577420238405466,24000,1920000,1.7381985187530518,0.860686719417572,0.051229894161224365
1810,0.6830692134797574,24100,1928000,1.75177800655365,0.9682407230138779,0.01543889194726944
1810,1.556444982078392,24200,1936000,1.752351999282837,0.9437330365180969,0.029436910524964333
1810,2.077320282906294,24300,1944000,1.7350877523422241,0.900240920484066,0.03783144801855087
1811,1.3799955558031798,24400,1952000,1.7322536706924438,0.8951537758111954,0.03822093829512596
1811,1.5349585577845573,24500,1960000,1.7367918491363525,0.8943303003907204,0.04714182764291763
1811,1.6712106472812593,24600,1968000,1.74981689453125,0.9691737722605467,0.01570388488471508
1812,1.3377569561824203,24700,1976000,1.7446330785751343,0.9379594996571541,0.031979408115148544
1812,1.2958686098456382,24800,1984000,1.7610117197036743,0.9611713290214539,0.015617568977177143
1813,1.493198936805129,24900,1992000,1.7058734893798828,0.9304117411375046,0.017738211899995804
1813,0.734527170099318,25000,2000000,1.7185828685760498,0.9829291868954897,0.007320205681025982
1814,1.1732527730986475,25100,2008000,1.7468678951263428,0.9665212631225586,0.011201377958059311
1814,1.2179855279624463,25200,2016000,1.7413955926895142,0.9773304164409637,0.009121390990912914
1814,1.4731280282139778,25300,2024000,1.714388132095337,0.910658523440361,0.032792430371046066
1815,1.820330437272787,25400,2032000,1.7230846881866455,0.9912399407476187,0.005139110144227743
1814,1.1503740774467588,25500,2040000,1.7512805461883545,0.9156322032213211,0.023675981909036636
1814,1.5328203462064267,25600,2048000,1.7062323093414307,0.9901909213513136,0.00648479163646698
1815,1.9028874026611446,25700,2056000,1.6713043451309204,0.9691375959664583,0.020561162382364273
1815,1.1102322152721171,25800,2064000,1.7147794961929321,0.9817291107028723,0.008474791422486305
1815,1.5252174466848374,25900,2072000,1.7344728708267212,0.9343618005514145,0.01822088286280632
1815,1.2902049184776843,26000,2080000,1.7327001094818115,0.9752620682120323,0.01725316420197487
1815,1.6771458569914102,26100,2088000,1.7207088470458984,0.9490313567221165,0.018812235444784164
1816,1.5789555294439197,26200,2096000,1.7193485498428345,0.9443894475698471,0.02493816614151001
1816,1.3261340476572514,26300,2104000,1.725999116897583,0.9709805361926556,0.02102639712393284
1817,2.242993161827326,26400,2112000,1.7025095224380493,0.9839418921619654,0.013662582263350487
1817,1.2501547729363665,26500,2120000,1.7763340473175049,0.8951156213879585,0.033948034048080444
1816,1.2992704089265317,26600,2128000,1.7738441228866577,0.9568953365087509,0.010599145665764809
1817,1.093161590397358,26700,2136000,1.7755820751190186,0.8311576098203659,0.06774207204580307
1818,1.5865152383223176,26800,2144000,1.7362216711044312,0.9570349715650082,0.01774422638118267
1818,1.0831426620483398,26900,2152000,1.7410297393798828,0.9357272088527679,0.032215189188718796
1819,1.6410325091332196,27000,2160000,1.7146705389022827,0.9845180585980415,0.01691589131951332
1819,1.9801095705479383,27100,2168000,1.7150071859359741,0.9881834946572781,0.006870086304843426
1819,1.2471649492159487,27200,2176000,1.7038742303848267,0.975143987685442,0.012543154880404472
1819,0.9963392095640302,27300,2184000,1.7343477010726929,0.957745086401701,0.014622037298977375
1819,1.523256505653262,27400,2192000,1.754347562789917,0.9140057042241096,0.04532657936215401
1819,1.5223867096006871,27500,2200000,1.6991803646087646,0.9501976184546947,0.02765633538365364
1818,1.511992353387177,27600,2208000,1.7593367099761963,0.974548302590847,0.009680570103228092
1818,1.012705260887742,27700,2216000,1.760694146156311,0.9305900856852531,0.02265903353691101
1818,1.3019358050078154,27800,2224000,1.7550636529922485,0.8439406603574753,0.05453089624643326
1818,1.472549823205918,27900,2232000,1.741356611251831,0.9458342157304287,0.017448436468839645
1817,0.759927430935204,28000,2240000,1.7665584087371826,0.9871797934174538,0.005562555976212025
1817,2.0500989762615065,28100,2248000,1.7602777481079102,0.93626968562603,0.045285455882549286
1817,0.9719967035576701,28200,2256000,1.7463258504867554,0.9355362430214882,0.031980182975530624
1817,0.8798645352944732,28300,2264000,1.7563307285308838,0.9480118900537491,0.014697892591357231
1817,1.3937932420521975,28400,2272000,1.763977289199829,0.933825321495533,0.023559242486953735
1818,1.4791633799672126,28500,2280000,1.746978521347046,0.9820246808230877,0.011331290006637573
1819,1.3116080726496875,28600,2288000,1.7480064630508423,0.9349506720900536,0.01505284570157528
1819,1.0823153629899025,28700,2296000,1.7421919107437134,0.9255326688289642,0.012413566000759602
1818,1.4735963249579072,28800,2304000,1.7535520792007446,0.9187824204564095,0.03324354439973831
1818,1.3525551659986377,28900,2312000,1.7559821605682373,0.8883910849690437,0.05051341652870178
1818,1.3765998423099517,29000,2320000,1.7495529651641846,0.9523293562233448,0.022557249292731285
1818,1.224030814669095,29100,2328000,1.741756796836853,0.9537932649254799,0.019227804616093636
1818,1.393443999812007,29200,2336000,1.742199182510376,0.9715416617691517,0.01940758153796196
1817,1.3474440706893802,29300,2344000,1.753974199295044,0.9728620816022158,0.010379733517765999
1817,1.3104800038039683,29400,2352000,1.764972448348999,0.9518990963697433,0.03778816759586334
1817,1.5805260823108256,29500,2360000,1.7437959909439087,0.9308471605181694,0.052190084010362625
1817,1.2639865401666612,29600,2368000,1.7409145832061768,0.8899141103029251,0.03368845209479332
1817,1.552549121994525,29700,2376000,1.7392816543579102,0.8276461362838745,0.049859702587127686
1817,1.0995612155646086,29800,2384000,1.7536693811416626,0.9391409493982792,0.02104969322681427
1817,1.0586387990508228,29900,2392000,1.683313012123108,0.9687324166297913,0.017932279035449028
1818,1.7815156172960998,30000,2400000,1.6986196041107178,0.9611885771155357,0.01599917933344841
1818,1.282843161560595,30100,2408000,1.6810632944107056,0.9914249712601304,0.0031586873810738325
1819,1.3811018873006105,30200,2416000,1.7463687658309937,0.9310060665011406,0.04189600422978401
1819,1.463268702523783,30300,2424000,1.7254844903945923,0.9490810967981815,0.015492253005504608
1819,1.9213533227331936,30400,2432000,1.7041171789169312,0.9855493037030101,0.01084132306277752
1820,1.39866992989555,30500,2440000,1.7028000354766846,0.9576639197766781,0.03492223471403122
1820,1.5655538640916347,30600,2448000,1.73223876953125,0.9029728174209595,0.04448867589235306
1820,1.5027127825655042,30700,2456000,1.7298529148101807,0.9476900137960911,0.04053639993071556
