fps,value_loss,explained_variance,avg reward,total_timesteps,nupdates,policy_entropy
75,0.052760083228349686,-303.9344787597656,0.7032372817397118,80,1,2.197218894958496
1502,0.019697844982147217,-0.052897095680236816,1.2741381704807282,8000,100,2.197197675704956
1717,0.29474976658821106,-0.03734898567199707,2.0072843372821807,16000,200,2.197032928466797
1810,0.016209473833441734,-0.11044275760650635,2.9384923219680785,24000,300,2.195793867111206
1845,0.02946116030216217,-0.011444687843322754,3.4408863723278045,32000,400,2.1953067779541016
1872,0.5738310217857361,-0.012900590896606445,3.676602852344513,40000,500,2.1866774559020996
1893,0.07599411904811859,-0.0033289194107055664,3.191065475344658,48000,600,2.180194139480591
1904,0.055798642337322235,0.0017497539520263672,3.4896789640188217,56000,700,2.129179000854492
1917,0.15352609753608704,0.13516861200332642,6.946393686532974,64000,800,1.9510765075683594
1926,0.0278470478951931,0.09515994787216187,4.839063680171966,72000,900,1.7929357290267944
1939,0.014158176258206367,0.3513755202293396,2.403553631901741,80000,1000,2.0962421894073486
1941,0.044981274753808975,0.13281768560409546,2.29093422293663,88000,1100,2.0634541511535645
1952,0.1004238873720169,0.2525597810745239,4.5843191087245945,96000,1200,1.1091268062591553
1962,0.08549744635820389,0.13353902101516724,4.991818964481354,104000,1300,1.8407831192016602
1965,0.15056048333644867,0.3971284031867981,6.600319391489029,112000,1400,1.7609879970550537
1968,0.36687833070755005,0.5471179783344269,4.198539680242538,120000,1500,1.574792504310608
1972,0.031405258923769,0.9590703137218952,1.4088112814351916,128000,1600,1.960235595703125
1976,0.14840950071811676,0.9555808901786804,5.7249501049518585,136000,1700,1.227064847946167
1982,0.20278504490852356,0.9549644254148006,6.798567858338356,144000,1800,1.4223843812942505
1981,0.20307007431983948,0.8192228525876999,5.396439889073372,152000,1900,1.6111657619476318
1979,0.261067658662796,0.9599091820418835,12.301412296295165,160000,2000,0.9575432538986206
1981,0.12755931913852692,0.9643031917512417,10.133370447158814,168000,2100,1.3002208471298218
1983,0.06031269580125809,0.7110336720943451,0.9024816409684717,176000,2200,2.108605146408081
1984,0.05342866852879524,0.9532467760145664,4.698059210181237,184000,2300,1.936579942703247
1982,0.18315885961055756,0.9677657596766949,6.124293721094728,192000,2400,1.6691919565200806
1978,0.09424468129873276,0.9450725540518761,4.103406703472137,200000,2500,1.836936593055725
1982,0.39046698808670044,0.9608440697193146,4.171249445341528,208000,2600,1.706377625465393
1981,0.2909787595272064,0.9301095753908157,8.622670292854309,216000,2700,1.5303236246109009
1980,0.6311702132225037,0.8969831690192223,8.49281415939331,224000,2800,1.635941743850708
1983,0.06705502420663834,0.859575480222702,4.751931813359261,232000,2900,2.0049824714660645
