total_timesteps,explained_variance,learning rate,value_loss,nupdates,avg reward,fps,policy_entropy
5280000,0.9198884665966034,0.001,0.07952675223350525,66000,3.26548091173172,1962,1.5235204696655273
5288000,0.9619964994490147,0.001,0.027533063665032387,66100,2.190099815838039,1962,1.5359100103378296
5296000,0.9103071689605713,0.001,0.03289208561182022,66200,2.4348014146089554,1962,1.5754244327545166
5304000,0.9632208608090878,0.001,0.030843283981084824,66300,2.5840751983225347,1963,1.5971887111663818
5312000,0.9742819219827652,0.001,0.02601444348692894,66400,2.79711928460747,1963,1.5148468017578125
5320000,0.9167510196566582,0.001,0.0434604212641716,66500,3.036460982263088,1963,1.5376698970794678
5328000,0.9453194215893745,0.001,0.042401961982250214,66600,3.167091670632362,1963,1.5298398733139038
5336000,0.985556760802865,0.001,0.018560193479061127,66700,1.9751214547548444,1963,1.6083351373672485
5344000,0.9303328320384026,0.001,0.03483934700489044,66800,2.6914243556559088,1963,1.5458033084869385
5352000,0.9470399804413319,0.001,0.07101737707853317,66900,2.201332774013281,1963,1.6460545063018799
5360000,0.85528963804245,0.001,0.07044827193021774,67000,2.3460960070136934,1964,1.5404722690582275
5368000,0.9443487301468849,0.001,0.06694498658180237,67100,3.110933605208993,1964,1.4581239223480225
5376000,0.9825366046279669,0.001,0.015626298263669014,67200,2.5824996071867643,1964,1.5022459030151367
5384000,0.9164660349488258,0.001,0.06456415355205536,67300,2.6474035017192366,1964,1.4508280754089355
5392000,0.7817604392766953,0.001,0.08278731256723404,67400,2.1233602475374935,1964,1.58333420753479
5400000,0.9161803647875786,0.001,0.05146642401814461,67500,3.0455287956865504,1964,1.6080402135849
5408000,0.9290992617607117,0.001,0.07328571379184723,67600,2.1566430455073715,1964,1.496295690536499
5416000,0.827659547328949,0.001,0.11057724803686142,67700,3.4532778054475783,1964,1.511629343032837
5424000,0.9899847842752934,0.001,0.008365042507648468,67800,1.7363627538201398,1965,1.6027828454971313
5432000,0.9209510833024979,0.001,0.034045614302158356,67900,2.4397437520325185,1965,1.4620745182037354
5440000,0.8920020088553429,0.001,0.04364096373319626,68000,2.368377624452114,1965,1.3084437847137451
5448000,0.9129857048392296,0.001,0.06620378792285919,68100,2.436195594072342,1965,1.5392186641693115
5456000,0.9835617616772652,0.001,0.016888314858078957,68200,2.738124429155141,1965,1.4888687133789062
5464000,0.9580610245466232,0.001,0.020580671727657318,68300,2.266939236596227,1966,1.5317937135696411
5472000,0.925996407866478,0.001,0.036612074822187424,68400,3.255306009948254,1966,1.4983192682266235
5480000,0.9604945369064808,0.001,0.024819495156407356,68500,2.6147147908806803,1966,1.4596236944198608
5488000,0.9838283695280552,0.001,0.02807757817208767,68600,3.079988415166736,1966,1.3855868577957153
5496000,0.8504089862108231,0.001,0.04102521389722824,68700,2.881691427528858,1966,1.397803544998169
5504000,0.9598896503448486,0.001,0.02404591254889965,68800,2.201780015975237,1966,1.3482868671417236
5512000,0.9087950140237808,0.001,0.17687532305717468,68900,2.7927576351910828,1966,1.4463828802108765
5520000,0.8704743385314941,0.001,0.10924514383077621,69000,2.727937567047775,1966,1.4898496866226196
5528000,0.7435803711414337,0.001,0.16182613372802734,69100,3.4049729496240615,1966,1.3699047565460205
5536000,0.9393401890993118,0.001,0.03864346072077751,69200,3.4829467967152596,1967,1.3225727081298828
5544000,0.9854732248932123,0.001,0.013461071066558361,69300,2.53697607871145,1967,1.4493135213851929
5552000,0.9239724725484848,0.001,0.07091907411813736,69400,2.990394760295749,1967,1.5859614610671997
5560000,0.9530756697058678,0.001,0.02564258500933647,69500,3.3405286073684692,1967,1.490051031112671
5568000,0.8487880229949951,0.001,0.10277058184146881,69600,3.0102528639137747,1967,1.4349355697631836
5576000,0.9233642220497131,0.001,0.03614009544253349,69700,3.171250111609697,1967,1.4289658069610596
5584000,0.9868082851171494,0.001,0.011489852331578732,69800,1.8808333365712315,1967,1.6242344379425049
5592000,0.9550796858966351,0.001,0.018590327352285385,69900,2.786105907149613,1967,1.4978199005126953
5600000,0.8489562422037125,0.001,0.17029735445976257,70000,1.926070499047637,1968,1.6078113317489624
5608000,0.9373473301529884,0.001,0.029104407876729965,70100,3.0117602810263633,1968,1.5523245334625244
5616000,0.8895598202943802,0.001,0.04084929823875427,70200,3.6596179068088532,1968,1.574926733970642
5624000,0.9657605327665806,0.001,0.03250076249241829,70300,2.45470462590456,1968,1.453940510749817
5632000,0.9137846827507019,0.001,0.08185406029224396,70400,2.456507467199117,1968,1.4933013916015625
5640000,0.9303974956274033,0.001,0.030243730172514915,70500,2.505523700080812,1968,1.4914532899856567
5648000,0.9769279100000858,0.001,0.015215843915939331,70600,2.061948267603293,1968,1.6167373657226562
5656000,0.9618249014019966,0.001,0.03659989684820175,70700,2.734211747441441,1968,1.5352745056152344
5664000,0.9683274365961552,0.001,0.047670792788267136,70800,2.5245386727154253,1969,1.4611680507659912
5672000,0.9449983052909374,0.001,0.04367053508758545,70900,2.531784760206938,1969,1.5402472019195557
5680000,0.9335056319832802,0.001,0.05089564993977547,71000,2.657465383410454,1969,1.4639005661010742
5688000,0.9531797096133232,0.001,0.05059126764535904,71100,2.914351062476635,1969,1.539244294166565
5696000,0.9277370795607567,0.001,0.0422179214656353,71200,2.8839576348662375,1969,1.52889883518219
5704000,0.9707747753709555,0.001,0.03837070241570473,71300,2.6149642251431944,1970,1.4457824230194092
5712000,0.954939279705286,0.001,0.02301940694451332,71400,2.7527379386126993,1970,1.4224207401275635
5720000,0.8720867484807968,0.001,0.12481100857257843,71500,3.4013171017169954,1970,1.3935539722442627
5728000,0.9298814684152603,0.001,0.0716823861002922,71600,2.762817557156086,1970,1.3791791200637817
5736000,0.9590150378644466,0.001,0.06441234052181244,71700,3.03850182290189,1970,1.3789987564086914
5744000,0.9371606186032295,0.001,0.062476254999637604,71800,1.8754884877474978,1970,1.557600498199463
5752000,0.9614921808242798,0.001,0.025865262374281883,71900,2.968171128630638,1970,1.4487501382827759
5760000,0.9649412706494331,0.001,0.02022654190659523,72000,2.3402945294976236,1971,1.4622325897216797
5768000,0.9560098610818386,0.001,0.044723521918058395,72100,3.3066796362400055,1971,1.4544672966003418
5776000,0.8586688339710236,0.001,0.07302931696176529,72200,2.4186174787580965,1971,1.4488272666931152
5784000,0.8815103471279144,0.001,0.03064086101949215,72300,2.665558581054211,1971,1.326535940170288
