policy_entropy,explained_variance,avg reward,nupdates,learning rate,total_timesteps,value_loss,fps
1.791757345199585,-337.76983642578125,-0.4094150558114052,1,0.001,80,0.018341325223445892,36
1.791691541671753,-0.008087635040283203,-1.1557752758264541,100,0.001,8000,0.05017370730638504,1292
1.7913280725479126,0.00540536642074585,-1.4537206053733827,200,0.001,16000,0.034528493881225586,1532
1.7909963130950928,0.004673421382904053,-1.4700885936617851,300,0.001,24000,0.07677079737186432,1676
1.7893203496932983,-0.013678789138793945,-2.1431347161531447,400,0.001,32000,0.030109379440546036,1754
1.7850040197372437,-0.004611611366271973,-2.047501815855503,500,0.001,40000,0.01263699121773243,1819
1.7517268657684326,-0.002898693084716797,-2.4697870403528213,600,0.001,48000,0.07826592028141022,1847
1.7683181762695312,0.042860329151153564,-1.9073162332177163,700,0.001,56000,0.011662080883979797,1881
1.7590404748916626,-0.017797470092773438,-2.0791377037763596,800,0.001,64000,0.0025717790704220533,1895
1.7772598266601562,-0.008803963661193848,-1.3778261929750442,900,0.001,72000,0.04582145810127258,1916
1.7828960418701172,0.0013533830642700195,-1.5494309112429618,1000,0.001,80000,0.02297663316130638,1935
1.6882206201553345,0.06646287441253662,-2.8996266692876818,1100,0.001,88000,0.027608882635831833,1952
1.7135202884674072,0.05374431610107422,-2.839045813679695,1200,0.001,96000,0.017824556678533554,1966
1.7450215816497803,0.060459792613983154,-1.7653146646916866,1300,0.001,104000,0.09462226927280426,1968
1.7818679809570312,0.011433899402618408,-1.171397414803505,1400,0.001,112000,0.045445095747709274,1971
1.7717349529266357,0.16498512029647827,-1.3944907009601593,1500,0.001,120000,0.033388689160346985,1978
1.7747106552124023,0.0816187858581543,-1.2575681865215302,1600,0.001,128000,0.02810226008296013,1983
1.773504614830017,0.1051296591758728,-1.4684853933751583,1700,0.001,136000,0.06849944591522217,1988
1.7623717784881592,-0.19970309734344482,-1.727856456488371,1800,0.001,144000,0.03713071346282959,1994
1.7801544666290283,0.13613104820251465,-1.500022429227829,1900,0.001,152000,0.06654967367649078,1999
1.7865731716156006,-0.11903142929077148,-2.0022161655128,2000,0.001,160000,0.1031060442328453,2003
1.7756006717681885,0.031706035137176514,-2.166525647044182,2100,0.001,168000,0.010777607560157776,2005
1.78327214717865,0.4348946213722229,-1.5012049689888953,2200,0.001,176000,0.008646348491311073,2007
1.7575762271881104,0.697260320186615,-2.238377620279789,2300,0.001,184000,0.009135198779404163,2008
1.7800838947296143,0.03349721431732178,-2.141399137675762,2400,0.001,192000,0.0419972762465477,2010
1.7546743154525757,0.47199296951293945,-2.1544450625777243,2500,0.001,200000,0.02730097807943821,2012
1.780461072921753,0.24301016330718994,-2.0970190092921257,2600,0.001,208000,0.030506376177072525,2016
1.787628173828125,0.5384653806686401,-1.9148989930748939,2700,0.001,216000,0.023403499275445938,2019
1.7860788106918335,0.7898020297288895,-1.9047855779528617,2800,0.001,224000,0.02055944874882698,2021
1.7843151092529297,0.7301357090473175,-1.9234244748950005,2900,0.001,232000,0.008161013945937157,2024
1.7826080322265625,0.7549253404140472,-2.4432331189513206,3000,0.001,240000,0.013381811790168285,2023
1.7840741872787476,0.6970634460449219,-2.4222285777330397,3100,0.001,248000,0.02077023684978485,2024
1.7863132953643799,0.7013856470584869,-1.4646462485194207,3200,0.001,256000,0.003831594018265605,2025
1.7777519226074219,0.9020079374313354,-2.4238645657896996,3300,0.001,264000,0.006135097239166498,2024
1.7821426391601562,0.8257913440465927,-1.8122021049261092,3400,0.001,272000,0.0031481399200856686,2026
1.7702356576919556,0.761418491601944,-2.31935573220253,3500,0.001,280000,0.011048691347241402,2030
1.7661359310150146,0.7937463819980621,-2.378718899190426,3600,0.001,288000,0.006231103558093309,2031
1.7709786891937256,0.06184512376785278,-2.151194679737091,3700,0.001,296000,0.03434772416949272,2032
1.7520067691802979,0.9373886659741402,-2.5508756160736086,3800,0.001,304000,0.009290664456784725,2034
1.7803690433502197,0.7773584723472595,-1.9228675834834577,3900,0.001,312000,0.032675765454769135,2034
1.7786344289779663,0.8877652958035469,-1.906492368876934,4000,0.001,320000,0.007367290556430817,2034
1.7748075723648071,0.8117695748806,-2.0429711669683455,4100,0.001,328000,0.012087797746062279,2036
1.7777340412139893,0.9283052533864975,-1.724769411981106,4200,0.001,336000,0.005277755204588175,2039
1.7590945959091187,0.7500772923231125,-2.208709216117859,4300,0.001,344000,0.01645377278327942,2041
1.7397918701171875,0.8811393827199936,-2.4660029649734496,4400,0.001,352000,0.009180935099720955,2040
1.7732517719268799,0.9625599943101406,-1.8078433342278004,4500,0.001,360000,0.003411203157156706,2041
1.7724189758300781,0.8798909708857536,-1.9138009622693062,4600,0.001,368000,0.011800418607890606,2043
1.7796186208724976,0.9288585931062698,-2.0121586591005327,4700,0.001,376000,0.005144434981048107,2043
1.781298279762268,0.8968931883573532,-1.6352865099906921,4800,0.001,384000,0.007858531549572945,2044
1.7799160480499268,0.9442150145769119,-2.4076724693179132,4900,0.001,392000,0.0037336410023272038,2043
1.7828868627548218,0.921612448990345,-2.349231383949518,5000,0.001,400000,0.011060582473874092,2043
1.779649019241333,0.776334136724472,-2.5629346027970312,5100,0.001,408000,0.013708638027310371,2043
1.7887475490570068,0.9438627064228058,-1.6218519534915685,5200,0.001,416000,0.00659932941198349,2042
1.7906386852264404,0.8902524709701538,-1.257044892013073,5300,0.001,424000,0.003979431465268135,2043
1.7872806787490845,0.6788241565227509,-2.0568561419844626,5400,0.001,432000,0.018831539899110794,2044
1.7828247547149658,0.9161063507199287,-2.2718274265527727,5500,0.001,440000,0.0034343437291681767,2044
1.7878239154815674,0.6254356205463409,-1.408140317350626,5600,0.001,448000,0.025178128853440285,2045
1.7830387353897095,0.8726279437541962,-2.0070629224181173,5700,0.001,456000,0.004971262067556381,2045
1.7867155075073242,0.8152635842561722,-1.8578514739871026,5800,0.001,464000,0.0039609563536942005,2046
1.7828571796417236,0.8615532070398331,-1.8411193378269672,5900,0.001,472000,0.00884990580379963,2047
1.7850008010864258,0.9123045057058334,-1.7057661913335322,6000,0.001,480000,0.007919659838080406,2048
1.7840315103530884,0.40411967039108276,-1.7261017918586732,6100,0.001,488000,0.030316200107336044,2049
1.7857099771499634,0.7546031773090363,-1.955425350368023,6200,0.001,496000,0.0108290184289217,2050
1.7823381423950195,0.7555524110794067,-1.7513750836253166,6300,0.001,504000,0.04771257936954498,2049
1.7858209609985352,0.9513489119708538,-2.0645049035549166,6400,0.001,512000,0.007773223333060741,2050
1.7843351364135742,0.8445170521736145,-2.0017656832933426,6500,0.001,520000,0.026470040902495384,2050
1.7861427068710327,0.8455753028392792,-2.258267489075661,6600,0.001,528000,0.011799540370702744,2050
1.7852951288223267,0.9182143956422806,-2.0416117064654826,6700,0.001,536000,0.011675139889121056,2052
1.7860634326934814,0.9632337987422943,-2.0825297236442566,6800,0.001,544000,0.005205571185797453,2053
1.7830854654312134,0.9364820569753647,-2.0117156147956847,6900,0.001,552000,0.009906281717121601,2054
1.786036729812622,0.7952984720468521,-1.634177240729332,7000,0.001,560000,0.0120670385658741,2054
1.7769275903701782,0.7727313190698624,-2.1421500906348228,7100,0.001,568000,0.005181475076824427,2054
1.7664215564727783,0.5942257046699524,-2.4828473895788195,7200,0.001,576000,0.012375290505588055,2054
1.777482032775879,0.905667781829834,-2.301147238910198,7300,0.001,584000,0.006214627530425787,2054
1.775011420249939,0.8379591107368469,-2.6107820481061936,7400,0.001,592000,0.006310448050498962,2054
1.7834526300430298,0.8595207035541534,-1.993277159333229,7500,0.001,600000,0.007324895355850458,2053
1.782305359840393,0.9263364896178246,-2.5000317677855493,7600,0.001,608000,0.004641923122107983,2053
1.7843002080917358,0.8672942668199539,-2.360854498296976,7700,0.001,616000,0.031284477561712265,2053
1.783789873123169,0.9350736290216446,-1.9261928401887416,7800,0.001,624000,0.00805889442563057,2054
1.7862274646759033,0.8631406426429749,-1.547424128651619,7900,0.001,632000,0.0122177479788661,2055
1.7794029712677002,0.9569278955459595,-1.72002685777843,8000,0.001,640000,0.004447706043720245,2055
1.7853021621704102,0.9374793916940689,-1.6484178200364112,8100,0.001,648000,0.006241016089916229,2056
1.7799419164657593,0.9571650736033916,-2.1510798290371893,8200,0.001,656000,0.004924783483147621,2057
1.7858140468597412,0.9207469299435616,-1.5066412821412087,8300,0.001,664000,0.008020063862204552,2058
1.7819597721099854,0.8977445811033249,-2.400220602750778,8400,0.001,672000,0.007381601724773645,2059
1.7855859994888306,0.8461686074733734,-2.249038314819336,8500,0.001,680000,0.012526607140898705,2059
1.7889673709869385,0.9451173841953278,-1.8257861390709877,8600,0.001,688000,0.006492594722658396,2060
1.7892259359359741,0.9689921010285616,-1.9900342971086502,8700,0.001,696000,0.002483070595189929,2059
1.7895419597625732,0.8310517370700836,-1.7562056988477708,8800,0.001,704000,0.00534361507743597,2060
1.7896482944488525,0.9220847934484482,-1.7230117633938788,8900,0.001,712000,0.010462978854775429,2059
1.7886877059936523,0.9336735531687737,-2.1216669127345087,9000,0.001,720000,0.0047421930357813835,2056
1.7837026119232178,0.913132481276989,-2.490819239616394,9100,0.001,728000,0.011709379032254219,2056
1.7883186340332031,0.890293650329113,-1.9513886094093322,9200,0.001,736000,0.003022602992132306,2055
1.7821290493011475,0.858333021402359,-1.9541577011346818,9300,0.001,744000,0.004229321144521236,2056
1.7819702625274658,0.9337322786450386,-2.3093364387750626,9400,0.001,752000,0.006728602107614279,2056
1.7850477695465088,0.9296709150075912,-1.9228049620985985,9500,0.001,760000,0.007052619010210037,2056
1.7813613414764404,0.8983967080712318,-2.0896534219384195,9600,0.001,768000,0.007571134716272354,2057
1.7861366271972656,0.9586811438202858,-1.9352950543165206,9700,0.001,776000,0.0028388909995555878,2058
1.7828689813613892,0.8945534750819206,-1.81721719391644,9800,0.001,784000,0.023244565352797508,2058
1.7791385650634766,0.9209878742694855,-2.090181506425142,9900,0.001,792000,0.014947831630706787,2058
1.7834360599517822,0.7071568667888641,-1.7592152550816536,10000,0.001,800000,0.030878525227308273,2059
1.775840163230896,0.8493484556674957,-2.0928554058074953,10100,0.001,808000,0.008681053295731544,2059
1.7751319408416748,0.7784875780344009,-2.245983078330755,10200,0.001,816000,0.014413374476134777,2060
1.777422308921814,0.9591291323304176,-2.088835471123457,10300,0.001,824000,0.005772113800048828,2060
1.779353141784668,0.8858122080564499,-1.5931146770715714,10400,0.001,832000,0.007375563029199839,2060
1.783508539199829,0.8723852634429932,-1.114294969663024,10500,0.001,840000,0.00647061038762331,2060
1.7749850749969482,0.8095628172159195,-2.471156471967697,10600,0.001,848000,0.021466350182890892,2061
1.7864115238189697,0.980811195448041,-2.0463361732661722,10700,0.001,856000,0.003593959379941225,2061
1.7810131311416626,0.9667186737060547,-2.0064496897161006,10800,0.001,864000,0.006653440650552511,2061
1.783373475074768,0.8171388506889343,-2.073501969873905,10900,0.001,872000,0.009965052828192711,2061
1.7858654260635376,0.938855454325676,-1.9491009205579757,11000,0.001,880000,0.0039412034675478935,2060
1.7871825695037842,0.8871678933501244,-1.8721887364983558,11100,0.001,888000,0.00770067423582077,2061
1.785801887512207,0.8988937586545944,-2.16454566270113,11200,0.001,896000,0.007097170688211918,2061
1.7885221242904663,0.8690829426050186,-1.6015659943223,11300,0.001,904000,0.010331901721656322,2062
1.7860450744628906,0.9502602145075798,-2.1360518127679824,11400,0.001,912000,0.005496090278029442,2062
1.789758324623108,0.6198542416095734,-1.5098370268940926,11500,0.001,920000,0.020297199487686157,2062
1.787598967552185,0.734835147857666,-2.0578407630324365,11600,0.001,928000,0.016683904454112053,2063
1.7895629405975342,0.9497306309640408,-1.8092894606292247,11700,0.001,936000,0.009256122633814812,2063
1.7908875942230225,0.9381619840860367,-1.5623516671359539,11800,0.001,944000,0.004359233193099499,2064
1.788551688194275,0.9586312286555767,-1.9589062936604023,11900,0.001,952000,0.0095249367877841,2063
1.7879756689071655,0.7878365367650986,-1.7695423275232316,12000,0.001,960000,0.011307966895401478,2064
1.787481665611267,0.9101333767175674,-2.094649690389633,12100,0.001,968000,0.005259798839688301,2064
1.788404107093811,0.8884076178073883,-1.5772606149315833,12200,0.001,976000,0.00880523957312107,2065
1.7854650020599365,0.8105745166540146,-2.1558445677161218,12300,0.001,984000,0.01906655728816986,2065
1.7880926132202148,0.8655697703361511,-1.5017262063920498,12400,0.001,992000,0.01858942024409771,2065
1.783807396888733,0.8417169600725174,-1.8406216621398925,12500,0.001,1000000,0.015525555238127708,2066
1.7810218334197998,0.8547190129756927,-2.1552298724651338,12600,0.001,1008000,0.020015913993120193,2066
1.7822799682617188,0.9441296830773354,-1.9081814542412758,12700,0.001,1016000,0.006033401004970074,2066
1.7828121185302734,0.9427853673696518,-1.6345651395618916,12800,0.001,1024000,0.00607916247099638,2067
1.7821763753890991,0.8889874219894409,-2.0203294716775417,12900,0.001,1032000,0.010055093094706535,2066
1.7825300693511963,0.8638228625059128,-2.214834654331207,13000,0.001,1040000,0.008354386314749718,2065
1.7849223613739014,0.9154276996850967,-1.4328797042369843,13100,0.001,1048000,0.010259668342769146,2066
1.7738250494003296,0.8349694013595581,-2.053516332805157,13200,0.001,1056000,0.013694685883820057,2065
1.776707410812378,0.9735579416155815,-1.747218120098114,13300,0.001,1064000,0.003651835722848773,2066
1.7721977233886719,0.8495013117790222,-1.9858840480446815,13400,0.001,1072000,0.014457168988883495,2066
1.7779293060302734,0.7853365689516068,-2.1865686908364297,13500,0.001,1080000,0.012210996821522713,2066
1.7831655740737915,0.9307370558381081,-1.8062857434153556,13600,0.001,1088000,0.005940527189522982,2067
1.7798141241073608,0.933658592402935,-2.09393273293972,13700,0.001,1096000,0.0046929363161325455,2067
1.779909372329712,0.9687515627592802,-2.2898770347237587,13800,0.001,1104000,0.003936351742595434,2067
1.7795120477676392,0.9300287961959839,-1.9306862369179725,13900,0.001,1112000,0.005017420742660761,2067
1.7827972173690796,0.7892951518297195,-1.759834136813879,14000,0.001,1120000,0.02355581521987915,2067
1.782286286354065,0.891584187746048,-1.9678182482719422,14100,0.001,1128000,0.009307396598160267,2067
1.7862699031829834,0.8431001305580139,-2.0449546545743944,14200,0.001,1136000,0.013887721113860607,2068
1.7900722026824951,0.8324154317378998,-1.8389276139438153,14300,0.001,1144000,0.010738896206021309,2068
1.7899484634399414,0.7357543706893921,-1.9297487020492554,14400,0.001,1152000,0.024440862238407135,2068
