#{"t_start": 1525808249.530174, "env_id": "PongNoFrameskip-v0"}
r,l,t
-21.0,846,17.668928
-21.0,760,23.860247
-20.0,902,30.813405
-20.0,898,37.810547
-21.0,850,44.464355
-21.0,954,51.560847
-21.0,913,58.481327
-21.0,807,64.967483
-20.0,1066,73.173358
-20.0,879,79.90426
-21.0,788,85.904547
-21.0,760,91.863883
-21.0,820,98.269033
-20.0,929,105.549909
-20.0,951,112.690703
-20.0,897,119.514405
-20.0,1035,127.566833
-21.0,870,134.276649
-21.0,879,141.201056
-20.0,836,147.528762
-21.0,845,154.018386
-21.0,998,161.636427
-21.0,824,167.999089
-21.0,843,174.383195
-20.0,831,180.767565
-19.0,994,188.28825
-21.0,886,195.195221
-21.0,940,202.402939
-20.0,946,209.901787
-20.0,954,217.32394
-20.0,915,224.435781
-21.0,939,231.663656
-19.0,1020,239.386402
-20.0,987,246.882514
-20.0,917,253.99405
-20.0,1015,261.847276
-21.0,881,268.507699
-21.0,815,274.595182
-20.0,842,281.101537
-21.0,780,287.09388
-21.0,816,293.471573
-20.0,887,300.43779
-20.0,879,307.243963
-21.0,961,314.485549
-19.0,962,321.801725
-20.0,922,328.691401
-20.0,973,336.089719
-20.0,900,342.873103
-19.0,948,350.223161
-21.0,823,356.959808
-20.0,1050,365.464435
-21.0,790,371.53847
-19.0,983,379.081235
-21.0,967,386.35788
-21.0,881,393.042595
-20.0,859,399.519924
-20.0,1018,407.34703
-20.0,943,414.574297
-21.0,781,420.551828
-20.0,839,427.018494
-21.0,814,433.404608
-21.0,912,440.243764
-21.0,881,446.993166
-20.0,876,453.679283
-20.0,924,460.623049
-21.0,848,467.041858
-21.0,808,473.244317
-20.0,1067,481.330272
-21.0,1032,489.123966
-21.0,822,495.356409
-20.0,978,502.709397
-21.0,786,508.960297
-21.0,963,516.533368
-20.0,842,522.921712
-20.0,976,530.373894
-21.0,821,536.522866
-21.0,820,542.789568
-21.0,838,549.291955
-21.0,792,555.364626
-19.0,1016,562.968274
-20.0,957,570.149861
-21.0,786,576.346638
-21.0,867,583.058337
-21.0,850,589.614902
-21.0,861,596.090214
-20.0,875,602.589234
-20.0,943,609.728556
-21.0,823,616.056829
-21.0,843,622.656269
-21.0,821,628.975714
-20.0,1021,636.856511
-21.0,791,642.799181
-20.0,912,649.938128
-20.0,898,656.886316
-21.0,947,664.308231
-18.0,1133,672.99838
-21.0,1022,681.041764
-20.0,857,687.532733
-17.0,1367,697.776057
-20.0,965,705.013204
-21.0,846,711.82745
-20.0,892,718.930836
-19.0,1233,728.475752
-20.0,976,735.896959
-21.0,893,742.678778
-20.0,1137,751.646131
-20.0,980,759.147089
-20.0,991,766.750112
-20.0,832,773.052686
-21.0,1241,782.700906
-20.0,985,790.23981
-19.0,963,797.607752
-20.0,976,804.91958
-20.0,1048,813.191469
-21.0,928,820.16596
-21.0,897,827.197492
-21.0,870,834.183464
-21.0,835,840.696556
-20.0,930,847.798112
-20.0,931,854.799404
-20.0,921,861.695992
-21.0,838,868.28782
-20.0,906,875.125375
-20.0,891,881.819161
-21.0,851,888.502328
-20.0,979,895.799373
-21.0,786,901.679742
-19.0,1079,909.928397
-18.0,1119,918.497048
-21.0,921,925.543183
-20.0,962,932.922634
-20.0,918,940.104218
-20.0,1005,947.945863
-21.0,848,954.53116
-20.0,1074,962.86045
-20.0,1071,971.184177
-21.0,777,976.972189
-21.0,942,984.125953
-20.0,958,991.42575
-20.0,1151,1000.087145
-19.0,1305,1009.973576
-19.0,1019,1017.903725
-21.0,977,1025.391071
-18.0,1061,1033.650911
-20.0,1039,1041.776898
-21.0,881,1048.584617
-20.0,888,1055.446816
-20.0,1059,1063.414711
-19.0,1144,1072.276748
-19.0,1086,1080.49292
-19.0,1262,1090.06019
-21.0,851,1096.568902
-21.0,925,1103.520698
-21.0,1394,1114.239473
-21.0,1233,1123.415013
-19.0,1164,1132.220642
-16.0,1277,1141.862525
-19.0,1359,1152.11194
-18.0,1350,1162.201864
-18.0,1365,1172.511356
-17.0,1509,1183.799582
-17.0,1300,1193.639819
-20.0,1423,1204.645421
-18.0,1397,1215.428281
-17.0,1334,1225.515471
-21.0,1022,1233.301571
-17.0,1619,1245.271669
-18.0,1355,1255.213843
-21.0,1275,1264.650913
-15.0,1858,1278.824875
-19.0,1472,1289.635683
-14.0,1584,1301.563184
-15.0,1801,1315.161489
-19.0,1460,1326.326877
-16.0,1795,1339.604779
-19.0,1544,1351.553254
-15.0,1845,1365.295696
-17.0,1844,1378.976344
-18.0,1812,1392.475993
-13.0,2047,1407.845073
-19.0,1902,1421.872128
-15.0,1941,1436.417963
-19.0,1682,1448.75503
-17.0,1907,1463.08574
-15.0,2043,1478.332671
-17.0,1769,1491.523587
-18.0,1745,1504.643998
-16.0,1574,1516.262969
-14.0,2503,1534.709208
-16.0,1886,1548.729887
-15.0,1929,1563.200251
-15.0,2113,1578.486754
-20.0,1590,1590.138253
-17.0,1935,1604.419892
-13.0,2192,1620.780133
-15.0,2095,1637.020244
-19.0,1826,1650.365702
-17.0,2130,1666.101851
-14.0,2137,1682.090435
-17.0,1829,1695.691711
-17.0,1952,1710.555414
-19.0,1672,1723.072609
-15.0,2035,1738.214826
-20.0,1596,1750.193089
-12.0,1966,1765.200324
-10.0,2290,1782.18624
-15.0,2179,1798.18261
-18.0,1843,1811.621641
-9.0,2563,1830.40686
-12.0,2445,1848.54063
-12.0,2169,1864.642817
-13.0,2050,1879.6427
-11.0,2304,1896.827605
-13.0,2181,1912.833662
-11.0,2585,1932.333369
-14.0,2037,1947.29644
-17.0,1745,1960.100916
-15.0,2104,1975.491597
-17.0,1777,1988.649062
-5.0,2685,2008.80855
-9.0,2372,2026.29928
-7.0,2385,2043.9735
-13.0,2197,2060.456933
-9.0,2378,2077.833465
-8.0,2444,2095.732358
-18.0,1447,2106.566694
-4.0,2506,2124.703687
-17.0,2018,2139.783725
-6.0,2565,2158.678079
-1.0,3218,2182.595982
-12.0,2339,2199.976061
