fps,explained_variance,nupdates,value_loss,total_timesteps,avg reward,policy_entropy
46,-102.9428482055664,1,0.002675676718354225,80,-0.14381430596113204,1.7917568683624268
1252,-0.14341235160827637,100,0.0017330942209810019,8000,0.19345511067658663,1.7917550802230835
1393,0.04463917016983032,200,0.04277545213699341,16000,0.4509630545973778,1.7917499542236328
1485,-0.2574455738067627,300,0.012408709153532982,24000,0.6649373531341553,1.791696548461914
1517,-0.02616715431213379,400,0.03082941845059395,32000,0.6816813878715038,1.7916263341903687
1517,-0.030791044235229492,500,0.05006774142384529,40000,0.5070077423006296,1.7914092540740967
1517,0.03301894664764404,600,0.02626749314367771,48000,0.8655550524592399,1.7901979684829712
1508,0.06880027055740356,700,0.04665651172399521,56000,1.5904362380504609,1.7753982543945312
1519,0.009723007678985596,800,0.03114030696451664,64000,0.3312055982649326,1.7760416269302368
1536,0.04172658920288086,900,0.05782058835029602,72000,1.7125819697976112,1.7750804424285889
1537,0.09554386138916016,1000,0.08495218306779861,80000,1.0019298315048217,1.7810344696044922
1547,0.10880011320114136,1100,0.007916130125522614,88000,0.44652085155248644,1.7685810327529907
1550,0.033355653285980225,1200,0.008907866664230824,96000,0.47735163308680056,1.7873680591583252
1555,0.037831783294677734,1300,0.007935268804430962,104000,0.35575812943279744,1.7854888439178467
1557,0.7814460545778275,1400,0.0008553848601877689,112000,0.8034650750458241,1.7799110412597656
1567,0.04661756753921509,1500,0.05080890655517578,120000,0.8974091835319996,1.7853513956069946
1570,0.3287281394004822,1600,0.030296122655272484,128000,0.6632622763514519,1.7862173318862915
1570,0.14440429210662842,1700,0.018429327756166458,136000,0.6980738751590252,1.771139144897461
1572,0.9282189905643463,1800,0.0011516092345118523,144000,0.9015461042523384,1.7767083644866943
1568,0.1838458776473999,1900,0.08344900608062744,152000,0.7396040834486485,1.7854582071304321
1565,-0.8536989688873291,2000,0.007439082954078913,160000,0.15444006281904876,1.7821038961410522
1563,0.8343784064054489,2100,0.0019663202110677958,168000,0.3667505333665758,1.7788845300674438
1563,0.3143628239631653,2200,0.03767544403672218,176000,1.450748620927334,1.7200514078140259
1566,0.591050535440445,2300,0.04198876768350601,184000,0.560501070600003,1.7718346118927002
1567,0.5892331600189209,2400,0.020303625613451004,192000,0.5970109973102808,1.7819312810897827
1567,0.448422908782959,2500,0.04652143269777298,200000,1.1117537133395672,1.779850721359253
1569,0.8014774322509766,2600,0.018094729632139206,208000,0.9505839381366968,1.7755193710327148
1571,0.680271178483963,2700,0.044957928359508514,216000,0.9163060802966356,1.7838866710662842
1571,0.6683540344238281,2800,0.05924354866147041,224000,0.6055129834916443,1.7882047891616821
1574,0.922760397195816,2900,0.0038291376549750566,232000,0.2529576259665191,1.7849830389022827
1574,0.48061811923980713,3000,0.02004663459956646,240000,0.6340086359530688,1.7814075946807861
1575,0.8392808586359024,3100,0.017095666378736496,248000,0.8999463949352503,1.784084677696228
1578,0.6857693791389465,3200,0.024383917450904846,256000,0.955024053901434,1.7885711193084717
1577,0.4650358557701111,3300,0.08941694349050522,264000,0.7639671083539724,1.7877023220062256
1577,0.30606454610824585,3400,0.03848447650671005,272000,0.6581516690552235,1.787350058555603
1576,0.7547347694635391,3500,0.014904106967151165,280000,0.3816102734766901,1.790713906288147
1572,0.45987772941589355,3600,0.1461486518383026,288000,1.227186426334083,1.785643219947815
1574,0.9343126490712166,3700,0.0012284856056794524,296000,0.1746338318567723,1.7855323553085327
1576,0.7630538642406464,3800,0.01825619861483574,304000,1.9114899426698684,1.781137466430664
1577,0.46568572521209717,3900,0.10808634757995605,312000,1.7811952874064445,1.7782514095306396
1579,0.3548232316970825,4000,0.022229066118597984,320000,0.32710347110405563,1.7733867168426514
1580,0.9057256802916527,4100,0.062013886868953705,328000,2.378460080176592,1.7458717823028564
1584,0.4393218159675598,4200,0.061741601675748825,336000,1.2239006631076337,1.7615928649902344
1586,0.711766391992569,4300,0.032156772911548615,344000,0.6955230474879499,1.7489078044891357
1590,0.9145254865288734,4400,0.023509180173277855,352000,0.8899582032114267,1.7523587942123413
1594,0.2916683554649353,4500,0.06280277669429779,360000,0.43720444072969256,1.7572829723358154
1597,0.9608018435537815,4600,0.004779736045747995,368000,1.0372516851872207,1.7389066219329834
1598,0.6532763540744781,4700,0.04585867002606392,376000,1.1435108944773673,1.7439591884613037
1599,0.8771241456270218,4800,0.06516686081886292,384000,1.4922084782272578,1.6806608438491821
1598,0.8426198959350586,4900,0.031997960060834885,392000,1.4104939468204976,1.6463714838027954
1601,0.9811912681907415,5000,0.013008509762585163,400000,1.321676804497838,1.5856033563613892
1601,0.47756075859069824,5100,0.058548033237457275,408000,0.7900306066498161,1.6306928396224976
1602,0.9357594028115273,5200,0.019625242799520493,416000,1.1268190425995273,1.6711881160736084
1602,0.8984610885381699,5300,0.00779294315725565,424000,0.523990161344409,1.737554907798767
1604,0.8092608600854874,5400,0.32407814264297485,432000,2.9092161118984223,1.5641207695007324
1605,0.9527002349495888,5500,0.026971513405442238,440000,1.566127561032772,1.6802963018417358
1607,0.7492946684360504,5600,0.09296979010105133,448000,1.2416932057589292,1.6930434703826904
1608,0.814195916056633,5700,0.08623643964529037,456000,1.3478631265461445,1.6904700994491577
1608,0.2595822215080261,5800,0.24626529216766357,464000,1.483570297062397,1.6977806091308594
1610,0.962758257985115,5900,0.028775155544281006,472000,2.3969957984983923,1.6268268823623657
1614,0.9094154015183449,6000,0.05793019011616707,480000,1.984274110943079,1.6167848110198975
1615,0.8700477331876755,6100,0.03001897968351841,488000,1.0634393975138665,1.695601224899292
