#{"t_start": 1525808433.432022, "env_id": "PongNoFrameskip-v0"}
r,l,t
-21.0,934,17.99353
-19.0,1053,26.222711
-17.0,1170,35.255467
-21.0,819,41.540592
-21.0,785,47.549385
-21.0,848,54.020689
-20.0,1044,61.996853
-21.0,851,68.585741
-21.0,848,75.048373
-21.0,777,81.254409
-20.0,892,88.020662
-19.0,978,95.292222
-21.0,938,102.554223
-21.0,823,108.881969
-21.0,783,114.969764
-21.0,787,120.958748
-20.0,960,128.275339
-19.0,1052,136.410277
-21.0,985,143.888463
-20.0,1009,151.442491
-20.0,902,158.148736
-20.0,1003,166.016374
-21.0,879,172.801378
-18.0,1245,182.363053
-19.0,1042,190.300759
-21.0,791,196.278692
-19.0,991,203.951157
-21.0,833,210.347273
-21.0,809,216.58384
-20.0,954,223.781855
-20.0,899,230.518977
-21.0,968,237.996241
-19.0,1158,246.58214
-19.0,960,254.037914
-20.0,925,260.850935
-21.0,778,266.650459
-19.0,1095,274.855574
-21.0,779,280.678266
-21.0,869,287.230879
-21.0,823,293.4665
-21.0,868,300.017158
-21.0,993,307.559461
-21.0,818,313.608042
-19.0,1072,321.695679
-21.0,818,328.035305
-20.0,899,335.017528
-21.0,1004,342.586981
-21.0,817,348.940443
-20.0,904,355.832911
-20.0,1119,364.437673
-18.0,1127,372.929968
-20.0,1036,380.93786
-17.0,1087,389.121162
-20.0,834,395.640353
-21.0,944,403.328093
-21.0,786,409.49498
-21.0,818,415.644235
-20.0,929,422.673708
-18.0,1075,431.294381
-20.0,961,438.659995
-20.0,897,445.509975
-19.0,998,453.093237
-20.0,1004,460.67316
-21.0,759,466.419725
-20.0,865,472.85844
-20.0,837,479.192323
-20.0,891,486.46777
-20.0,897,493.610324
-20.0,934,500.709882
-21.0,820,506.766248
-20.0,1058,514.493141
-21.0,837,520.810279
-21.0,789,526.895519
-20.0,832,533.574282
-21.0,778,539.765979
-21.0,926,546.885293
-20.0,1067,554.772813
-20.0,957,562.040479
-20.0,1016,569.61242
-21.0,864,576.005392
-21.0,866,582.523063
-19.0,1006,590.11418
-21.0,914,597.119532
-21.0,806,603.039502
-19.0,974,610.484424
-21.0,791,616.474418
-21.0,819,622.596626
-21.0,759,628.338631
-21.0,786,634.504748
-21.0,762,640.222484
-20.0,869,646.734162
-20.0,915,653.766636
-20.0,977,661.234864
-21.0,913,668.162145
-20.0,892,674.817945
-21.0,879,681.403617
-21.0,866,688.007234
-21.0,850,694.317286
-20.0,930,701.226716
-21.0,970,708.551278
-21.0,938,715.724934
-20.0,873,722.338322
-21.0,848,729.012697
-21.0,763,734.8203
-21.0,759,740.442796
-20.0,907,747.499818
