avg reward,nupdates,total_timesteps,fps,value_loss,policy_entropy,explained_variance
-189.96764488220214,16000,1280000,1604,925.8630981445312,0.0,0.05129647254943848
125.6231974363327,16100,1288000,1604,840.1375732421875,0.0,-0.3191511631011963
-99.9383964896202,16200,1296000,1604,1310.7802734375,0.0,0.08096426725387573
-34.60398163795471,16300,1304000,1605,0.8195098638534546,0.0,0.9066796228289604
-142.6801164150238,16400,1312000,1604,468.4933166503906,0.0,0.17675060033798218
165.23879375457764,16500,1320000,1604,766.9012451171875,0.0,-3.0211915969848633
-69.32226552963257,16600,1328000,1603,3.1752922534942627,0.0,0.6842878758907318
81.3478941321373,16700,1336000,1603,502.33599853515625,0.0,0.10828393697738647
111.37341918945313,16800,1344000,1603,7.225279808044434,0.0,0.7970193028450012
116.62367706298828,16900,1352000,1603,411.1007385253906,0.0,-1.2718234062194824
133.91594581007956,17000,1360000,1604,1305.685791015625,1.3560300792994361e-34,-1.1767499446868896
91.80275201797485,17100,1368000,1603,37.205955505371094,0.0,-6.043506145477295
98.34576816558838,17200,1376000,1604,4.863121509552002,0.0,0.7482303082942963
-13.250151838362218,17300,1384000,1604,7.402620792388916,0.0,-0.0004825592041015625
-11.643350544571877,17400,1392000,1605,18.322132110595703,2.9056258687354295e-30,-0.42990779876708984
122.56882410049438,17500,1400000,1605,7.400999546051025,0.0,0.8061551302671432
-50.79808001518249,17600,1408000,1604,146.71009826660156,4.6918975371568195e-09,-0.6313464641571045
26.429766511917116,17700,1416000,1604,0.6547122001647949,0.0,0.6914950013160706
-78.29485206604004,17800,1424000,1604,67.70748138427734,8.136648102663457e-05,-26.43204116821289
94.36505765914917,17900,1432000,1603,329.31280517578125,1.5156151675910223e-05,-4.359715938568115
-68.39505469501019,18000,1440000,1604,159.4339599609375,4.743811587104574e-06,-1.5143136978149414
-70.66952371150255,18100,1448000,1605,161.7015838623047,4.028578304282604e-10,0.15110713243484497
-35.48473949432373,18200,1456000,1605,57.97978973388672,6.7242785917187575e-06,-2.2330684661865234
22.999782943725585,18300,1464000,1605,0.36007314920425415,0.0,0.813217893242836
-89.5417932510376,18400,1472000,1606,133.5509490966797,1.7538106078518467e-08,-25.511180877685547
-32.410570764541625,18500,1480000,1605,0.7789732813835144,0.0,0.7345022559165955
-30.89742856025696,18600,1488000,1605,0.5224345326423645,0.0,0.8571795970201492
-29.45049262046814,18700,1496000,1605,16.595279693603516,1.0317342457710765e-05,-38.338104248046875
124.2416145324707,18800,1504000,1605,9.624712944030762,0.0,0.6602132618427277
-10.982456219196319,18900,1512000,1605,6.362246990203857,1.702707141948423e-10,-2.7051360607147217
7.2086454577744,19000,1520000,1605,2.605048656463623,5.213452586305678e-11,0.49006956815719604
-34.86644802093506,19100,1528000,1606,90.16716766357422,2.3702714790907464e-10,-1.724445104598999
-71.56420755386353,19200,1536000,1606,3.4614996910095215,0.0,0.5424184203147888
-16.51138138771057,19300,1544000,1607,3.1197993755340576,0.0009822094580158591,-1.2255058288574219
-34.40572698377073,19400,1552000,1608,55.456459045410156,0.00011960670963162556,-0.33887016773223877
-21.159839391708374,19500,1560000,1608,32.63372802734375,5.809730301009619e-12,0.0549355149269104
71.32904061079026,19600,1568000,1608,278.14501953125,0.0039034090004861355,-0.20552325248718262
-116.5761206626892,19700,1576000,1608,8.024938583374023,0.0,0.7157023847103119
-30.41596739292145,19800,1584000,1608,25.508724212646484,0.00504040252417326,-1.804107666015625
79.53653659820557,19900,1592000,1607,3.832688093185425,0.0,0.7820117771625519
-32.822623705863954,20000,1600000,1608,37.11331558227539,3.768731858144747e-06,-1.4943180084228516
-53.62348285745829,20100,1608000,1608,92.78343963623047,1.9822510704287065e-18,0.15458399057388306
-35.83048050403595,20200,1616000,1607,0.9850171208381653,0.0,0.8373854607343674
