total_timesteps,fps,policy_entropy,explained_variance,nupdates,value_loss,avgReward
4920000,862,1.0288748741149902,0.7492101788520813,61500,0.011791813187301159,1.8136224687099456
4928000,862,0.9952112436294556,0.6888032257556915,61600,0.012569034472107887,2.041414587199688
4936000,862,1.0500730276107788,0.5985676646232605,61700,0.07692736387252808,1.5963725544512273
4944000,862,1.0299333333969116,0.720527321100235,61800,0.044446587562561035,1.5416491948068143
4952000,862,1.0641860961914062,0.5977886617183685,61900,0.07151132822036743,1.6879942581057548
4960000,862,1.0040239095687866,0.8773680403828621,62000,0.021474098786711693,1.759905968606472
4968000,862,1.025437355041504,0.6197427213191986,62100,0.05286913365125656,1.7330894533544778
4976000,862,1.1607682704925537,0.09005743265151978,62200,0.05972105264663696,1.794947475194931
4984000,863,1.002751111984253,0.742708146572113,62300,0.03484250232577324,1.8652749344706536
4992000,863,1.0064245462417603,0.7436971962451935,62400,0.02415052056312561,1.65581663697958
5000000,863,1.0758769512176514,0.7453530728816986,62500,0.015567365102469921,2.044218933582306
5008000,863,0.9627016186714172,0.8392593264579773,62600,0.027141094207763672,1.661511990427971
5016000,863,1.0484983921051025,0.7601822018623352,62700,0.012486782856285572,1.8677489042282105
5024000,863,0.9840335845947266,0.7742429077625275,62800,0.045018672943115234,1.978182994760573
5032000,863,1.0080989599227905,0.81102055311203,62900,0.012824444100260735,1.783423401415348
5040000,863,0.8573781251907349,0.46830153465270996,63000,0.03338826447725296,2.0821584925055503
5048000,863,0.9486106634140015,0.7468018531799316,63100,0.06089339405298233,1.8660338670015335
5056000,863,1.0558733940124512,0.8188829869031906,63200,0.03273886442184448,1.837565478682518
5064000,864,0.9845001101493835,0.8665980398654938,63300,0.012693926692008972,1.8713751658797264
5072000,864,1.1491878032684326,0.7953798323869705,63400,0.028311798349022865,1.6612118110060692
5080000,864,0.9818792343139648,0.5196994245052338,63500,0.03532769903540611,1.7101698353886605
5088000,864,0.8883333206176758,0.7779411524534225,63600,0.018007732927799225,1.9445382878184319
5096000,864,0.9865833520889282,0.7857272326946259,63700,0.015415465459227562,1.8991742506623268
5104000,864,0.9741865396499634,0.5212332010269165,63800,0.02808476611971855,1.9517956659197808
5112000,864,0.9325274229049683,0.7002261281013489,63900,0.01139898132532835,1.7355116188526154
5120000,864,1.0160584449768066,0.625325471162796,64000,0.017266470938920975,2.063292868435383
5128000,864,0.9984257817268372,0.8167092353105545,64100,0.009590676985681057,2.112168250977993
5136000,864,0.9080959558486938,0.38512396812438965,64200,0.0243354681879282,1.6123986557126044
5144000,864,0.9893395304679871,0.7754524499177933,64300,0.0244289617985487,2.274506092071533
5152000,865,0.9773467779159546,0.6535059213638306,64400,0.07288626581430435,1.4376235961914063
5160000,865,1.0260887145996094,0.7650948315858841,64500,0.013967650942504406,2.0448498666286468
5168000,865,0.998282790184021,0.6387959420681,64600,0.02572915516793728,1.783228512108326
5176000,865,0.933568000793457,0.7449817061424255,64700,0.022140245884656906,2.0340153113007546
5184000,865,0.9467998743057251,0.6345489919185638,64800,0.013459150679409504,2.258276331424713
5192000,865,0.9416801333427429,0.6365377306938171,64900,0.12706801295280457,2.020169001072645
5200000,865,1.0155812501907349,0.5461443066596985,65000,0.0714840441942215,2.2080744802951813
5208000,865,0.8965746760368347,0.734311431646347,65100,0.01713593676686287,2.1032577067613603
5216000,865,1.0707874298095703,0.7103374004364014,65200,0.010676436126232147,2.2424438327550886
5224000,865,0.8487339019775391,0.5195119082927704,65300,0.021272538229823112,1.9613673776388167
5232000,865,1.0090773105621338,0.9148499444127083,65400,0.005116181913763285,2.0853324264287947
5240000,866,0.9546025395393372,0.3448759913444519,65500,0.05863172560930252,2.4581113919615745
5248000,866,1.1030235290527344,0.837009459733963,65600,0.03288758546113968,1.8765309110283852
5256000,866,0.9190009832382202,0.827484980225563,65700,0.009977799840271473,1.8426601067185402
5264000,866,1.0310595035552979,0.5233089327812195,65800,0.025292258709669113,2.2456917002797128
5272000,866,1.149403691291809,0.5185773074626923,65900,0.03377842158079147,1.9735521957278253
5280000,866,0.8943002820014954,0.5414697527885437,66000,0.04102886840701103,1.8585811510682106
5288000,866,1.0489585399627686,0.8346517235040665,66100,0.030418287962675095,1.7214881874620915
5296000,866,0.996634304523468,0.34186017513275146,66200,0.03307541087269783,2.0276374705135822
5304000,866,0.9731714129447937,0.5933804512023926,66300,0.029485661536455154,1.885504424571991
5312000,866,0.9074665307998657,0.7878746092319489,66400,0.03383941203355789,1.7662997484207152
5320000,866,1.0629103183746338,0.7342662513256073,66500,0.016233766451478004,1.9616300612688065
5328000,867,1.0514742136001587,0.7186141908168793,66600,0.07532273232936859,2.403630036022514
5336000,867,0.9195502996444702,0.8854713439941406,66700,0.013082878664135933,1.9084795653820037
5344000,867,1.0494152307510376,0.6272778213024139,66800,0.07969798892736435,2.2616971850395204
5352000,867,1.0116212368011475,-0.5973895788192749,66900,0.057936109602451324,1.950751605629921
5360000,867,1.0280691385269165,0.7394021451473236,67000,0.04881664365530014,1.8080848067998887
5368000,867,0.8961315155029297,0.5922656655311584,67100,0.0939757376909256,2.2849291160702707
5376000,867,0.9022001028060913,0.7975898385047913,67200,0.007007891777902842,2.1728686675429345
5384000,867,1.075068712234497,0.6310350298881531,67300,0.01881905272603035,2.5344899252057074
5392000,867,0.9507293701171875,0.7595285028219223,67400,0.011330530047416687,2.2462410390377046
5400000,867,0.9549726247787476,0.832762286067009,67500,0.0213056318461895,1.9434769131243228
5408000,867,0.9441507458686829,0.7830779254436493,67600,0.026886064559221268,1.3474743340164423
5416000,867,0.9840294718742371,0.6185495555400848,67700,0.02023259922862053,2.1351229324936867
5424000,868,0.7859727144241333,0.6532531082630157,67800,0.01437351293861866,2.3830428585410117
5432000,868,0.8786981701850891,0.8652414083480835,67900,0.02495887503027916,1.967019286751747
5440000,868,0.8958379626274109,0.6872816979885101,68000,0.022994179278612137,2.346621203422546
5448000,868,0.9509595632553101,0.6647575795650482,68100,0.03333400934934616,2.539037029445171
5456000,868,0.9974687695503235,0.4235081076622009,68200,0.09059590846300125,1.8714622622355819
5464000,868,0.9590299725532532,0.5400353372097015,68300,0.08946956694126129,2.1361298023723068
5472000,868,0.8715103268623352,0.713918536901474,68400,0.021263305097818375,2.311469940841198
5480000,868,1.0091028213500977,0.9238289967179298,68500,0.0038897066842764616,2.2197333320975305
