explained_variance,fps,nupdates,total_timesteps,policy_entropy,learning rate,epsilonValue,avg reward,value_loss
-102.9428482055664,37,1,80,1.7917568683624268,0.001,99.9854546512389,-0.14381430596113204,0.002675678115338087
-0.43370354175567627,1193,100,8000,1.7917335033416748,0.001,98.54546512388964,0.3141083516180515,0.004232328850775957
-0.006829738616943359,1357,200,16000,1.7916691303253174,0.001,97.09093024777928,0.6748138904571533,0.026133138686418533
0.793728768825531,1443,300,24000,1.791513442993164,0.001,95.63639537166893,0.5157357674092055,0.000217406966839917
-0.10174679756164551,1457,400,32000,1.7906100749969482,0.001,94.18186049555857,0.6576171196997166,0.003476486075669527
0.07303029298782349,1517,500,40000,1.7879393100738525,0.001,92.72732561944821,0.837127972394228,0.031066451221704483
0.03503453731536865,1543,600,48000,1.7864887714385986,0.001,91.27279074333785,0.7342286102473736,0.03058679960668087
0.11116045713424683,1558,700,56000,1.7863128185272217,0.001,89.81825586722749,0.3372505120933056,0.012986576184630394
0.09854739904403687,1554,800,64000,1.789961814880371,0.001,88.36372099111713,0.2203371485695243,0.02515294775366783
0.08864480257034302,1566,900,72000,1.7888472080230713,0.001,86.90918611500678,0.35448982305824756,0.03140481188893318
-0.15184879302978516,1568,1000,80000,1.785072922706604,0.001,85.45465123889642,0.6129583194851875,0.03329150751233101
0.19596242904663086,1571,1100,88000,1.7822164297103882,0.001,84.00011636278606,0.38985695168375967,0.005911590065807104
0.03782689571380615,1563,1200,96000,1.7780177593231201,0.001,82.5455814866757,0.8447584427893162,0.06508077681064606
0.17014330625534058,1566,1300,104000,1.7696399688720703,0.001,81.09104661056534,0.5982310771942139,0.02554960921406746
0.09559750556945801,1573,1400,112000,1.7731504440307617,0.001,79.63651173445498,0.9833492785692215,0.01155637763440609
0.6460495293140411,1574,1500,120000,1.7641881704330444,0.001,78.18197685834463,0.5154831767082214,0.0003593037254177034
0.1022881269454956,1574,1600,128000,1.7740023136138916,0.001,76.72744198223427,0.7481989495456218,0.02836988866329193
0.33948439359664917,1576,1700,136000,1.7837581634521484,0.001,75.27290710612391,0.5893117435276508,0.017716938629746437
0.7126494348049164,1579,1800,144000,1.7802789211273193,0.001,73.81837223001355,0.3700462631881237,0.002846586750820279
0.5384885370731354,1576,1900,152000,1.7521336078643799,0.001,72.3638373539032,1.0360123209655285,0.04261798411607742
0.6327331960201263,1576,2000,160000,1.771921157836914,0.001,70.90930247779283,0.4309436859562993,0.014401311054825783
-0.18971729278564453,1573,2100,168000,1.7641680240631104,0.001,69.45476760168248,0.9655781850218773,0.0850093737244606
0.6631995439529419,1569,2200,176000,1.6924842596054077,0.001,68.00023272557212,2.121684105694294,0.03471029922366142
0.6139295101165771,1570,2300,184000,1.7726504802703857,0.001,66.54569784946176,0.9129926327615976,0.034328561276197433
0.4886009097099304,1571,2400,192000,1.7820736169815063,0.001,65.0911629733514,1.0332091815769673,0.09135778248310089
0.5302903056144714,1567,2500,200000,1.7871036529541016,0.001,63.63662809724122,0.4384542092680931,0.013890991918742657
0.5267562568187714,1568,2600,208000,1.765533685684204,0.001,62.182093221131574,1.4330665707588195,0.13153620064258575
0.8979357481002808,1572,2700,216000,1.743457555770874,0.001,60.727558345021926,1.281455748528242,0.03589014336466789
0.2347310185432434,1575,2800,224000,1.784621238708496,0.001,59.27302346891228,0.34937273068353536,0.044363800436258316
